»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,70,¡º,51,75,53,0.8,24,44
2015-01-01,68,¡º,49,64,37,0.9,17,42
2015-01-02,58,¡º,40,66,53,0.7,17,50
2015-01-03,77,¡º,56,90,57,0.9,21,40
2015-01-04,125,«·∂»Œ€»æ,95,128,48,0.9,26,43
2015-01-05,80,¡º,59,99,27,0.6,16,71
2015-01-06,52,¡º,34,53,46,0.5,10,66
2015-01-07,77,¡º,57,81,46,0.7,20,55
2015-01-08,139,«·∂»Œ€»æ,106,140,56,0.9,34,40
2015-01-09,79,¡º,58,88,41,0.6,24,51
2015-01-10,118,«·∂»Œ€»æ,90,111,36,0.8,27,40
2015-01-11,83,¡º,62,69,48,0.6,23,51
2015-01-12,68,¡º,50,71,39,0.5,19,51
2015-01-13,118,«·∂»Œ€»æ,89,122,68,0.8,28,42
2015-01-14,104,«·∂»Œ€»æ,78,101,69,1,29,34
2015-01-15,137,«·∂»Œ€»æ,104,128,50,0.9,31,34
2015-01-16,86,¡º,64,85,33,0.6,20,51
2015-01-17,56,¡º,40,60,24,0.4,12,62
2015-01-18,72,¡º,53,80,37,0.6,19,36
2015-01-19,66,¡º,48,80,53,0.6,21,41
2015-01-20,153,÷–∂»Œ€»æ,117,141,63,1,37,33
2015-01-21,128,«·∂»Œ€»æ,97,118,42,0.9,30,27
2015-01-22,90,¡º,67,91,59,0.6,27,37
2015-01-23,196,÷–∂»Œ€»æ,147,174,68,1,40,42
2015-01-24,94,¡º,70,101,45,0.6,28,42
2015-01-25,101,«·∂»Œ€»æ,76,104,44,0.7,28,47
2015-01-26,71,¡º,43,93,47,0.5,19,43
2015-01-27,62,¡º,45,74,43,0.6,32,37
2015-01-28,61,¡º,43,72,51,0.7,31,39
2015-01-29,64,¡º,36,78,55,0.6,28,34
2015-01-30,65,¡º,39,80,49,0.6,28,41
2015-01-31,60,¡º,43,68,46,0.7,31,34
2015-02-01,60,¡º,43,66,40,0.7,33,40
2015-02-02,110,«·∂»Œ€»æ,83,118,51,1,45,31
2015-02-03,144,«·∂»Œ€»æ,110,150,57,1,45,31
2015-02-04,87,¡º,65,97,40,0.8,31,33
2015-02-05,60,¡º,35,70,40,0.5,17,43
2015-02-06,60,¡º,27,71,28,0.4,10,51
2015-02-07,73,¡º,38,96,26,0.3,4,52
2015-02-08,52,¡º,32,55,34,0.3,9,51
2015-02-09,45,”≈,30,45,30,0.5,13,48
2015-02-10,85,¡º,63,102,43,0.8,23,43
2015-02-11,68,¡º,47,86,33,0.5,12,38
2015-02-12,67,¡º,41,84,41,0.5,14,41
2015-02-13,65,¡º,43,79,47,0.7,22,38
2015-02-14,83,¡º,62,91,33,0.8,23,33
2015-02-15,132,«·∂»Œ€»æ,100,131,37,1.2,30,74
2015-02-16,94,¡º,70,93,21,0.4,22,69
2015-02-17,71,¡º,52,76,22,0.3,12,78
2015-02-18,67,¡º,49,74,54,0.3,12,77
2015-02-19,104,«·∂»Œ€»æ,78,126,33,0.3,9,67
2015-02-20,115,«·∂»Œ€»æ,87,133,34,0.5,15,72
2015-02-21,138,«·∂»Œ€»æ,105,118,25,0.6,20,67
2015-02-22,95,¡º,71,105,25,0.4,14,83
2015-02-23,57,¡º,41,53,20,0.3,10,80
2015-02-24,102,«·∂»Œ€»æ,77,70,37,0.6,22,87
2015-02-25,157,÷–∂»Œ€»æ,120,111,35,0.8,34,114
2015-02-26,100,¡º,75,93,27,0.8,32,78
2015-02-27,71,¡º,52,86,38,0.6,19,87
2015-02-28,79,¡º,58,74,44,0.5,23,74
2015-03-01,61,¡º,44,53,31,0.5,17,81
2015-03-02,60,¡º,43,51,37,0.6,21,78
2015-03-03,87,¡º,48,125,33,0.5,13,97
2015-03-04,67,¡º,47,85,50,0.6,25,91
2015-03-05,127,«·∂»Œ€»æ,96,121,55,0.9,39,97
2015-03-06,159,÷–∂»Œ€»æ,121,163,46,1.3,41,112
2015-03-07,68,¡º,50,65,31,0.7,26,95
2015-03-08,51,¡º,33,52,42,0.5,20,77
2015-03-09,56,¡º,34,62,36,0.4,19,75
2015-03-10,55,¡º,37,60,36,0.7,25,81
2015-03-11,61,¡º,29,72,31,0.9,25,83
2015-03-12,56,¡º,40,58,20,0.7,25,80
2015-03-13,56,¡º,36,62,37,0.8,26,91
2015-03-14,57,¡º,40,65,36,0.8,26,78
2015-03-15,118,«·∂»Œ€»æ,90,126,27,0.9,31,95
2015-03-16,64,¡º,42,79,19,0.7,25,91
2015-03-17,49,”≈,30,49,17,0.8,20,90
2015-03-18,85,¡º,38,121,18,1.1,23,107
2015-03-19,46,”≈,23,46,23,1,19,90
2015-03-20,48,”≈,25,48,16,1.1,21,85
2015-03-21,70,¡º,47,91,21,1.1,19,93
2015-03-22,62,¡º,39,74,11,0.9,15,89
2015-03-23,71,¡º,51,72,22,1,26,99
2015-03-24,59,¡º,42,66,12,0.9,21,90
2015-03-25,77,¡º,56,104,17,0.7,21,89
2015-03-26,93,¡º,59,136,28,0.8,20,116
2015-03-27,128,«·∂»Œ€»æ,66,124,20,0.8,19,124
2015-03-28,86,¡º,50,121,19,0.2,20,101
2015-03-29,83,¡º,61,117,18,0.2,24,117
2015-03-30,130,«·∂»Œ€»æ,99,158,19,0.3,29,114
2015-03-31,95,¡º,71,99,11,0.2,23,114
2015-04-01,68,¡º,49,87,12,0.2,19,103
2015-04-02,82,¡º,61,90,21,0.3,30,78
