»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,111,«·∂»Œ€»æ,63,172,180,1,26,27
2015-01-01,171,÷–∂»Œ€»æ,106,292,322,1.9,31,18
2015-01-02,168,÷–∂»Œ€»æ,123,286,262,2.2,36,19
2015-01-03,199,÷–∂»Œ€»æ,149,330,328,2.5,38,20
2015-01-04,139,«·∂»Œ€»æ,62,228,164,0.9,21,28
2015-01-05,67,¡º,27,84,91,0.7,18,31
2015-01-06,119,«·∂»Œ€»æ,59,189,197,1.4,30,13
2015-01-07,126,«·∂»Œ€»æ,83,203,109,1.8,32,18
2015-01-08,113,«·∂»Œ€»æ,63,175,69,1.6,28,27
2015-01-09,136,«·∂»Œ€»æ,87,221,111,2.2,34,26
2015-01-10,152,÷–∂»Œ€»æ,99,254,131,2.5,44,21
2015-01-11,176,÷–∂»Œ€»æ,118,302,190,3.1,50,18
2015-01-12,144,«·∂»Œ€»æ,101,237,165,2.9,40,18
2015-01-13,101,«·∂»Œ€»æ,74,152,93,1.6,29,18
2015-01-14,132,«·∂»Œ€»æ,58,215,82,1.8,32,26
2015-01-15,85,¡º,37,120,22,0.9,22,34
2015-01-16,118,«·∂»Œ€»æ,81,186,46,1.8,36,20
2015-01-17,86,¡º,43,123,14,1,20,34
2015-01-18,85,¡º,39,119,18,1.2,23,27
2015-01-19,128,«·∂»Œ€»æ,93,207,55,2.3,38,22
2015-01-20,97,¡º,49,143,37,1.3,26,34
2015-01-21,120,«·∂»Œ€»æ,64,191,77,1.9,34,31
2015-01-22,148,«·∂»Œ€»æ,96,245,72,2.5,40,24
2015-01-23,147,«·∂»Œ€»æ,86,244,74,2.2,37,49
2015-01-24,100,¡º,44,151,88,1.3,26,55
2015-01-25,124,«·∂»Œ€»æ,55,199,100,1.8,33,54
2015-01-26,90,¡º,34,131,35,1.1,13,57
2015-01-27,89,¡º,37,128,59,1.3,22,54
2015-01-28,101,«·∂»Œ€»æ,34,152,34,1.3,17,46
2015-01-29,115,«·∂»Œ€»æ,40,181,102,1.4,22,45
2015-01-30,83,¡º,44,117,97,1.6,22,43
2015-01-31,74,¡º,50,97,78,1.6,22,46
2015-02-01,90,¡º,66,130,80,2,23,56
2015-02-02,97,¡º,60,144,86,1.8,24,58
2015-02-03,89,¡º,59,129,80,1.7,20,84
2015-02-04,77,¡º,50,103,117,1.5,20,80
2015-02-05,85,¡º,55,120,99,1.9,25,72
2015-02-06,95,¡º,52,140,56,1.6,16,90
2015-02-07,88,¡º,50,126,73,1.5,18,84
2015-02-08,128,«·∂»Œ€»æ,71,205,101,2.2,27,93
2015-02-09,113,«·∂»Œ€»æ,60,176,70,1.9,29,89
2015-02-10,98,¡º,53,146,77,1.1,23,96
2015-02-11,101,«·∂»Œ€»æ,48,153,50,1.1,21,96
2015-02-12,99,¡º,47,149,73,1.2,26,92
2015-02-13,105,«·∂»Œ€»æ,51,161,87,1.3,31,90
2015-02-14,226,÷ÿ∂»Œ€»æ,84,368,87,1.5,24,95
2015-02-15,70,¡º,45,91,46,0.7,13,93
2015-02-16,87,¡º,49,123,102,1.5,23,102
2015-02-17,95,¡º,47,139,126,1.5,26,112
2015-02-18,96,¡º,59,143,73,1.3,26,121
2015-02-19,115,«·∂»Œ€»æ,76,180,91,1.4,21,119
2015-02-20,91,¡º,27,132,44,0.9,9,103
