»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,102,«·∂»Œ€»æ,77,143,15,2.1,42,64
2015-01-01,117,«·∂»Œ€»æ,89,141,22,2.3,35,60
2015-01-02,131,«·∂»Œ€»æ,99,161,26,2.3,33,89
2015-01-03,158,÷–∂»Œ€»æ,121,196,36,2.6,51,75
2015-01-04,98,¡º,73,115,20,2.3,34,39
2015-01-05,119,«·∂»Œ€»æ,91,137,34,2.6,33,42
2015-01-06,75,¡º,55,79,16,2.6,23,23
2015-01-07,61,¡º,44,69,13,1.8,21,28
2015-01-08,80,¡º,59,88,20,1.2,28,25
2015-01-09,58,¡º,42,52,10,1.1,21,28
2015-01-10,30,”≈,21,21,7,1,9,11
2015-01-11,60,¡º,43,56,11,1.2,15,17
2015-01-12,65,¡º,47,70,23,1.2,19,29
2015-01-13,73,¡º,54,84,8,1.2,16,14
2015-01-14,96,¡º,72,93,8,1.3,14,17
2015-01-15,101,«·∂»Œ€»æ,76,129,11,1.4,24,49
2015-01-16,161,÷–∂»Œ€»æ,123,218,40,1.7,50,21
2015-01-17,140,«·∂»Œ€»æ,107,183,18,1.3,35,38
2015-01-18,152,÷–∂»Œ€»æ,117,176,39,1.5,41,28
2015-01-19,98,¡º,73,107,19,1.4,29,19
2015-01-20,128,«·∂»Œ€»æ,97,153,41,1.8,42,94
2015-01-21,178,÷–∂»Œ€»æ,134,208,34,2,47,89
2015-01-22,169,÷–∂»Œ€»æ,128,209,44,2.5,55,55
2015-01-23,158,÷–∂»Œ€»æ,121,178,23,1.9,36,117
2015-01-24,109,«·∂»Œ€»æ,82,123,31,1.9,38,102
2015-01-25,76,¡º,56,94,30,1.8,28,96
2015-01-26,108,«·∂»Œ€»æ,82,140,40,2.5,37,99
2015-01-27,74,¡º,54,91,22,2.1,23,93
2015-01-28,66,¡º,47,77,29,2.1,26,79
2015-01-29,69,¡º,40,88,19,2,19,68
2015-01-30,49,”≈,26,49,11,2.2,16,37
2015-01-31,43,”≈,25,43,10,2,15,31
2015-02-01,49,”≈,28,49,20,1.6,19,27
2015-02-02,63,¡º,46,71,31,2.2,26,15
2015-02-03,73,¡º,54,63,26,1.8,33,8
2015-02-04,57,¡º,35,64,32,0.9,29,29
2015-02-05,90,¡º,67,115,22,0.9,35,52
2015-02-06,126,«·∂»Œ€»æ,96,152,43,0.9,42,87
2015-02-07,164,÷–∂»Œ€»æ,125,189,51,1.1,51,83
2015-02-08,140,«·∂»Œ€»æ,107,160,30,1,37,112
2015-02-09,122,«·∂»Œ€»æ,92,146,32,1,45,101
2015-02-10,156,÷–∂»Œ€»æ,119,161,30,1.2,45,68
2015-02-11,81,¡º,60,67,14,1.1,26,67
2015-02-12,105,«·∂»Œ€»æ,79,114,18,1.2,32,83
2015-02-13,176,÷–∂»Œ€»æ,133,174,36,1.5,45,60
2015-02-14,120,«·∂»Œ€»æ,91,91,23,1.4,32,59
2015-02-15,81,¡º,60,83,29,1.3,28,83
2015-02-16,86,¡º,64,90,19,1.1,23,104
2015-02-17,61,¡º,44,46,12,0.9,16,88
2015-02-18,88,¡º,66,83,22,1.1,15,95
2015-02-19,94,¡º,70,74,32,0.8,14,78
2015-02-20,68,¡º,49,65,16,1,15,77
2015-02-21,56,¡º,40,53,18,0.8,12,99
2015-02-22,63,¡º,45,62,21,0.9,15,99
2015-02-23,66,¡º,48,65,22,1,17,98
2015-02-24,69,¡º,50,71,25,1,19,97
2015-02-25,68,¡º,49,81,24,0.7,21,102
2015-02-26,80,¡º,59,90,24,0.7,20,106
2015-02-27,87,¡º,64,94,23,0.7,23,113
2015-02-28,73,¡º,53,74,15,0.7,20,109
2015-03-01,41,”≈,19,30,12,0.7,12,82
2015-03-02,60,¡º,43,67,12,0.8,16,75
2015-03-03,66,¡º,48,75,19,0.9,24,86
2015-03-04,55,¡º,38,60,11,0.8,14,76
2015-03-05,74,¡º,54,68,21,1,21,62
2015-03-06,39,”≈,22,39,14,0.9,15,45
2015-03-07,51,¡º,33,52,10,1,16,41
2015-03-08,68,¡º,50,82,28,1.1,25,32
2015-03-09,65,¡º,47,72,27,1.1,25,50
2015-03-10,42,”≈,29,40,11,1.1,19,29
2015-03-11,38,”≈,23,38,13,1.1,21,35
2015-03-12,62,¡º,42,74,17,1.2,23,79
2015-03-13,52,¡º,37,54,10,1.2,21,61
2015-03-14,79,¡º,57,107,23,1.4,37,24
2015-03-15,105,«·∂»Œ€»æ,79,122,18,1.4,30,96
2015-03-16,97,¡º,72,115,17,1.4,24,104
2015-03-17,104,«·∂»Œ€»æ,78,128,17,1.3,29,120
2015-03-18,125,«·∂»Œ€»æ,95,148,20,1.3,30,157
2015-03-19,118,«·∂»Œ€»æ,89,137,16,1.2,21,151
2015-03-20,120,«·∂»Œ€»æ,91,135,17,1.3,25,126
2015-03-21,57,¡º,41,57,13,1.2,15,102
2015-03-22,80,¡º,59,100,28,1.4,30,58
2015-03-23,126,«·∂»Œ€»æ,96,137,33,1.5,37,50
2015-03-24,76,¡º,56,81,28,1.5,31,36
2015-03-25,60,¡º,43,64,21,1.4,26,51
2015-03-26,76,¡º,56,88,18,1.5,23,64
2015-03-27,83,¡º,74,96,22,1.6,27,64
2015-03-28,78,¡º,57,89,19,1.5,28,80
2015-03-29,66,¡º,47,76,19,1.4,23,89
2015-03-30,71,¡º,50,91,24,1.4,22,93
2015-03-31,68,¡º,46,85,18,1.5,18,96
2015-04-01,74,¡º,54,92,19,1.6,20,105
2015-04-02,89,¡º,66,111,19,1.7,29,117
2015-04-03,96,¡º,72,127,25,1.8,35,133
2015-04-04,87,¡º,64,120,30,2,27,133
2015-04-05,103,«·∂»Œ€»æ,74,128,31,2.1,21,163
2015-04-06,91,¡º,68,101,23,2.1,20,118
2015-04-07,65,¡º,47,60,16,2.3,17,60
2015-04-08,51,¡º,29,51,18,2.3,17,85
2015-04-09,50,”≈,35,49,15,2.2,17,64
2015-04-10,54,¡º,38,54,17,2.3,21,72
2015-04-11,76,¡º,56,89,31,1.9,27,104
2015-04-12,66,¡º,48,78,17,1.4,22,108
2015-04-13,94,¡º,57,137,24,1.3,36,134
2015-04-14,102,«·∂»Œ€»æ,74,155,42,1.3,39,142
2015-04-15,96,¡º,72,132,59,1.4,33,154
2015-04-16,106,«·∂»Œ€»æ,80,143,42,1.4,30,164
2015-04-17,86,¡º,61,109,32,1.4,18,143
2015-04-18,110,«·∂»Œ€»æ,83,133,36,1.4,24,132
2015-04-19,106,«·∂»Œ€»æ,73,131,32,1.5,18,167
2015-04-20,62,¡º,36,74,14,1.4,10,111
2015-04-21,79,¡º,29,57,25,1.5,11,135
2015-04-22,64,¡º,46,77,25,1.6,15,106
