»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,465,—œ÷ÿŒ€»æ,448,531,85,2.5,81,78
2013-12-03,322,—œ÷ÿŒ€»æ,272,344,81,2,77,75
2013-12-04,253,÷ÿ∂»Œ€»æ,203,285,46,2.4,55,72
2013-12-05,375,—œ÷ÿŒ€»æ,325,394,48,2.9,71,62
2013-12-06,193,÷–∂»Œ€»æ,145,194,34,1.1,36,71
2013-12-07,139,«·∂»Œ€»æ,106,144,38,1,38,91
2013-12-08,182,÷–∂»Œ€»æ,137,175,26,1.2,36,70
2013-12-09,207,÷ÿ∂»Œ€»æ,157,225,51,1.3,36,59
2013-12-10,109,«·∂»Œ€»æ,82,124,59,0.9,40,63
2013-12-11,128,«·∂»Œ€»æ,98,151,55,1,42,64
2013-12-12,182,÷–∂»Œ€»æ,138,197,64,1.2,56,47
2013-12-13,64,¡º,42,79,31,0.6,28,58
2013-12-14,133,«·∂»Œ€»æ,101,150,34,1.3,47,62
2013-12-15,125,«·∂»Œ€»æ,95,133,33,1.1,35,59
2013-12-16,84,¡º,62,83,26,0.8,27,43
2013-12-17,53,¡º,35,56,25,0.5,18,61
2013-12-18,91,¡º,68,87,29,0.8,20,57
2013-12-19,194,÷–∂»Œ€»æ,146,186,66,1.4,43,55
2013-12-20,200,÷–∂»Œ€»æ,150,193,72,1.6,47,56
2013-12-21,122,«·∂»Œ€»æ,92,115,44,1,30,59
2013-12-22,128,«·∂»Œ€»æ,98,121,37,1,32,61
2013-12-23,174,÷–∂»Œ€»æ,132,161,52,1.4,39,76
2013-12-24,291,÷ÿ∂»Œ€»æ,241,299,102,2.2,70,38
2013-12-25,259,÷ÿ∂»Œ€»æ,209,268,76,2.1,64,41
2013-12-26,236,÷ÿ∂»Œ€»æ,186,267,72,1.7,52,44
2013-12-27,73,¡º,52,96,47,0.8,28,58
2013-12-28,136,«·∂»Œ€»æ,104,149,50,1,44,43
2013-12-29,179,÷–∂»Œ€»æ,136,194,81,1.4,53,49
2013-12-30,153,÷–∂»Œ€»æ,117,181,59,1.2,52,61
2013-12-31,159,÷–∂»Œ€»æ,121,193,47,1.1,44,76
2014-01-01,153,÷–∂»Œ€»æ,117,230,51,1.2,51,56
2014-01-02,192,÷–∂»Œ€»æ,145,251,53,1.6,51,58
2014-01-03,222,÷ÿ∂»Œ€»æ,172,245,44,1.7,47,42
2014-01-04,62,¡º,44,74,19,0.7,19,59
2014-01-05,84,¡º,62,97,31,0.8,34,51
2014-01-06,47,”≈,28,47,15,0.6,20,76
2014-01-07,53,¡º,36,56,14,0.6,13,79
2014-01-08,51,¡º,34,52,12,0.6,10,86
2014-01-09,56,¡º,38,63,23,0.6,18,68
2014-01-10,90,¡º,67,106,29,0.8,32,69
2014-01-11,103,«·∂»Œ€»æ,77,113,27,0.9,34,83
2014-01-12,190,÷–∂»Œ€»æ,143,194,42,1.3,41,60
2014-01-13,50,”≈,24,50,18,0.5,20,74
2014-01-14,54,¡º,36,59,20,0.7,34,82
2014-01-15,122,«·∂»Œ€»æ,92,132,33,1.2,41,82
2014-01-16,170,÷–∂»Œ€»æ,129,169,37,1.2,35,78
2014-01-17,136,«·∂»Œ€»æ,104,134,24,1.2,39,74
2014-01-18,230,÷ÿ∂»Œ€»æ,180,219,44,1.7,40,78
2014-01-19,269,÷ÿ∂»Œ€»æ,219,274,46,1.9,63,75
2014-01-20,238,÷ÿ∂»Œ€»æ,188,314,58,1.6,50,64
2014-01-21,85,¡º,49,119,41,0.8,25,51
2014-01-22,106,«·∂»Œ€»æ,80,111,48,1,37,64
2014-01-23,121,«·∂»Œ€»æ,92,129,48,1.2,45,70
2014-01-24,141,«·∂»Œ€»æ,108,144,52,1.4,58,71
2014-01-25,170,÷–∂»Œ€»æ,129,168,35,1.2,39,63
2014-01-26,52,¡º,27,55,12,0.5,12,73
2014-01-27,77,¡º,57,90,19,1,33,66
2014-01-28,123,«·∂»Œ€»æ,94,135,21,1.1,26,62
2014-01-29,69,¡º,50,66,9,0.8,22,55
2014-01-30,243,÷ÿ∂»Œ€»æ,193,231,15,1.6,21,46
2014-01-31,258,÷ÿ∂»Œ€»æ,208,271,15,1.9,17,54
2014-02-01,180,÷–∂»Œ€»æ,136,153,16,1.6,20,48
2014-02-02,256,÷ÿ∂»Œ€»æ,206,320,12,2.1,18,53
2014-02-03,67,¡º,42,84,9,0.8,11,69
2014-02-04,50,”≈,26,51,11,0.5,21,72
2014-02-05,32,”≈,22,30,8,0.5,19,62
2014-02-06,35,”≈,11,14,8,0.4,17,70
2014-02-07,96,¡º,72,82,13,0.9,29,65
2014-02-08,88,¡º,66,79,13,0.9,30,74
2014-02-09,64,¡º,46,59,13,0.7,26,73
2014-02-10,40,”≈,28,39,11,0.5,20,69
2014-02-11,65,¡º,47,60,16,0.7,17,69
2014-02-12,58,¡º,41,52,15,0.6,18,82
2014-02-13,103,«·∂»Œ€»æ,77,95,18,1,20,91
2014-02-14,96,¡º,72,91,18,0.8,24,85
2014-02-15,102,«·∂»Œ€»æ,76,98,15,1,33,84
2014-02-16,38,”≈,26,31,9,0.6,20,73
2014-02-17,44,”≈,18,20,7,0.5,10,87
2014-02-18,42,”≈,24,39,9,0.5,12,83
2014-02-19,98,¡º,73,95,17,0.9,25,81
2014-02-20,152,÷–∂»Œ€»æ,116,146,28,1.3,41,71
2014-02-21,128,«·∂»Œ€»æ,98,123,28,1,25,94
2014-02-22,77,¡º,56,74,18,0.8,22,90
2014-02-23,111,«·∂»Œ€»æ,84,104,18,0.9,20,98
2014-02-24,150,«·∂»Œ€»æ,115,145,15,1.2,22,96
2014-02-25,134,«·∂»Œ€»æ,102,114,9,1.1,18,93
2014-02-26,109,«·∂»Œ€»æ,82,98,12,0.9,21,103
2014-02-27,155,÷–∂»Œ€»æ,118,142,19,1.6,36,75
2014-02-28,40,”≈,24,40,13,0.7,20,68
2014-03-01,69,¡º,50,80,19,0.9,35,56
2014-03-02,106,«·∂»Œ€»æ,80,116,36,1.2,41,78
2014-03-03,86,¡º,64,98,20,1.2,30,83
2014-03-04,57,¡º,41,56,15,0.8,27,76
2014-03-05,62,¡º,45,65,17,0.6,21,83
2014-03-06,62,¡º,45,67,16,0.7,29,78
2014-03-07,82,¡º,60,92,19,0.9,37,85
2014-03-08,69,¡º,51,74,13,0.7,28,81
2014-03-09,141,«·∂»Œ€»æ,108,137,26,1,33,92
2014-03-10,194,÷–∂»Œ€»æ,146,180,26,1.2,26,101
2014-03-11,134,«·∂»Œ€»æ,102,136,23,0.9,28,108
2014-03-12,74,¡º,54,74,15,0.7,23,82
2014-03-13,63,¡º,34,77,23,0.7,23,83
2014-03-14,108,«·∂»Œ€»æ,82,132,27,0.9,40,78
2014-03-15,113,«·∂»Œ€»æ,86,148,34,1.1,44,101
2014-03-16,148,«·∂»Œ€»æ,113,166,45,1.2,46,111
2014-03-17,126,«·∂»Œ€»æ,96,137,27,1.2,37,101
2014-03-18,261,÷ÿ∂»Œ€»æ,108,392,25,1.2,28,90
2014-03-19,80,¡º,59,88,13,0.8,21,89
2014-03-20,82,¡º,61,104,19,0.8,24,92
2014-03-21,66,¡º,41,81,20,0.7,35,100
2014-03-22,107,«·∂»Œ€»æ,81,127,35,1,44,98
2014-03-23,83,¡º,62,99,21,0.7,33,90
2014-03-24,100,¡º,75,102,22,1,33,61
2014-03-25,204,÷ÿ∂»Œ€»æ,154,184,24,1.8,58,23
2014-03-26,109,«·∂»Œ€»æ,82,97,15,1.2,26,90
2014-03-27,77,¡º,56,76,15,1,24,88
2014-03-28,77,¡º,56,80,13,0.8,23,76
2014-03-29,98,¡º,73,101,13,1.1,26,59
2014-03-30,70,¡º,51,80,17,0.8,22,108
2014-03-31,80,¡º,59,88,17,0.8,24,128
2014-04-01,73,¡º,53,76,12,0.9,19,98
2014-04-02,59,¡º,42,62,11,0.8,20,90
2014-04-03,61,¡º,43,71,17,0.8,24,96
2014-04-04,90,¡º,67,126,23,0.9,37,112
2014-04-05,71,¡º,39,91,15,0.7,21,93
2014-04-06,65,¡º,35,80,14,0.6,26,101
2014-04-07,80,¡º,59,103,25,0.9,36,114
2014-04-08,162,÷–∂»Œ€»æ,123,172,25,1.2,32,134
2014-04-09,142,«·∂»Œ€»æ,109,149,20,1.2,30,148
