»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,168,÷–∂»Œ€»æ,128,176,45,3.1,85,21
2013-12-03,114,«·∂»Œ€»æ,86,103,49,2,64,56
2013-12-04,60,¡º,43,66,35,1.1,41,50
2013-12-05,41,”≈,20,41,36,0.8,27,54
2013-12-06,80,¡º,59,89,44,1.1,47,32
2013-12-07,190,÷–∂»Œ€»æ,143,186,108,2.3,66,27
2013-12-08,162,÷–∂»Œ€»æ,124,169,58,1.9,50,11
2013-12-09,60,¡º,42,69,47,1,27,46
2013-12-10,153,÷–∂»Œ€»æ,117,160,85,2.2,54,21
2013-12-11,53,¡º,35,55,58,1,27,45
2013-12-12,75,¡º,42,101,43,1.4,28,49
2013-12-13,55,¡º,31,61,35,1.2,32,52
2013-12-14,67,¡º,45,83,47,1.4,37,49
2013-12-15,55,¡º,36,60,47,1.2,31,49
2013-12-16,167,÷–∂»Œ€»æ,127,193,132,2.7,63,23
2013-12-17,100,¡º,75,96,47,1.3,27,42
2013-12-18,57,¡º,40,57,54,1.2,28,39
2013-12-19,54,¡º,38,57,55,1.2,23,48
2013-12-20,33,”≈,21,33,44,1.1,22,50
2013-12-21,70,¡º,51,69,57,1.5,38,50
2013-12-22,157,÷–∂»Œ€»æ,120,149,118,2,58,43
2013-12-23,189,÷–∂»Œ€»æ,142,204,112,2.7,59,38
2013-12-24,98,¡º,74,93,93,1.6,48,48
2013-12-25,232,÷ÿ∂»Œ€»æ,182,246,117,3.4,71,22
2013-12-26,50,”≈,27,50,57,1.2,26,46
2013-12-27,67,¡º,49,72,53,1.7,37,53
2013-12-28,57,¡º,41,63,46,1.5,33,54
2013-12-29,62,¡º,42,74,61,1.7,37,59
2013-12-30,101,«·∂»Œ€»æ,76,119,61,2.2,51,52
2013-12-31,76,¡º,38,102,34,1.7,30,54
2014-01-01,66,¡º,37,83,50,1.7,34,46
2014-01-02,75,¡º,47,100,53,1.9,40,33
2014-01-03,56,¡º,39,62,38,1.5,29,52
2014-01-04,112,«·∂»Œ€»æ,84,115,85,1.9,55,36
2014-01-05,126,«·∂»Œ€»æ,96,98,97,1.6,57,45
2014-01-06,185,÷–∂»Œ€»æ,140,165,52,2.1,48,49
2014-01-07,70,¡º,51,63,39,1.3,29,54
2014-01-08,57,¡º,41,21,34,1.1,24,68
2014-01-09,62,¡º,45,69,73,1.4,38,57
2014-01-10,85,¡º,63,87,57,1.6,45,48
2014-01-11,208,÷ÿ∂»Œ€»æ,158,207,90,3,63,43
2014-01-12,48,”≈,26,48,43,1,20,58
2014-01-13,103,«·∂»Œ€»æ,78,115,88,2,45,45
2014-01-14,187,÷–∂»Œ€»æ,141,183,103,2.6,57,42
2014-01-15,105,«·∂»Œ€»æ,79,96,59,1.9,41,46
2014-01-16,174,÷–∂»Œ€»æ,132,168,70,2.4,46,37
2014-01-17,96,¡º,72,92,71,1.5,35,39
2014-01-18,70,¡º,51,75,64,1.4,30,56
2014-01-19,107,«·∂»Œ€»æ,81,110,75,2,39,39
2014-01-20,78,¡º,58,81,77,1.5,28,50
2014-01-21,77,¡º,56,74,71,1.5,32,33
2014-01-22,93,¡º,69,98,48,2.3,43,34
2014-01-23,102,«·∂»Œ€»æ,76,115,52,1.7,36,48
2014-01-24,106,«·∂»Œ€»æ,80,99,43,1.8,34,46
2014-01-25,70,¡º,45,90,50,1.5,22,61
2014-01-26,64,¡º,29,77,43,1.5,20,60
2014-01-27,72,¡º,31,95,32,1.5,18,54
2014-01-28,38,”≈,15,38,28,1.3,9,66
2014-01-29,60,¡º,28,71,26,1.5,13,63
2014-01-30,83,¡º,61,94,54,1.6,18,64
2014-01-31,192,÷–∂»Œ€»æ,144,165,71,2,26,56
2014-02-01,179,÷–∂»Œ€»æ,136,172,95,2.2,31,31
2014-02-02,94,¡º,55,138,37,2.1,17,60
2014-02-03,47,”≈,17,47,38,1.4,9,65
2014-02-04,54,¡º,32,57,43,1.6,16,66
2014-02-05,96,¡º,72,102,79,2.3,35,54
2014-02-06,97,¡º,72,103,89,2,34,58
2014-02-07,88,¡º,65,78,47,1.8,26,44
2014-02-08,66,¡º,48,65,48,1.7,19,57
2014-02-09,40,”≈,27,40,58,1.6,14,60
2014-02-10,67,¡º,49,67,51,1.8,26,65
2014-02-11,219,÷ÿ∂»Œ€»æ,169,168,116,2.7,61,52
2014-02-12,188,÷–∂»Œ€»æ,142,135,82,2.4,45,68
2014-02-13,160,÷–∂»Œ€»æ,122,145,74,2.2,36,73
2014-02-14,105,«·∂»Œ€»æ,79,123,34,2.2,20,69
2014-02-15,226,÷ÿ∂»Œ€»æ,176,195,46,2.8,35,49
2014-02-16,110,«·∂»Œ€»æ,83,97,46,1.7,30,74
2014-02-17,80,¡º,59,85,47,1.4,29,68
2014-02-18,83,¡º,62,80,55,1.3,28,67
2014-02-19,69,¡º,51,71,37,1.2,23,68
2014-02-20,95,¡º,71,92,66,1.3,36,62
2014-02-21,181,÷–∂»Œ€»æ,137,161,60,2.2,51,68
2014-02-22,237,÷ÿ∂»Œ€»æ,187,238,80,2.4,52,48
2014-02-23,185,÷–∂»Œ€»æ,139,183,137,1.8,47,50
2014-02-24,148,«·∂»Œ€»æ,114,184,58,2.2,40,41
2014-02-25,165,÷–∂»Œ€»æ,125,171,36,2.2,25,67
2014-02-26,150,«·∂»Œ€»æ,115,161,35,2.1,20,94
2014-02-27,58,¡º,32,66,32,1.6,19,77
2014-02-28,71,¡º,39,91,50,1.8,35,58
2014-03-01,52,¡º,37,54,41,1.7,22,66
2014-03-02,95,¡º,71,93,61,2.3,34,73
2014-03-03,162,÷–∂»Œ€»æ,123,153,84,2.7,45,61
2014-03-04,96,¡º,72,84,39,2.3,27,77
2014-03-05,50,”≈,31,50,39,2,26,66
2014-03-06,42,”≈,23,42,32,1.9,17,64
2014-03-07,50,”≈,33,51,33,2.1,21,67
2014-03-08,59,¡º,42,63,31,2.2,26,57
2014-03-09,49,”≈,27,49,38,2.1,27,64
2014-03-10,58,¡º,37,65,39,2.2,28,62
2014-03-11,115,«·∂»Œ€»æ,87,120,37,2.5,23,53
2014-03-12,55,¡º,21,61,39,2.1,19,62
2014-03-13,61,¡º,42,73,45,2.3,28,74
2014-03-14,96,¡º,72,96,44,2.6,39,84
2014-03-15,81,¡º,60,97,37,2.9,32,63
2014-03-16,84,¡º,62,119,58,2.8,40,68
2014-03-17,135,«·∂»Œ€»æ,103,192,34,3,34,62
2014-03-18,63,¡º,37,75,29,2.4,21,80
2014-03-19,67,¡º,37,85,40,2.4,30,77
2014-03-20,59,¡º,24,68,36,2.3,23,61
2014-03-21,69,¡º,47,89,42,2.7,35,76
2014-03-22,121,«·∂»Œ€»æ,92,131,38,3.1,37,75
2014-03-23,135,«·∂»Œ€»æ,103,139,39,3.1,43,111
2014-03-24,153,÷–∂»Œ€»æ,117,169,38,3,24,84
2014-03-25,144,«·∂»Œ€»æ,110,129,27,3,23,94
2014-03-26,129,«·∂»Œ€»æ,98,115,19,3,22,68
2014-03-27,90,¡º,67,98,27,3.1,27,93
2014-03-28,106,«·∂»Œ€»æ,80,109,22,3,21,83
2014-03-29,70,¡º,51,62,26,2.9,27,85
2014-03-30,83,¡º,62,93,35,3.1,41,90
2014-03-31,57,¡º,32,64,36,2.7,27,72
2014-04-01,119,«·∂»Œ€»æ,90,107,32,3.2,18,123
2014-04-02,85,¡º,41,121,23,2.8,21,105
2014-04-03,57,¡º,27,64,22,2.7,27,68
2014-04-04,94,¡º,30,139,20,2.9,19,67
2014-04-05,50,”≈,19,51,16,2.6,13,61
2014-04-06,72,¡º,40,95,22,3.1,21,74
2014-04-07,96,¡º,67,142,22,3.3,28,91
2014-04-08,134,«·∂»Œ€»æ,102,156,45,3.5,29,149
2014-04-09,101,«·∂»Œ€»æ,76,139,27,2.7,25,112
2014-04-10,66,¡º,33,81,23,1.9,29,84
2014-04-11,86,¡º,64,98,40,1.2,49,77
2014-04-12,101,«·∂»Œ€»æ,75,108,31,1,50,94
2014-04-13,91,¡º,68,92,15,0.7,27,116
2014-04-14,138,«·∂»Œ€»æ,105,134,31,1,22,150
2014-04-15,106,«·∂»Œ€»æ,57,162,20,0.6,28,149
2014-04-16,75,¡º,47,100,36,0.6,54,110
2014-04-17,80,¡º,45,110,26,0.6,39,68
2014-04-18,56,¡º,26,62,15,0.5,24,83
2014-04-19,59,¡º,31,68,22,0.6,28,94
2014-04-20,67,¡º,48,66,18,1.1,23,90
2014-04-21,68,¡º,49,66,18,0.9,24,87
2014-04-22,108,«·∂»Œ€»æ,82,103,27,1.2,26,125
2014-04-23,159,÷–∂»Œ€»æ,121,151,34,1.3,20,138
2014-04-24,82,¡º,46,102,19,0.8,19,138
2014-04-25,71,¡º,40,67,16,0.7,19,125
2014-04-26,64,¡º,39,77,17,0.7,18,94
2014-04-27,58,¡º,33,66,21,0.7,27,77
2014-04-28,78,¡º,31,107,27,0.7,36,95
2014-04-29,98,¡º,73,117,27,0.9,39,132
2014-04-30,104,«·∂»Œ€»æ,69,115,32,1.4,28,164
2014-05-01,128,«·∂»Œ€»æ,98,148,47,1.4,23,183
2014-05-02,115,«·∂»Œ€»æ,45,133,17,0.9,21,177
2014-05-03,51,¡º,25,52,18,0.9,20,100
2014-05-04,43,”≈,21,39,12,0.7,17,85
2014-05-05,51,¡º,26,51,17,0.8,26,72
2014-05-06,55,¡º,26,60,18,1,25,81
2014-05-07,73,¡º,54,61,14,1.2,28,72
2014-05-08,49,”≈,33,45,16,1,37,98
2014-05-09,77,¡º,56,98,25,1.2,63,80
2014-05-10,83,¡º,61,100,23,1.4,52,102
2014-05-11,66,¡º,48,68,17,1.2,45,74
2014-05-12,51,¡º,26,25,12,1.3,17,101
2014-05-13,91,¡º,68,104,17,1.7,36,110
2014-05-14,55,¡º,23,61,14,0.9,26,103
2014-05-15,52,¡º,25,54,13,0.9,35,87
2014-05-16,64,¡º,40,78,19,1,41,87
2014-05-17,49,”≈,24,46,11,0.8,25,98
2014-05-18,68,¡º,22,48,10,0.8,18,121
2014-05-19,75,¡º,55,83,13,0.9,25,109
2014-05-20,91,¡º,68,80,10,1,18,108
2014-05-21,114,«·∂»Œ€»æ,86,113,12,1.1,26,141
2014-05-22,150,«·∂»Œ€»æ,115,173,16,1.4,36,168
2014-05-23,105,«·∂»Œ€»æ,75,103,14,1.2,22,166
2014-05-24,84,¡º,47,58,9,1,17,141
2014-05-25,52,¡º,36,46,9,1.5,22,97
2014-05-26,63,¡º,23,62,19,1.2,29,116
2014-05-27,92,¡º,61,135,34,1.6,62,110
2014-05-28,53,¡º,13,38,11,0.8,15,104
2014-05-29,125,«·∂»Œ€»æ,45,89,19,1.3,26,187
2014-05-30,172,÷–∂»Œ€»æ,64,134,27,1.4,35,237
2014-05-31,163,÷–∂»Œ€»æ,66,104,12,1.2,14,228
2014-06-01,133,«·∂»Œ€»æ,102,138,12,1.4,13,154
2014-06-02,78,¡º,38,71,24,1.2,21,134
2014-06-03,108,«·∂»Œ€»æ,69,100,21,1.5,31,169
2014-06-04,86,¡º,45,55,11,1.1,11,143
2014-06-05,68,¡º,29,41,10,1,9,121
2014-06-06,39,”≈,14,34,14,1,17,77
2014-06-07,30,”≈,14,13,9,1,20,60
2014-06-08,74,¡º,18,27,14,1.1,14,129
2014-06-09,85,¡º,31,43,12,1.2,16,142
2014-06-10,93,¡º,67,101,17,1.5,34,152
2014-06-11,60,¡º,43,51,14,1.2,22,111
2014-06-12,53,¡º,22,31,12,1.1,18,104
2014-06-13,47,”≈,11,26,12,1,19,94
2014-06-14,79,¡º,32,65,18,1.2,30,135
2014-06-15,104,«·∂»Œ€»æ,47,57,17,1.3,11,164
2014-06-16,151,÷–∂»Œ€»æ,116,121,15,1.4,18,158
2014-06-17,180,÷–∂»Œ€»æ,136,150,14,1.3,10,159
2014-06-18,94,¡º,62,56,11,0.9,11,153
2014-06-19,63,¡º,24,34,11,0.6,17,116
2014-06-20,66,¡º,47,61,15,0.8,31,109
2014-06-21,86,¡º,59,79,11,1,14,143
2014-06-22,63,¡º,43,53,11,0.8,20,116
2014-06-23,98,¡º,46,76,14,0.8,30,158
2014-06-24,139,«·∂»Œ€»æ,64,89,14,1.1,11,203
2014-06-25,125,«·∂»Œ€»æ,37,58,13,0.6,11,187
2014-06-26,106,«·∂»Œ€»æ,80,92,13,0.8,11,133
2014-06-27,68,¡º,23,33,13,0.6,15,121
2014-06-28,42,”≈,18,33,15,0.5,24,84
2014-06-29,76,¡º,33,44,14,0.6,30,131
2014-06-30,94,¡º,54,65,13,0.7,21,153
2014-07-01,89,¡º,43,60,13,0.7,11,147
2014-07-02,77,¡º,56,76,13,1,14,120
2014-07-03,100,¡º,75,94,11,0.8,8,130
2014-07-04,103,«·∂»Œ€»æ,77,99,12,0.9,9,142
2014-07-05,79,¡º,38,47,10,0.6,7,135
2014-07-06,69,¡º,22,27,11,0.6,5,123
2014-07-07,78,¡º,22,29,12,0.6,6,133
