»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,199,÷–∂»Œ€»æ,150,191,12,1,30,68
2015-01-01,198,÷–∂»Œ€»æ,148,201,16,1.2,43,27
2015-01-02,204,÷ÿ∂»Œ€»æ,154,210,21,1.3,48,18
2015-01-03,168,÷–∂»Œ€»æ,127,176,15,1.3,38,42
2015-01-04,238,÷ÿ∂»Œ€»æ,188,258,27,1.4,65,28
2015-01-05,168,÷–∂»Œ€»æ,128,168,17,1.4,40,18
2015-01-06,85,¡º,63,91,22,0.8,31,60
2015-01-07,86,¡º,63,94,22,0.6,35,29
2015-01-08,92,¡º,69,85,11,0.5,29,30
2015-01-09,103,«·∂»Œ€»æ,78,106,16,0.7,27,47
2015-01-10,109,«·∂»Œ€»æ,82,112,19,0.9,27,46
2015-01-11,104,«·∂»Œ€»æ,78,100,16,0.7,25,57
2015-01-12,90,¡º,67,95,15,0.7,28,51
2015-01-13,204,÷ÿ∂»Œ€»æ,154,205,31,1.4,57,34
2015-01-14,216,÷ÿ∂»Œ€»æ,166,218,27,1.4,60,11
2015-01-15,266,÷ÿ∂»Œ€»æ,216,283,36,1.7,56,10
2015-01-16,159,÷–∂»Œ€»æ,121,159,28,0.9,36,58
2015-01-17,160,÷–∂»Œ€»æ,122,158,23,0.8,27,57
2015-01-18,146,«·∂»Œ€»æ,111,144,19,0.7,32,44
2015-01-19,147,«·∂»Œ€»æ,113,143,19,0.8,29,43
2015-01-20,168,÷–∂»Œ€»æ,128,174,28,1.1,39,76
2015-01-21,154,÷–∂»Œ€»æ,118,167,25,1,38,84
2015-01-22,214,÷ÿ∂»Œ€»æ,164,229,40,1.4,65,41
2015-01-23,251,÷ÿ∂»Œ€»æ,201,273,42,1.5,72,37
2015-01-24,234,÷ÿ∂»Œ€»æ,184,257,36,1.4,71,56
2015-01-25,180,÷–∂»Œ€»æ,136,191,29,1.1,49,45
2015-01-26,174,÷–∂»Œ€»æ,132,176,23,1.1,52,39
2015-01-27,188,÷–∂»Œ€»æ,141,203,24,1.3,54,16
2015-01-28,69,¡º,40,87,7,0.9,22,31
2015-01-29,51,¡º,33,51,10,0.9,16,43
2015-01-30,73,¡º,54,79,17,1.1,17,38
2015-01-31,60,¡º,43,55,7,0.7,16,30
2015-02-01,47,”≈,33,37,6,0.7,12,35
2015-02-02,73,¡º,54,66,10,0.8,12,39
2015-02-03,110,«·∂»Œ€»æ,83,103,11,1,25,29
2015-02-04,94,¡º,70,94,13,1.1,22,86
2015-02-05,97,¡º,72,100,14,0.7,27,71
2015-02-06,129,«·∂»Œ€»æ,99,132,34,1,28,61
2015-02-07,120,«·∂»Œ€»æ,91,113,14,0.9,31,56
2015-02-08,108,«·∂»Œ€»æ,82,110,25,0.9,29,57
2015-02-09,163,÷–∂»Œ€»æ,124,158,16,1.1,32,45
2015-02-10,182,÷–∂»Œ€»æ,137,177,16,1.1,35,58
2015-02-11,148,«·∂»Œ€»æ,114,152,15,1.1,27,93
2015-02-12,144,«·∂»Œ€»æ,110,145,24,1.1,36,133
2015-02-13,147,«·∂»Œ€»æ,112,138,13,0.9,28,97
2015-02-14,179,÷–∂»Œ€»æ,136,171,20,1.2,35,109
2015-02-15,190,÷–∂»Œ€»æ,143,201,13,1.3,36,60
2015-02-16,94,¡º,70,120,12,0.7,21,82
2015-02-17,104,«·∂»Œ€»æ,78,120,11,0.7,15,99
2015-02-18,129,«·∂»Œ€»æ,98,140,12,0.7,15,93
2015-02-19,228,÷ÿ∂»Œ€»æ,178,222,36,0.7,14,73
2015-02-20,77,¡º,57,70,9,0.7,10,49
2015-02-21,101,«·∂»Œ€»æ,76,94,8,0.9,18,21
