»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,95,¡º,43,140,79,0.7,38,71
2014-01-01,98,¡º,74,146,141,1.5,45,53
2014-01-02,100,¡º,75,148,142,1.5,47,59
2014-01-03,90,¡º,60,130,131,1.1,41,60
2014-01-04,98,¡º,64,145,140,1.2,45,62
2014-01-05,92,¡º,66,134,155,1.5,46,55
2014-01-06,115,«·∂»Œ€»æ,73,180,201,1.9,55,32
2014-01-07,97,¡º,46,143,138,0.9,36,82
2014-01-08,63,¡º,31,76,91,0.8,30,77
2014-01-09,89,¡º,65,127,152,1.4,44,54
2014-01-10,125,«·∂»Œ€»æ,95,186,219,2,62,37
2014-01-11,116,«·∂»Œ€»æ,88,178,146,1.8,45,78
2014-01-12,80,¡º,48,109,121,0.9,39,69
2014-01-13,105,«·∂»Œ€»æ,79,145,176,1.6,50,44
2014-01-14,109,«·∂»Œ€»æ,83,139,167,1.7,49,55
2014-01-15,98,¡º,70,146,161,1.6,45,45
2014-01-16,117,«·∂»Œ€»æ,88,172,164,1.9,53,48
2014-01-17,87,¡º,64,124,160,1.2,47,61
2014-01-18,101,«·∂»Œ€»æ,62,152,133,1.5,39,48
2014-01-19,98,¡º,30,145,50,0.5,15,88
2014-01-20,84,¡º,62,109,138,1.4,43,59
2014-01-21,122,«·∂»Œ€»æ,93,167,153,1.9,42,27
2014-01-22,137,«·∂»Œ€»æ,105,189,202,2.3,56,50
2014-01-23,214,÷ÿ∂»Œ€»æ,164,308,306,3.3,74,33
2014-01-24,177,÷–∂»Œ€»æ,134,279,290,2.7,74,30
2014-01-25,132,«·∂»Œ€»æ,100,197,285,2.1,63,35
2014-01-26,197,÷–∂»Œ€»æ,148,241,255,2.8,63,43
2014-01-27,144,«·∂»Œ€»æ,101,238,229,2.5,54,46
2014-01-28,87,¡º,63,125,126,1.3,34,51
2014-01-29,126,«·∂»Œ€»æ,95,191,166,2.3,44,62
2014-01-30,138,«·∂»Œ€»æ,106,180,188,1.8,44,56
2014-01-31,265,÷ÿ∂»Œ€»æ,215,312,312,2.5,62,53
2014-02-01,211,÷ÿ∂»Œ€»æ,161,268,224,2.3,53,47
2014-02-02,251,÷ÿ∂»Œ€»æ,87,386,179,0.9,30,50
2014-02-03,89,¡º,38,128,134,0.6,23,51
2014-02-04,62,¡º,25,74,44,0.5,14,51
2014-02-05,98,¡º,73,86,54,0.9,18,54
2014-02-06,155,÷–∂»Œ€»æ,118,144,93,1.3,27,46
2014-02-07,137,«·∂»Œ€»æ,105,175,185,1.3,38,41
2014-02-08,80,¡º,59,95,83,1,19,50
2014-02-09,37,”≈,22,37,42,0.4,8,64
2014-02-10,95,¡º,71,93,83,1,20,64
2014-02-11,147,«·∂»Œ€»æ,113,151,119,1.2,27,66
2014-02-12,101,«·∂»Œ€»æ,76,120,97,1,25,78
2014-02-13,129,«·∂»Œ€»æ,98,138,107,1,33,62
2014-02-14,163,÷–∂»Œ€»æ,124,204,147,1.5,46,82
2014-02-15,109,«·∂»Œ€»æ,76,169,243,1.5,54,56
2014-02-16,99,¡º,73,149,201,1.4,44,54
2014-02-17,76,¡º,56,81,67,0.8,22,79
2014-02-18,75,¡º,52,100,56,0.8,23,87
2014-02-19,61,¡º,37,72,87,0.8,25,88
2014-02-20,80,¡º,57,109,100,1.1,28,67
2014-02-21,147,«·∂»Œ€»æ,113,164,135,1.4,43,92
2014-02-22,162,÷–∂»Œ€»æ,123,174,108,1.7,38,89
2014-02-23,142,«·∂»Œ€»æ,108,151,100,1.6,33,80
2014-02-24,191,÷–∂»Œ€»æ,144,200,91,1.9,35,83
2014-02-25,157,÷–∂»Œ€»æ,120,223,84,1.8,29,84
2014-02-26,104,«·∂»Œ€»æ,24,158,49,0.4,9,88
2014-02-27,77,¡º,42,103,81,1,23,74
2014-02-28,76,¡º,31,102,53,0.5,15,91
2014-03-01,68,¡º,32,86,90,0.7,21,90
2014-03-02,79,¡º,49,107,113,1.1,31,96
2014-03-03,102,«·∂»Œ€»æ,46,153,97,0.9,26,106
2014-03-04,62,¡º,28,74,81,0.6,22,79
2014-03-05,60,¡º,29,70,95,0.7,24,80
2014-03-06,55,¡º,29,59,72,0.8,21,90
2014-03-07,80,¡º,58,111,157,1.3,44,57
2014-03-08,84,¡º,50,119,112,1.3,42,91
2014-03-09,72,¡º,45,94,103,1,36,98
2014-03-10,95,¡º,71,134,116,1.5,44,109
2014-03-11,167,÷–∂»Œ€»æ,62,284,92,1,34,83
2014-03-12,57,¡º,26,63,70,0.6,23,75
2014-03-13,68,¡º,43,86,68,0.9,29,92
2014-03-14,81,¡º,55,111,109,1.2,34,102
2014-03-15,107,«·∂»Œ€»æ,80,159,110,1.5,51,106
2014-03-16,125,«·∂»Œ€»æ,69,199,132,1.4,34,111
2014-03-18,98,¡º,39,145,83,0.7,24,90
2014-03-19,85,¡º,27,120,96,0.5,22,104
2014-03-20,53,¡º,27,53,48,0.7,22,103
2014-03-21,72,¡º,44,95,69,1,34,108
2014-03-22,82,¡º,42,99,77,0.9,37,138
2014-03-23,77,¡º,51,105,103,1.3,39,113
2014-03-24,101,«·∂»Œ€»æ,71,151,117,1.4,52,88
2014-03-25,118,«·∂»Œ€»æ,78,185,108,0.6,47,146
2014-03-26,101,«·∂»Œ€»æ,48,142,75,0.9,34,161
2014-03-27,175,÷–∂»Œ€»æ,103,301,50,0.5,16,128
2014-03-28,66,¡º,28,83,47,0.5,20,104
2014-03-29,77,¡º,43,104,95,1,38,113
2014-03-30,75,¡º,38,101,92,1,38,88
2014-03-31,79,¡º,54,109,88,1.1,32,117
2014-04-01,78,¡º,44,106,77,0.9,28,122
2014-04-02,77,¡º,34,103,105,0.9,27,100
2014-04-03,100,¡º,28,149,63,0.5,17,109
2014-04-04,66,¡º,28,68,56,0.8,26,119
2014-04-05,63,¡º,26,75,47,0.7,21,102
2014-04-06,78,¡º,30,73,53,0.7,14,133
2014-04-07,85,¡º,44,84,63,0.8,19,142
2014-04-08,112,«·∂»Œ€»æ,40,91,56,0.8,20,173
2014-04-09,85,¡º,43,120,58,0.8,22,136
2014-04-10,81,¡º,60,105,66,0.9,29,122
2014-04-11,77,¡º,40,78,49,0.9,20,132
2014-04-12,77,¡º,50,99,68,0.9,30,132
2014-04-13,80,¡º,29,56,37,0.7,14,136
2014-04-14,85,¡º,36,70,36,0.8,16,142
2014-04-15,63,¡º,32,46,23,0.9,15,115
2014-04-16,45,”≈,20,39,37,0.9,19,90
2014-04-17,78,¡º,44,105,32,1.1,31,94
2014-04-18,107,«·∂»Œ€»æ,49,163,74,1,31,111
2014-04-19,70,¡º,32,90,39,0.5,15,107
2014-04-20,64,¡º,25,59,41,0.6,18,117
2014-04-21,65,¡º,15,63,25,0.4,15,118
2014-04-22,83,¡º,32,78,58,0.8,31,139
2014-04-23,87,¡º,46,121,52,0.9,39,144
2014-04-25,194,÷–∂»Œ€»æ,91,337,23,0.6,12,87
2014-04-26,205,÷ÿ∂»Œ€»æ,85,354,44,0.7,20,87
2014-04-27,145,«·∂»Œ€»æ,64,240,56,0.7,23,114
2014-04-28,96,¡º,47,141,60,0.8,30,131
2014-04-29,113,«·∂»Œ€»æ,64,177,66,1,41,156
2014-04-30,154,÷–∂»Œ€»æ,88,259,64,0.9,43,153
2014-05-02,67,¡º,35,62,56,0.6,22,120
