»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,281,÷ÿ∂»Œ€»æ,207,406,233,5.8,123,22
2013-12-03,129,«·∂»Œ€»æ,94,208,130,2.7,71,36
2013-12-04,122,«·∂»Œ€»æ,87,195,134,3,73,26
2013-12-05,57,¡º,25,64,52,0.6,32,50
2013-12-06,118,«·∂»Œ€»æ,87,186,139,2.7,68,20
2013-12-07,132,«·∂»Œ€»æ,100,205,101,2.2,60,15
2013-12-08,213,÷ÿ∂»Œ€»æ,163,296,126,2.9,69,10
2013-12-09,59,¡º,24,68,46,0.8,30,54
2013-12-10,96,¡º,52,142,103,2,54,25
2013-12-11,59,¡º,27,68,63,1.2,47,44
2013-12-12,80,¡º,36,110,55,1.3,32,52
2013-12-13,58,¡º,23,65,50,1.2,36,52
2013-12-14,69,¡º,36,88,77,1.4,43,45
2013-12-15,65,¡º,32,79,66,1.2,38,47
2013-12-16,109,«·∂»Œ€»æ,76,168,105,2.4,54,18
2013-12-17,83,¡º,62,105,66,1.2,37,38
2013-12-18,51,¡º,28,52,40,1.1,33,46
2013-12-19,54,¡º,27,59,39,1.2,34,44
2013-12-20,59,¡º,28,67,49,1.2,37,52
2013-12-21,71,¡º,42,92,78,1.6,46,45
2013-12-22,101,«·∂»Œ€»æ,75,152,107,2.2,53,33
2013-12-23,169,÷–∂»Œ€»æ,128,236,130,3.7,62,40
2013-12-24,90,¡º,57,130,98,1.9,47,38
2013-12-25,271,÷ÿ∂»Œ€»æ,221,358,222,5.5,95,17
2013-12-26,66,¡º,27,83,42,1.2,30,53
2013-12-27,69,¡º,35,88,87,1.8,43,42
2013-12-28,82,¡º,38,114,101,1.7,42,41
2013-12-29,111,«·∂»Œ€»æ,54,172,134,2.5,54,34
2013-12-30,109,«·∂»Œ€»æ,65,168,128,2.7,57,47
2013-12-31,130,«·∂»Œ€»æ,67,210,134,2.8,51,47
2014-01-01,121,«·∂»Œ€»æ,64,192,140,2.9,51,37
2014-01-02,83,¡º,47,115,99,1.7,45,32
2014-01-03,81,¡º,51,112,86,1.7,43,48
2014-01-04,88,¡º,53,126,89,1.9,47,33
2014-01-05,99,¡º,75,130,84,1.7,47,34
2014-01-06,148,«·∂»Œ€»æ,113,184,118,2.7,55,31
2014-01-07,130,«·∂»Œ€»æ,99,152,119,2.5,48,40
2014-01-08,49,”≈,24,49,51,1,33,45
2014-01-09,74,¡º,35,97,92,1.7,41,50
2014-01-10,117,«·∂»Œ€»æ,80,184,118,3,61,26
2014-01-11,221,÷ÿ∂»Œ€»æ,171,305,170,4.5,83,17
2014-01-12,77,¡º,57,96,64,1.4,46,58
2014-01-13,98,¡º,73,129,116,2.4,52,25
2014-01-14,90,¡º,67,115,83,1.4,46,33
2014-01-15,154,÷–∂»Œ€»æ,118,218,146,3.4,65,30
2014-01-16,253,÷ÿ∂»Œ€»æ,203,292,159,3.9,75,15
2014-01-17,106,«·∂»Œ€»æ,80,113,98,1.6,50,32
2014-01-18,107,«·∂»Œ€»æ,80,131,107,2.2,50,46
2014-01-19,128,«·∂»Œ€»æ,98,157,134,1.9,59,23
2014-01-20,73,¡º,48,96,71,1,35,55
2014-01-21,78,¡º,58,104,97,1.4,43,29
2014-01-22,133,«·∂»Œ€»æ,101,195,133,2.5,66,29
2014-01-23,174,÷–∂»Œ€»æ,132,221,157,2.6,79,18
2014-01-24,202,÷ÿ∂»Œ€»æ,152,240,133,2.5,75,16
2014-01-25,66,¡º,37,82,44,0.8,33,54
