日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,83,良,62,89,16,0.8,13,41
2015-01-01,71,良,52,66,16,0.6,11,70
2015-01-02,76,良,56,87,18,0.5,9,77
2015-01-03,84,良,62,91,20,0.5,11,83
2015-01-04,86,良,64,103,24,0.5,17,80
2015-01-05,58,良,38,67,19,0.5,13,76
2015-01-06,55,良,39,60,15,0.4,9,79
2015-01-07,66,良,47,66,14,0.5,6,77
2015-01-08,46,优,29,46,13,0.7,11,63
2015-01-09,55,良,39,42,13,1,12,40
2015-01-10,74,良,54,65,41,1.6,20,34
2015-01-11,102,轻度污染,77,98,44,1,16,55
2015-01-12,108,轻度污染,82,109,43,0.9,17,90
2015-01-13,133,轻度污染,102,136,78,1,19,96
2015-01-14,66,良,48,64,17,0.4,9,82
2015-01-15,77,良,57,89,56,0.7,17,77
2015-01-16,71,良,52,68,14,0.5,12,65
2015-01-17,75,良,55,68,9,0.5,12,66
2015-01-18,101,轻度污染,76,93,11,0.5,10,83
2015-01-19,94,良,70,87,15,0.8,14,102
2015-01-20,93,良,69,104,74,1.5,16,81
2015-01-21,107,轻度污染,81,116,94,0.9,18,63
2015-01-22,60,良,41,69,27,0.4,14,66
2015-01-23,71,良,52,81,35,0.5,16,73
2015-01-24,55,良,39,59,21,0.4,11,87
2015-01-25,55,良,35,60,17,0.3,12,84
2015-01-26,73,良,53,84,48,0.6,18,85
2015-01-27,63,良,46,74,34,0.5,14,86
2015-01-28,68,良,49,81,48,0.6,16,92
2015-01-29,60,良,43,66,16,0.5,11,104
2015-01-30,70,良,51,71,9,0.5,8,95
2015-01-31,56,良,40,60,6,0.8,10,85
2015-02-01,38,优,20,38,5,0.9,13,43
2015-02-02,37,优,22,37,7,0.8,9,69
2015-02-03,58,良,40,66,20,0.7,13,89
2015-02-04,45,优,29,45,10,0.7,8,71
2015-02-05,46,优,31,46,13,1,15,59
2015-02-06,41,优,24,41,9,0.8,7,57
2015-02-07,54,良,37,59,15,0.7,10,87
2015-02-08,44,优,31,43,11,0.9,8,59
2015-02-09,67,良,48,65,9,0.8,7,81
2015-02-10,61,良,44,56,13,0.6,10,107
2015-02-11,74,良,54,71,21,0.8,12,85
2015-02-12,54,良,38,58,15,0.7,8,82
2015-02-13,63,良,45,61,12,0.8,7,83
2015-02-14,48,优,27,35,8,0.6,6,96
2015-02-15,52,良,36,49,9,0.5,4,101
2015-02-16,62,良,45,49,10,0.6,4,108
2015-02-17,70,良,51,64,31,0.7,7,104
2015-02-18,78,良,58,65,10,0.5,3,97
2015-02-19,73,良,53,63,12,0.5,3,102
2015-02-20,66,良,48,58,10,0.5,3,110
2015-02-21,58,良,39,51,13,0.4,5,109
2015-02-22,67,良,46,64,15,0.4,4,120
2015-02-23,63,良,45,56,13,0.4,4,116
2015-02-24,63,良,39,54,31,0.4,7,115
2015-02-25,68,良,35,49,15,0.4,6,121
2015-02-26,85,良,54,79,12,0.4,7,142
2015-02-27,88,良,53,72,12,0.5,7,146
2015-02-28,86,良,57,78,10,0.5,9,143
2015-03-01,91,良,68,86,9,0.6,9,132
2015-03-02,76,良,46,67,8,0.4,7,131
2015-03-03,71,良,47,68,16,0.6,9,125
2015-03-04,77,良,57,78,8,0.6,11,113
2015-03-05,64,良,46,64,8,0.5,8,117
2015-03-06,70,良,37,58,11,0.5,10,124
2015-03-07,77,良,57,75,7,0.7,9,125
2015-03-08,91,良,68,89,15,0.7,10,138
2015-03-09,96,良,72,100,12,0.7,12,146
2015-03-10,91,良,68,90,5,0.7,8,119
2015-03-11,88,良,65,88,4,0.6,11,102
2015-03-12,65,良,47,76,3,0.5,11,92
2015-03-13,91,良,60,82,8,0.5,10,149
2015-03-14,114,轻度污染,80,108,10,0.6,13,175
2015-03-15,108,轻度污染,82,107,13,0.6,13,153
2015-03-16,90,良,63,91,20,0.5,9,148
2015-03-17,84,良,53,74,13,0.5,11,141
2015-03-18,86,良,57,82,11,0.4,10,143
2015-03-19,96,良,72,111,16,0.6,15,146
2015-03-20,116,轻度污染,88,125,27,0.7,15,159
2015-03-21,145,轻度污染,111,140,5,0.8,11,145
2015-03-22,78,良,57,79,4,0.6,10,85
2015-03-23,83,良,61,76,5,0.7,11,77
2015-03-24,75,良,55,70,11,0.6,16,83
2015-03-26,44,优,23,28,9,0.5,8,87
2015-03-27,42,优,29,37,29,0.5,10,83
2015-03-28,57,良,32,45,5,0.4,11,108
2015-03-29,51,良,32,46,5,0.4,10,101
2015-03-30,60,良,43,60,6,0.4,9,105
2015-03-31,69,良,50,68,5,0.4,8,122
2015-04-01,84,良,62,85,8,0.5,10,136
2015-04-02,75,良,55,76,8,0.4,8,127
2015-04-03,63,良,38,62,6,0.3,6,115
2015-04-04,70,良,38,62,11,0.5,6,124
2015-04-05,75,良,52,101,12,0.4,11,126
2015-04-06,139,轻度污染,106,150,20,0.6,14,153
2015-04-07,121,轻度污染,92,124,8,0.7,12,130
2015-04-08,83,良,62,74,20,0.7,12,128
2015-04-09,68,良,41,63,5,0.6,8,121
2015-04-10,62,良,44,53,11,0.8,16,101
2015-04-11,44,优,29,44,8,0.6,9,88
2015-04-12,83,良,50,58,50,0.8,13,139
2015-04-13,77,良,43,67,21,0.5,16,132
2015-04-14,72,良,39,65,16,0.4,12,126
2015-04-15,90,良,55,82,14,0.4,12,148
2015-04-16,101,轻度污染,76,111,28,0.6,14,137
2015-04-17,99,良,74,102,6,0.5,9,136
2015-04-18,80,良,52,75,13,0.5,10,136
2015-04-19,58,良,41,63,12,0.3,8,99
2015-04-20,81,良,42,63,18,0.4,11,137
2015-04-21,70,良,51,83,7,0.4,8,122
2015-04-22,61,良,40,56,6,0.5,9,113
2015-04-23,51,良,33,45,5,0.5,9,101
2015-04-24,45,优,29,34,15,0.7,11,89
2015-04-25,45,优,32,39,13,0.7,14,79
2015-04-26,39,优,11,24,5,0.4,11,77
2015-04-27,42,优,15,29,20,0.4,11,83
2015-04-28,47,优,13,26,12,0.3,9,93
2015-04-29,60,良,14,31,16,0.4,9,112
2015-04-30,53,良,16,35,15,0.6,11,104
2015-05-01,63,良,14,38,7,0.5,6,116
2015-05-02,78,良,27,61,15,0.6,11,133
2015-05-03,67,良,28,63,10,0.5,8,120
2015-05-04,78,良,37,77,15,0.6,11,134
2015-05-05,83,良,39,79,8,0.4,9,139
2015-05-06,100,良,37,74,27,0.3,10,160
2015-05-07,98,良,45,82,9,0.4,10,158
2015-05-08,109,轻度污染,46,78,16,0.4,9,170
2015-05-09,88,良,50,74,26,0.6,13,146
2015-05-10,66,良,34,51,11,0.4,9,119
2015-05-11,75,良,34,50,9,0.4,8,130
2015-05-12,60,良,30,44,8,0.4,10,112
2015-05-13,47,优,21,32,8,0.4,10,93
2015-05-14,63,良,31,46,7,0.4,10,116
2015-05-15,57,良,28,48,12,0.4,9,108
2015-05-16,62,良,36,51,45,0.6,17,114
2015-05-17,50,优,24,39,7,0.4,10,99
2015-05-18,54,良,26,43,10,0.3,8,105
2015-05-19,43,优,14,22,6,0.2,7,86
2015-05-20,35,优,11,18,23,0.3,7,69
2015-05-21,31,优,15,7,10,0.4,8,61
2015-05-22,32,优,11,9,5,0.3,8,64
2015-05-23,49,优,22,23,23,0.5,11,98
2015-05-24,44,优,14,16,13,0.3,7,87
2015-05-25,63,良,20,42,10,0.3,8,116
2015-05-26,61,良,26,53,5,0.3,8,113
2015-05-27,58,良,30,57,5,0.3,9,109
2015-05-28,63,良,31,53,20,0.3,7,115
2015-05-29,65,良,28,49,9,0.3,8,118
2015-05-30,53,良,31,47,6,0.2,6,104
2015-06-01,49,优,19,40,6,0.2,6,98
2015-06-02,46,优,14,42,6,0.2,7,91
