»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,137,«·∂»Œ€»æ,105,162,70,1.9,91,34
2013-12-03,167,÷–∂»Œ€»æ,127,171,57,1.8,92,44
2013-12-04,340,—œ÷ÿŒ€»æ,290,374,83,2.9,127,25
2013-12-05,372,—œ÷ÿŒ€»æ,322,418,53,3.3,105,17
2013-12-06,359,—œ÷ÿŒ€»æ,309,397,88,3.3,105,20
2013-12-07,429,—œ÷ÿŒ€»æ,393,447,56,4,86,30
2013-12-08,347,—œ÷ÿŒ€»æ,297,360,70,3.9,98,37
2013-12-09,283,÷ÿ∂»Œ€»æ,233,296,57,3.9,86,13
2013-12-10,112,«·∂»Œ€»æ,84,132,62,2.3,76,22
2013-12-11,160,÷–∂»Œ€»æ,122,165,83,2,80,22
2013-12-12,199,÷–∂»Œ€»æ,149,195,64,1.5,87,10
2013-12-13,227,÷ÿ∂»Œ€»æ,177,230,71,2.1,106,13
2013-12-14,235,÷ÿ∂»Œ€»æ,185,228,51,2.2,87,9
2013-12-15,199,÷–∂»Œ€»æ,149,204,33,2,58,30
2013-12-16,81,¡º,60,69,22,1.5,45,28
2013-12-17,38,”≈,15,38,40,1.3,41,13
2013-12-18,46,”≈,9,29,51,0.7,38,92
2013-12-19,88,¡º,21,125,63,1,52,30
2013-12-20,148,«·∂»Œ€»æ,111,246,96,1.6,73,83
2013-12-21,114,«·∂»Œ€»æ,86,174,101,1.4,78,66
2013-12-22,127,«·∂»Œ€»æ,96,191,107,1.5,85,26
2013-12-23,158,÷–∂»Œ€»æ,121,205,95,1.5,83,19
2013-12-24,158,÷–∂»Œ€»æ,121,220,83,1.9,82,30
2013-12-25,214,÷ÿ∂»Œ€»æ,164,300,132,2.4,101,10
2013-12-26,267,÷ÿ∂»Œ€»æ,217,351,131,2.5,101,10
2013-12-27,79,¡º,43,108,54,1.1,50,21
2013-12-28,92,¡º,63,134,80,1.5,66,20
2013-12-29,94,¡º,65,138,90,1.7,73,30
2013-12-30,97,¡º,65,145,73,1.7,76,35
2013-12-31,114,«·∂»Œ€»æ,86,131,61,1.1,75,56
2014-01-01,90,¡º,60,131,58,1.1,76,76
2014-01-02,124,«·∂»Œ€»æ,94,198,79,1.5,113,24
2014-01-03,225,÷ÿ∂»Œ€»æ,175,264,96,1.7,117,23
2014-01-04,269,÷ÿ∂»Œ€»æ,219,345,83,1.9,99,9
2014-01-05,279,÷ÿ∂»Œ€»æ,229,333,40,1.9,67,31
2014-01-06,194,÷–∂»Œ€»æ,146,228,39,1.6,72,36
2014-01-07,105,«·∂»Œ€»æ,79,118,42,1.6,68,34
2014-01-08,86,¡º,64,74,45,1.4,54,30
2014-01-09,63,¡º,45,66,37,0.7,44,46
2014-01-10,88,¡º,65,101,40,0.8,55,60
2014-01-11,86,¡º,64,95,30,0.8,67,31
2014-01-12,101,«·∂»Œ€»æ,76,93,41,1.2,64,46
2014-01-13,162,÷–∂»Œ€»æ,123,156,61,1.4,67,48
2014-01-14,83,¡º,61,89,55,0.9,58,56
2014-01-15,157,÷–∂»Œ€»æ,120,142,58,1.1,67,66
2014-01-16,94,¡º,70,108,46,1,61,59
2014-01-17,200,÷–∂»Œ€»æ,150,221,92,1.7,101,39
2014-01-18,286,÷ÿ∂»Œ€»æ,236,320,71,1.6,81,64
2014-01-19,257,÷ÿ∂»Œ€»æ,207,274,53,1.7,70,88
