日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,47,优,33,37,22,0.3,32,50
2015-01-01,44,优,31,36,19,0.5,32,50
2015-01-02,67,良,49,55,30,0.8,46,43
2015-01-03,69,良,25,89,82,1.1,72,36
2015-01-04,98,良,69,146,60,1.7,68,44
2015-01-05,94,良,70,108,36,1.2,61,47
2015-01-06,24,优,14,24,10,0.4,29,40
2015-01-07,34,优,23,31,19,0.5,32,50
2015-01-08,99,良,74,93,32,1.1,71,51
2015-01-09,219,重度污染,169,203,52,1.9,124,66
2015-01-10,215,重度污染,165,201,39,1.8,79,66
2015-01-11,77,良,56,75,29,0.8,32,55
2015-01-12,92,良,69,95,76,1.1,47,45
2015-01-13,96,良,72,114,130,1.4,68,38
2015-01-14,85,良,63,106,79,1.3,43,50
2015-01-15,56,良,30,62,63,0.9,29,51
2015-01-16,53,良,38,53,42,0.9,26,62
2015-01-17,45,优,31,45,22,0.4,27,65
2015-01-18,87,良,65,105,66,0.8,53,50
2015-01-19,42,优,27,42,24,0.4,23,65
2015-01-20,91,良,67,105,95,0.9,70,60
2015-01-21,119,轻度污染,90,146,60,1.3,60,73
2015-01-22,201,重度污染,151,203,93,1.8,79,70
2015-01-23,64,良,46,79,58,0.6,57,69
2015-01-24,92,良,68,106,52,1,55,68
2015-01-25,179,中度污染,135,187,99,1.8,86,61
2015-01-26,100,良,75,103,30,1.1,40,66
2015-01-27,31,优,19,31,9,0.6,28,53
2015-01-28,52,良,37,54,16,0.8,37,56
2015-01-29,88,良,65,99,68,1.1,70,53
2015-01-30,69,良,50,66,15,0.8,21,53
2015-01-31,70,良,51,72,25,0.9,28,60
2015-02-01,139,轻度污染,106,150,82,1.5,76,73
2015-02-02,214,重度污染,164,222,84,1.9,111,82
2015-02-03,103,轻度污染,77,124,43,1.4,92,67
2015-02-04,111,轻度污染,84,126,25,1.2,50,84
2015-02-05,57,良,40,65,39,0.8,41,70
2015-02-06,81,良,60,92,54,1,59,68
2015-02-07,32,优,18,32,16,0.5,12,64
2015-02-08,25,优,17,25,19,0.7,15,50
2015-02-09,56,良,37,63,28,1,38,53
2015-02-10,34,优,23,34,28,0.6,23,61
2015-02-11,35,优,19,35,30,0.5,19,54
2015-02-12,36,优,19,33,39,0.5,25,71
2015-02-13,96,良,72,100,169,1.2,77,72
2015-02-14,153,中度污染,117,168,187,1.7,94,91
2015-02-15,127,轻度污染,96,153,124,1.6,90,81
2015-02-16,91,良,68,111,56,1.4,76,68
2015-02-17,49,优,27,49,15,0.6,25,61
2015-02-18,30,优,18,29,17,0.2,3,59
2015-02-19,103,轻度污染,77,104,34,0.7,22,74
2015-02-20,51,良,33,53,16,0.5,15,68
2015-02-21,43,优,30,17,21,0.5,14,76
2015-02-22,197,中度污染,97,344,4,0.7,25,57
