»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,240,÷ÿ∂»Œ€»æ,190,249,13,1.4,55,17
2014-01-01,213,÷ÿ∂»Œ€»æ,163,213,20,1.4,52,24
2014-01-02,218,÷ÿ∂»Œ€»æ,168,212,42,1.5,65,32
2014-01-03,240,÷ÿ∂»Œ€»æ,190,246,32,1.7,80,45
2014-01-04,204,÷ÿ∂»Œ€»æ,154,206,29,1.5,66,67
2014-01-05,225,÷ÿ∂»Œ€»æ,175,210,23,1.3,63,66
2014-01-06,123,«·∂»Œ€»æ,93,97,13,1,46,50
2014-01-07,93,¡º,69,92,18,1.1,53,60
2014-01-08,60,¡º,42,71,16,0.6,44,79
2014-01-09,116,«·∂»Œ€»æ,88,126,27,0.9,48,60
2014-01-10,106,«·∂»Œ€»æ,80,93,17,1,41,51
2014-01-11,128,«·∂»Œ€»æ,97,125,22,1.4,58,35
2014-01-12,120,«·∂»Œ€»æ,91,129,24,1.2,62,67
2014-01-13,132,«·∂»Œ€»æ,101,155,26,1.3,69,58
2014-01-14,149,«·∂»Œ€»æ,114,157,25,1.3,70,44
2014-01-15,174,÷–∂»Œ€»æ,132,189,55,1.5,80,25
2014-01-16,205,÷ÿ∂»Œ€»æ,155,204,33,1.6,69,45
2014-01-17,193,÷–∂»Œ€»æ,145,184,20,1.5,57,34
2014-01-18,190,÷–∂»Œ€»æ,143,170,12,1.4,46,34
2014-01-19,109,«·∂»Œ€»æ,82,122,19,1.1,58,70
2014-01-20,120,«·∂»Œ€»æ,91,166,29,1.3,73,56
2014-01-21,123,«·∂»Œ€»æ,93,156,20,1.1,60,43
2014-01-22,152,÷–∂»Œ€»æ,117,172,26,1.3,72,97
2014-01-23,177,÷–∂»Œ€»æ,134,193,33,1.4,81,96
2014-01-24,196,÷–∂»Œ€»æ,147,206,32,1.6,96,61
2014-01-25,200,÷–∂»Œ€»æ,150,213,29,1.6,79,72
2014-01-26,182,÷–∂»Œ€»æ,137,185,30,1.2,60,89
2014-01-27,224,÷ÿ∂»Œ€»æ,174,200,35,1.4,57,71
2014-01-28,240,÷ÿ∂»Œ€»æ,190,221,25,1.5,63,34
2014-01-29,214,÷ÿ∂»Œ€»æ,164,189,17,1.4,41,55
2014-01-30,195,÷–∂»Œ€»æ,147,166,16,1.1,28,90
2014-01-31,218,÷ÿ∂»Œ€»æ,168,215,17,1.3,34,63
2014-02-01,164,÷–∂»Œ€»æ,125,158,21,1.4,38,58
2014-02-02,165,÷–∂»Œ€»æ,126,145,17,1.3,37,72
2014-02-03,161,÷–∂»Œ€»æ,123,141,22,1.2,44,75
2014-02-04,174,÷–∂»Œ€»æ,132,149,19,1.2,34,65
2014-02-05,36,”≈,26,33,15,1.1,21,58
2014-02-06,23,”≈,16,21,13,0.8,21,45
2014-02-07,94,¡º,70,92,19,1.1,48,46
2014-02-08,83,¡º,61,82,14,0.9,32,40
2014-02-09,73,¡º,53,69,21,0.7,25,81
2014-02-10,99,¡º,74,84,24,1,33,87
2014-02-11,111,«·∂»Œ€»æ,83,93,23,1.1,37,56
2014-02-12,100,¡º,75,80,18,1,33,73
2014-02-13,130,«·∂»Œ€»æ,99,113,17,1.2,43,60
2014-02-14,121,«·∂»Œ€»æ,92,105,20,1.1,48,57
2014-02-15,142,«·∂»Œ€»æ,109,126,24,1.1,53,89
2014-02-16,157,÷–∂»Œ€»æ,120,149,24,1.4,57,63
2014-02-17,109,«·∂»Œ€»æ,82,94,15,1.1,45,55
2014-02-18,110,«·∂»Œ€»æ,83,99,22,1.2,50,81
2014-02-19,136,«·∂»Œ€»æ,104,133,29,1.4,67,57
2014-02-20,166,÷–∂»Œ€»æ,126,155,26,1.4,63,36
2014-02-21,137,«·∂»Œ€»æ,105,139,36,1.5,87,31
2014-02-22,166,÷–∂»Œ€»æ,126,172,39,1.6,74,40
2014-02-23,153,÷–∂»Œ€»æ,117,160,33,1.3,63,64
2014-02-24,136,«·∂»Œ€»æ,103,136,25,1,49,54
2014-02-25,136,«·∂»Œ€»æ,103,135,17,1.2,52,29
2014-02-26,87,¡º,64,80,13,1,42,56
2014-02-27,52,¡º,30,54,11,0.8,43,62
2014-02-28,40,”≈,24,40,11,0.8,44,59
2014-03-01,71,¡º,51,82,18,0.9,57,49
2014-03-02,40,”≈,25,40,10,0.7,24,75
2014-03-03,34,”≈,24,30,10,0.9,32,58
2014-03-04,57,¡º,39,64,16,1,45,95
2014-03-05,71,¡º,52,65,18,1,42,66
2014-03-06,48,”≈,34,44,15,0.9,44,68
2014-03-07,49,”≈,35,44,10,1,42,51
2014-03-08,53,¡º,37,50,20,1,50,75
2014-03-09,70,¡º,51,70,19,1,43,65
2014-03-10,100,¡º,75,111,21,1.2,61,36
2014-03-11,105,«·∂»Œ€»æ,79,108,32,1.1,53,89
2014-03-12,109,«·∂»Œ€»æ,73,167,28,1,62,91
2014-03-13,106,«·∂»Œ€»æ,62,162,21,0.7,50,86
2014-03-14,89,¡º,57,128,23,0.8,53,98
2014-03-15,89,¡º,66,120,24,0.9,55,97
2014-03-16,110,«·∂»Œ€»æ,83,134,24,1,56,119
2014-03-17,134,«·∂»Œ€»æ,102,153,28,1.1,72,151
2014-03-18,138,«·∂»Œ€»æ,106,172,30,1.3,83,94
2014-03-19,118,«·∂»Œ€»æ,89,161,32,0.9,57,100
2014-03-20,86,¡º,34,123,23,0.4,25,96
2014-03-21,55,¡º,27,61,14,0.6,30,73
2014-03-22,44,”≈,31,40,14,0.7,27,53
2014-03-23,61,¡º,44,66,22,0.9,41,84
2014-03-24,88,¡º,65,89,28,0.9,35,57
2014-03-25,156,÷–∂»Œ€»æ,119,163,22,1.1,51,77
2014-03-26,152,÷–∂»Œ€»æ,116,155,25,1.1,55,89
2014-03-27,141,«·∂»Œ€»æ,108,148,23,1.1,55,126
2014-03-28,141,«·∂»Œ€»æ,107,164,32,1.1,63,118
2014-03-29,114,«·∂»Œ€»æ,86,148,25,0.9,51,95
2014-03-30,61,¡º,42,72,12,0.6,25,68
2014-03-31,46,”≈,30,46,18,0.7,40,71
2014-04-01,71,¡º,52,84,26,0.8,46,85
2014-04-02,63,¡º,46,67,18,0.7,30,115
2014-04-03,57,¡º,40,63,17,0.6,33,101
2014-04-04,46,”≈,29,43,13,0.6,33,92
2014-04-05,63,¡º,45,70,23,0.8,45,74
2014-04-06,83,¡º,61,94,18,0.9,43,107
2014-04-07,68,¡º,37,52,17,0.8,31,121
2014-04-08,107,«·∂»Œ€»æ,80,126,24,1,59,134
2014-04-09,124,«·∂»Œ€»æ,94,147,20,1,57,84
2014-04-10,77,¡º,57,75,14,0.8,31,83
