»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,419,—œ÷ÿŒ€»æ,378,354,136,3.1,110,22
2013-12-03,331,—œ÷ÿŒ€»æ,281,437,186,3.8,123,18
2013-12-04,299,÷ÿ∂»Œ€»æ,249,365,115,2.8,98,29
2013-12-05,251,÷ÿ∂»Œ€»æ,201,297,81,2.4,71,23
2013-12-06,182,÷–∂»Œ€»æ,137,243,84,1.7,64,14
2013-12-07,370,—œ÷ÿŒ€»æ,317,476,82,2.8,53,24
2013-12-08,325,—œ÷ÿŒ€»æ,275,397,61,2.4,38,15
2013-12-09,205,÷ÿ∂»Œ€»æ,155,249,55,2.2,53,29
2013-12-10,170,÷–∂»Œ€»æ,129,213,82,1.6,66,24
2013-12-11,93,¡º,54,135,57,1,46,21
2013-12-12,119,«·∂»Œ€»æ,88,188,88,1.3,60,8
2013-12-13,122,«·∂»Œ€»æ,87,193,128,1.8,80,5
2013-12-14,270,÷ÿ∂»Œ€»æ,220,368,148,2.6,96,4
2013-12-16,455,—œ÷ÿŒ€»æ,422,555,168,4.5,130,3
2013-12-17,294,÷ÿ∂»Œ€»æ,244,353,132,3.5,102,3
2013-12-18,135,«·∂»Œ€»æ,103,150,138,1.9,58,8
2013-12-19,251,÷ÿ∂»Œ€»æ,201,271,108,2.6,79,6
2013-12-20,342,—œ÷ÿŒ€»æ,292,390,120,3.3,87,5
2013-12-21,227,÷ÿ∂»Œ€»æ,177,239,195,2.6,87,15
2013-12-22,220,÷ÿ∂»Œ€»æ,170,245,122,2.9,92,17
2013-12-23,339,—œ÷ÿŒ€»æ,289,336,113,3.3,98,17
2013-12-26,330,—œ÷ÿŒ€»æ,280,404,53,3.1,77,36
2013-12-27,124,«·∂»Œ€»æ,95,159,85,2.5,63,22
2013-12-28,96,¡º,58,141,79,2.6,64,29
2013-12-29,101,«·∂»Œ€»æ,65,151,87,2.6,65,25
2013-12-30,107,«·∂»Œ€»æ,64,164,106,3.1,80,22
2013-12-31,98,¡º,40,147,80,2.5,71,28
2014-01-01,112,«·∂»Œ€»æ,67,174,114,2.8,75,27
2014-01-02,157,÷–∂»Œ€»æ,120,245,151,3,99,14
2014-01-03,202,÷ÿ∂»Œ€»æ,152,262,134,3.2,88,24
2014-01-04,161,÷–∂»Œ€»æ,122,186,125,2.5,75,18
2014-01-05,232,÷ÿ∂»Œ€»æ,182,278,93,2.6,81,13
2014-01-06,361,—œ÷ÿŒ€»æ,311,446,173,4.9,107,7
2014-01-07,465,—œ÷ÿŒ€»æ,448,432,141,4.3,97,9
2014-01-08,112,«·∂»Œ€»æ,84,130,136,2.8,59,13
2014-01-09,223,÷ÿ∂»Œ€»æ,173,149,82,2.7,63,22
2014-01-10,194,÷–∂»Œ€»æ,146,230,61,2.6,67,18
2014-01-11,192,÷–∂»Œ€»æ,145,233,87,3,73,29
2014-01-12,159,÷–∂»Œ€»æ,121,201,119,3,79,22
2014-01-13,181,÷–∂»Œ€»æ,136,203,101,3,71,19
2014-01-14,224,÷ÿ∂»Œ€»æ,174,272,87,2.5,73,34
2014-01-15,308,—œ÷ÿŒ€»æ,258,343,69,2.8,63,33
2014-01-16,277,÷ÿ∂»Œ€»æ,227,301,66,2.6,68,24
2014-01-17,348,—œ÷ÿŒ€»æ,298,374,106,3.5,73,12
2014-01-18,341,—œ÷ÿŒ€»æ,291,365,58,3.7,72,23
2014-01-19,356,—œ÷ÿŒ€»æ,306,425,85,3,76,21
2014-01-20,120,«·∂»Œ€»æ,51,191,39,1.6,36,35
2014-01-21,70,¡º,42,89,70,1.7,46,21
2014-01-22,105,«·∂»Œ€»æ,75,160,53,1.7,41,36
2014-01-23,119,«·∂»Œ€»æ,90,179,65,2,61,34
2014-01-24,223,÷ÿ∂»Œ€»æ,173,279,106,3.1,100,19
2014-01-25,145,«·∂»Œ€»æ,111,159,136,2.6,69,27
2014-01-26,80,¡º,57,110,88,2.1,53,29
2014-01-27,93,¡º,69,132,47,1.7,49,35
2014-01-28,147,«·∂»Œ€»æ,112,188,103,2.8,60,32
2014-01-29,89,¡º,65,127,46,1.7,30,35
2014-01-30,230,÷ÿ∂»Œ€»æ,180,308,79,2.5,48,29
2014-01-31,370,—œ÷ÿŒ€»æ,272,476,56,3.6,51,6
2014-02-01,206,÷ÿ∂»Œ€»æ,156,269,49,4.2,47,8
2014-02-02,194,÷–∂»Œ€»æ,146,253,60,3.1,37,18
2014-02-03,62,¡º,28,73,89,1.3,29,33
2014-02-04,61,¡º,33,73,117,1.6,40,29
2014-02-05,64,¡º,46,67,63,1.6,30,25
2014-02-06,88,¡º,65,87,137,1.7,36,26
2014-02-07,79,¡º,58,73,125,1.5,36,23
2014-02-08,88,¡º,65,95,102,1.5,33,29
2014-02-09,60,¡º,43,63,38,1.2,24,26
2014-02-10,59,¡º,42,67,37,1.4,38,35
2014-02-11,100,¡º,75,126,60,1.6,43,32
2014-02-12,162,÷–∂»Œ€»æ,123,190,134,2.2,78,26
2014-02-13,184,÷–∂»Œ€»æ,139,212,182,2.3,79,32
2014-02-14,207,÷ÿ∂»Œ€»æ,157,217,101,2,46,47
2014-02-15,145,«·∂»Œ€»æ,111,150,44,1.6,38,38
2014-02-16,172,÷–∂»Œ€»æ,130,192,83,1.9,61,29
2014-02-17,143,«·∂»Œ€»æ,110,154,130,1.9,47,28
2014-02-18,86,¡º,64,110,220,1.7,66,26
2014-02-19,139,«·∂»Œ€»æ,107,161,158,2.1,63,14
2014-02-20,209,÷ÿ∂»Œ€»æ,159,233,108,2.5,60,26
2014-02-21,120,«·∂»Œ€»æ,91,155,57,1.8,44,44
2014-02-22,158,÷–∂»Œ€»æ,120,192,76,2,57,47
2014-02-23,148,«·∂»Œ€»æ,113,186,69,1.8,56,44
2014-02-24,256,÷ÿ∂»Œ€»æ,206,317,68,2.5,70,41
2014-02-25,224,÷ÿ∂»Œ€»æ,174,258,64,2.3,61,54
2014-02-26,141,«·∂»Œ€»æ,108,160,42,1.4,41,36
2014-02-27,81,¡º,60,96,33,1.3,30,39
2014-02-28,107,«·∂»Œ€»æ,81,132,94,1.7,65,22
2014-03-01,168,÷–∂»Œ€»æ,128,187,70,1.8,69,41
2014-03-02,235,÷ÿ∂»Œ€»æ,185,257,57,1.9,52,45
2014-03-03,148,«·∂»Œ€»æ,114,171,35,1.6,32,53
2014-03-04,94,¡º,71,123,48,1.3,38,41
2014-03-05,109,«·∂»Œ€»æ,82,140,87,1.3,58,31
2014-03-06,109,«·∂»Œ€»æ,83,157,146,1.5,67,23
2014-03-07,132,«·∂»Œ€»æ,101,179,83,1.4,60,37
2014-03-08,144,«·∂»Œ€»æ,110,177,58,1,47,45
2014-03-09,225,÷ÿ∂»Œ€»æ,175,278,131,1.5,77,37
2014-03-10,171,÷–∂»Œ€»æ,129,220,85,1.7,51,56
2014-03-11,95,¡º,63,139,45,1.8,41,62
2014-03-12,69,¡º,27,88,35,1.5,45,48
2014-03-13,74,¡º,49,99,42,1.5,50,39
2014-03-14,86,¡º,42,123,36,1.4,47,40
2014-03-15,111,«·∂»Œ€»æ,69,173,43,1.5,42,55
2014-03-16,102,«·∂»Œ€»æ,76,153,39,1.6,40,68
