»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,72,¡º,50,93,37,1.2,54,90
2013-12-03,111,«·∂»Œ€»æ,84,144,43,1.4,74,93
2013-12-04,123,«·∂»Œ€»æ,93,137,28,1.4,68,99
2013-12-05,103,«·∂»Œ€»æ,77,125,26,1.1,50,94
2013-12-06,118,«·∂»Œ€»æ,90,142,24,1.2,52,105
2013-12-07,149,«·∂»Œ€»æ,115,166,28,1.3,55,104
2013-12-08,150,«·∂»Œ€»æ,115,155,33,1.3,57,97
2013-12-09,196,÷–∂»Œ€»æ,147,179,27,1.7,54,102
2013-12-10,213,÷ÿ∂»Œ€»æ,163,209,45,1.8,40,105
2013-12-11,211,÷ÿ∂»Œ€»æ,161,203,49,1.8,43,84
2013-12-12,153,÷–∂»Œ€»æ,117,151,60,1.7,52,50
2013-12-13,182,÷–∂»Œ€»æ,137,145,20,1.7,43,35
2013-12-14,97,¡º,73,47,24,1.7,36,33
2013-12-15,51,¡º,36,23,9,1.5,28,42
2013-12-16,28,”≈,9,12,3,1.5,23,55
2013-12-17,23,”≈,12,17,5,1.4,20,46
2013-12-18,34,”≈,19,26,8,1.2,18,67
2013-12-19,49,”≈,29,49,13,0.9,27,80
2013-12-20,65,¡º,47,74,30,0.8,37,84
2013-12-21,103,«·∂»Œ€»æ,77,104,22,0.9,37,100
2013-12-22,143,«·∂»Œ€»æ,109,140,47,1.1,41,115
2013-12-23,113,«·∂»Œ€»æ,86,118,39,0.9,48,97
2013-12-24,108,«·∂»Œ€»æ,82,114,42,1,46,89
2013-12-25,114,«·∂»Œ€»æ,86,119,29,1,53,87
2013-12-26,134,«·∂»Œ€»æ,102,136,36,1.2,55,110
2013-12-27,171,÷–∂»Œ€»æ,130,163,40,1.2,40,101
2013-12-28,196,÷–∂»Œ€»æ,148,189,52,1.4,53,86
2013-12-29,141,«·∂»Œ€»æ,107,141,36,1.1,53,81
2013-12-30,109,«·∂»Œ€»æ,82,123,29,1.3,67,82
2013-12-31,147,«·∂»Œ€»æ,113,164,31,1.6,76,85
2014-01-01,134,«·∂»Œ€»æ,102,145,35,1.6,68,94
2014-01-02,184,÷–∂»Œ€»æ,139,191,41,1.9,82,94
2014-01-03,214,÷ÿ∂»Œ€»æ,164,223,46,2.1,81,105
2014-01-04,178,÷–∂»Œ€»æ,135,167,30,1.5,60,124
2014-01-05,167,÷–∂»Œ€»æ,127,178,48,1.5,71,112
2014-01-06,263,÷ÿ∂»Œ€»æ,213,286,69,1.9,109,116
2014-01-07,228,÷ÿ∂»Œ€»æ,178,236,76,2,99,81
2014-01-08,201,÷ÿ∂»Œ€»æ,151,171,44,1.8,71,37
2014-01-09,74,¡º,54,52,22,1.4,27,57
2014-01-10,112,«·∂»Œ€»æ,84,115,35,1.3,48,50
2014-01-11,152,÷–∂»Œ€»æ,117,149,53,1.5,59,80
2014-01-12,118,«·∂»Œ€»æ,89,104,18,1.4,42,54
2014-01-13,62,¡º,45,48,14,1.1,21,49
2014-01-14,60,¡º,43,48,14,1.1,28,94
2014-01-15,92,¡º,68,96,38,1.1,41,96
2014-01-16,116,«·∂»Œ€»æ,88,114,24,1.3,60,102
2014-01-17,124,«·∂»Œ€»æ,94,129,18,1.7,68,114
2014-01-18,411,—œ÷ÿŒ€»æ,367,110,20,1.6,47,148
2014-01-19,139,«·∂»Œ€»æ,106,140,44,1.4,64,138
2014-01-20,153,÷–∂»Œ€»æ,117,147,23,1.5,62,142
2014-01-21,174,÷–∂»Œ€»æ,132,163,51,1.5,33,131
2014-01-22,77,¡º,56,92,21,1,41,120
2014-01-23,111,«·∂»Œ€»æ,84,120,27,1.3,69,111
2014-01-24,166,÷–∂»Œ€»æ,126,159,35,1.6,84,75
2014-01-25,161,÷–∂»Œ€»æ,123,145,36,2.1,69,59
2014-01-26,115,«·∂»Œ€»æ,87,102,17,1.8,49,115
2014-01-27,165,÷–∂»Œ€»æ,125,130,20,1.8,49,103
2014-01-28,122,«·∂»Œ€»æ,93,87,12,1.5,31,124
2014-01-29,138,«·∂»Œ€»æ,105,111,22,1.8,41,147
2014-01-30,122,«·∂»Œ€»æ,93,104,14,1.6,38,158
2014-01-31,146,«·∂»Œ€»æ,112,127,37,1.2,21,131
2014-02-01,78,¡º,57,71,15,1.1,20,115
2014-02-02,67,¡º,48,58,24,1.2,22,111
2014-02-03,66,¡º,48,60,11,1.2,25,112
2014-02-04,79,¡º,58,53,14,1,24,112
2014-02-05,57,¡º,41,46,14,0.9,17,105
2014-02-06,47,”≈,33,35,26,1,21,90
2014-02-07,32,”≈,22,7,5,1,17,24
2014-02-08,30,”≈,21,21,17,1.1,20,30
2014-02-09,15,”≈,10,13,5,1.1,18,26
2014-02-10,38,”≈,27,32,10,1.1,14,56
2014-02-11,76,¡º,56,61,19,1.2,15,59
2014-02-12,76,¡º,56,56,24,1.1,19,71
2014-02-13,43,”≈,30,25,8,1.1,15,52
2014-02-14,73,¡º,53,56,23,1.1,14,89
2014-02-15,75,¡º,55,58,19,1.1,23,69
2014-02-16,92,¡º,69,70,28,1.5,39,42
2014-02-17,154,÷–∂»Œ€»æ,118,163,48,2.1,65,23
2014-02-18,80,¡º,59,67,39,1.3,30,46
2014-02-19,34,”≈,17,25,7,0.7,17,67
2014-02-20,47,”≈,33,46,35,0.7,23,83
2014-02-21,120,«·∂»Œ€»æ,91,139,54,1.1,84,75
2014-02-22,125,«·∂»Œ€»æ,95,65,37,1,65,56
2014-02-23,101,«·∂»Œ€»æ,75,86,40,1.1,44,109
2014-02-24,144,«·∂»Œ€»æ,110,139,58,1.4,69,76
2014-02-25,129,«·∂»Œ€»æ,98,128,54,1.6,72,45
2014-02-26,181,÷–∂»Œ€»æ,137,161,57,1.8,56,70
2014-02-27,108,«·∂»Œ€»æ,82,103,45,1.3,44,133
2014-02-28,82,¡º,60,70,37,1.1,46,103
2014-03-01,75,¡º,55,85,35,1.2,36,63
2014-03-02,65,¡º,47,47,35,1.4,33,34
2014-03-03,52,¡º,36,29,35,1.5,36,26
2014-03-04,72,¡º,53,53,50,1.6,46,24
2014-03-05,52,¡º,34,54,35,1.3,38,45
2014-03-06,143,«·∂»Œ€»æ,110,104,65,1.7,64,34
2014-03-07,48,”≈,33,36,37,1.3,40,21
2014-03-08,58,¡º,42,49,52,1.4,38,29
2014-03-09,32,”≈,22,28,19,1.1,25,37
2014-03-10,64,¡º,46,52,27,1.2,34,46
2014-03-11,59,¡º,42,41,35,1.4,45,19
2014-03-12,193,÷–∂»Œ€»æ,145,184,91,2.8,89,21
2014-03-13,99,¡º,74,81,28,1.8,48,80
2014-03-14,80,¡º,59,85,28,1.2,33,88
2014-03-15,112,«·∂»Œ€»æ,84,125,59,1.4,55,61
2014-03-16,178,÷–∂»Œ€»æ,135,195,75,1.6,71,28
2014-03-17,241,÷ÿ∂»Œ€»æ,191,276,89,2,87,60
2014-03-18,205,÷ÿ∂»Œ€»æ,155,206,62,2.4,76,67
2014-03-19,95,¡º,71,110,46,1.6,45,91
2014-03-20,131,«·∂»Œ€»æ,100,145,46,1.8,48,64
2014-03-21,71,¡º,52,66,22,1.2,23,82
2014-03-22,80,¡º,59,81,35,1.4,38,80
2014-03-23,153,÷–∂»Œ€»æ,117,170,60,1.8,72,148
2014-03-24,130,«·∂»Œ€»æ,96,132,58,1.6,59,193
2014-03-25,84,¡º,57,91,37,1.5,40,141
2014-03-26,98,¡º,61,102,52,1.5,41,158
2014-03-27,71,¡º,52,83,42,1.2,35,121
2014-03-28,66,¡º,48,70,36,1.2,33,69
2014-03-29,58,¡º,41,65,38,0.9,35,66
2014-03-30,59,¡º,42,49,24,1.1,57,51
2014-03-31,50,”≈,34,51,29,1.1,44,78
2014-04-01,60,¡º,43,62,26,1.2,40,55
2014-04-02,63,¡º,46,61,26,1.3,46,54
2014-04-03,53,¡º,37,43,22,1.5,43,95
2014-04-04,90,¡º,67,87,30,1.2,35,147
2014-04-05,155,÷–∂»Œ€»æ,92,119,53,1.3,51,220
2014-04-06,115,«·∂»Œ€»æ,80,63,28,1.1,46,177
2014-04-07,130,«·∂»Œ€»æ,99,111,38,1.3,52,57
2014-04-08,167,÷–∂»Œ€»æ,127,164,55,1.5,66,66
2014-04-09,189,÷–∂»Œ€»æ,134,190,50,1.8,64,254
2014-04-10,136,«·∂»Œ€»æ,67,90,38,1.2,45,200
2014-04-11,88,¡º,65,98,40,1.3,47,76
2014-04-12,71,¡º,52,82,30,1.3,34,87
2014-04-13,74,¡º,52,98,28,1.4,37,106
