»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,130,«·∂»Œ€»æ,97,210,101,1.5,40,34
2014-01-01,183,÷–∂»Œ€»æ,138,234,120,1.5,40,31
2014-01-02,184,÷–∂»Œ€»æ,139,110,68,1.2,35,18
2014-01-03,223,÷ÿ∂»Œ€»æ,173,260,90,1.6,41,24
2014-01-04,52,¡º,32,54,44,0.6,27,47
2014-01-05,120,«·∂»Œ€»æ,91,147,42,1.2,34,44
2014-01-06,253,÷ÿ∂»Œ€»æ,203,257,52,1.9,44,31
2014-01-07,108,«·∂»Œ€»æ,81,113,20,0.8,33,64
2014-01-08,78,¡º,57,80,28,0.6,24,58
2014-01-09,78,¡º,58,90,55,0.9,28,47
2014-01-10,193,÷–∂»Œ€»æ,145,219,77,1.7,34,28
2014-01-11,253,÷ÿ∂»Œ€»æ,203,260,88,1.6,35,38
2014-01-12,164,÷–∂»Œ€»æ,125,163,69,1.1,31,51
2014-01-13,68,¡º,50,65,50,0.8,30,66
2014-01-14,205,÷ÿ∂»Œ€»æ,155,215,87,1.5,35,53
2014-01-15,302,—œ÷ÿŒ€»æ,252,305,128,1.4,35,49
2014-01-16,258,÷ÿ∂»Œ€»æ,208,238,93,1.2,38,49
2014-01-17,253,÷ÿ∂»Œ€»æ,203,247,99,1.4,32,36
2014-01-18,220,÷ÿ∂»Œ€»æ,170,212,163,1.1,41,42
2014-01-19,255,÷ÿ∂»Œ€»æ,205,226,85,1.2,36,54
2014-01-20,197,÷–∂»Œ€»æ,148,232,92,0.9,33,58
2014-01-21,75,¡º,55,88,80,0.8,44,36
2014-01-22,131,«·∂»Œ€»æ,100,116,94,1.1,61,47
2014-01-23,138,«·∂»Œ€»æ,106,101,48,1.1,49,60
2014-01-24,166,÷–∂»Œ€»æ,126,142,31,1.5,59,59
2014-01-25,105,«·∂»Œ€»æ,79,100,43,0.9,39,69
2014-01-26,51,¡º,30,51,45,0.5,22,70
2014-01-27,57,¡º,39,64,26,1.1,33,68
2014-01-28,70,¡º,51,79,36,0.9,30,76
2014-01-29,52,¡º,35,55,18,0.9,18,73
2014-01-30,195,÷–∂»Œ€»æ,146,180,41,1.6,31,87
2014-01-31,173,÷–∂»Œ€»æ,131,141,16,1.7,14,89
2014-02-01,140,«·∂»Œ€»æ,107,118,25,1.7,33,90
2014-02-02,204,÷ÿ∂»Œ€»æ,154,164,52,1.9,45,38
2014-02-03,49,”≈,30,49,28,1,18,68
2014-02-04,37,”≈,23,34,33,1,17,73
2014-02-05,36,”≈,20,23,22,0.7,15,71
2014-02-06,37,”≈,22,20,22,0.7,23,73
2014-02-07,38,”≈,27,37,35,0.4,20,59
2014-02-08,65,¡º,47,55,50,0.8,22,73
2014-02-09,34,”≈,20,28,33,0.4,14,67
2014-02-10,36,”≈,25,32,49,0.4,19,67
2014-02-11,65,¡º,47,50,56,0.6,33,65
2014-02-12,108,«·∂»Œ€»æ,82,96,67,1.1,43,69
