»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,179,÷–∂»Œ€»æ,92,307,161,1.5,68,37
2014-01-01,136,«·∂»Œ€»æ,99,221,172,1.5,67,30
2014-01-02,251,÷ÿ∂»Œ€»æ,201,242,144,1.2,77,13
2014-01-03,164,÷–∂»Œ€»æ,125,203,82,1.5,66,17
2014-01-04,56,¡º,35,61,59,1.1,42,32
2014-01-05,126,«·∂»Œ€»æ,96,146,103,1.5,60,19
2014-01-06,258,÷ÿ∂»Œ€»æ,208,287,94,0.2,85,7
2014-01-07,287,÷ÿ∂»Œ€»æ,237,308,73,0.8,68,15
2014-01-08,57,¡º,40,65,37,1.1,33,40
2014-01-09,66,¡º,48,77,75,1.3,43,41
2014-01-10,174,÷–∂»Œ€»æ,132,203,128,1.7,58,23
2014-01-11,306,—œ÷ÿŒ€»æ,256,264,51,0.5,30,10
2014-01-16,257,÷ÿ∂»Œ€»æ,207,281,20,0.1,14,37
2014-01-20,217,÷ÿ∂»Œ€»æ,167,336,33,0.5,20,40
2014-01-21,92,¡º,69,120,102,1.8,40,19
2014-01-22,112,«·∂»Œ€»æ,84,140,156,0.9,54,29
2014-01-23,132,«·∂»Œ€»æ,100,146,125,0.7,54,36
2014-01-24,202,÷ÿ∂»Œ€»æ,152,159,2,0.1,7,23
2014-01-27,102,«·∂»Œ€»æ,77,73,42,0.5,32,59
2014-01-28,86,¡º,64,75,23,0.7,33,58
2014-01-30,166,÷–∂»Œ€»æ,126,175,1,1.3,36,71
2014-01-31,136,«·∂»Œ€»æ,104,146,2,1.1,23,70
2014-02-01,95,¡º,71,103,1,1.4,34,66
2014-02-02,147,«·∂»Œ€»æ,113,155,29,2,39,29
2014-02-03,53,¡º,17,56,13,0.5,20,54
2014-02-04,55,¡º,39,60,4,0.6,23,56
2014-02-05,31,”≈,17,31,42,0.4,23,52
2014-02-06,33,”≈,19,24,34,0.4,18,66
2014-02-07,28,”≈,19,24,31,0.5,23,51
2014-02-08,48,”≈,34,48,4,0.6,21,63
2014-02-09,30,”≈,14,30,2,0.3,9,52
2014-02-10,31,”≈,16,31,4,0.4,7,57
2014-02-11,64,¡º,46,64,4,1,23,58
2014-02-12,98,¡º,74,96,5,1.4,31,63
2014-02-13,102,«·∂»Œ€»æ,76,101,7,1.2,40,138
2014-02-14,161,÷–∂»Œ€»æ,123,168,66,1.1,37,66
2014-02-15,149,«·∂»Œ€»æ,114,154,95,1.4,45,85
2014-02-16,75,¡º,55,75,64,0.9,42,63
2014-02-17,49,”≈,34,48,20,0.5,22,53
2014-02-18,71,¡º,52,80,44,0.8,35,50
2014-02-19,104,«·∂»Œ€»æ,79,110,71,1.2,48,52
2014-02-20,121,«·∂»Œ€»æ,92,122,58,1.2,44,60
2014-02-21,150,«·∂»Œ€»æ,115,154,80,1.3,47,86
2014-02-22,77,¡º,56,81,61,0.8,54,61
2014-02-23,95,¡º,71,96,55,0.8,52,80
