»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,151,÷–∂»Œ€»æ,116,202,82,1.3,64,49
2014-01-01,176,÷–∂»Œ€»æ,133,208,106,1.5,64,49
2014-01-02,173,÷–∂»Œ€»æ,131,196,38,1.2,55,48
2014-01-03,200,÷–∂»Œ€»æ,150,248,33,1.2,52,42
2014-01-04,231,÷ÿ∂»Œ€»æ,181,296,42,1.6,54,42
2014-01-05,241,÷ÿ∂»Œ€»æ,191,270,45,2,64,46
2014-01-06,216,÷ÿ∂»Œ€»æ,166,240,37,1.2,43,47
2014-01-07,101,«·∂»Œ€»æ,76,112,47,0.6,29,48
2014-01-08,80,¡º,59,77,56,0.7,33,50
2014-01-09,65,¡º,47,68,52,0.4,30,52
2014-01-10,110,«·∂»Œ€»æ,83,124,44,0.6,32,52
2014-01-11,114,«·∂»Œ€»æ,86,126,40,0.7,28,51
2014-01-12,121,«·∂»Œ€»æ,92,124,45,0.9,39,68
2014-01-13,196,÷–∂»Œ€»æ,148,207,37,1,27,46
2014-01-14,124,«·∂»Œ€»æ,94,136,40,0.7,38,68
2014-01-15,148,«·∂»Œ€»æ,113,149,42,0.8,39,51
2014-01-16,134,«·∂»Œ€»æ,102,141,42,1,42,39
2014-01-17,218,÷ÿ∂»Œ€»æ,168,223,42,1.4,52,41
2014-01-18,351,—œ÷ÿŒ€»æ,301,367,45,1.9,50,35
2014-01-19,298,÷ÿ∂»Œ€»æ,248,309,49,1.8,49,58
2014-01-20,163,÷–∂»Œ€»æ,124,216,40,0.8,37,63
2014-01-21,98,¡º,73,142,43,0.9,41,34
2014-01-22,85,¡º,63,91,45,0.6,37,38
2014-01-23,103,«·∂»Œ€»æ,77,102,47,0.9,40,37
2014-01-24,132,«·∂»Œ€»æ,101,136,44,1.4,52,33
2014-01-25,300,÷ÿ∂»Œ€»æ,250,300,38,2.2,52,31
2014-01-26,102,«·∂»Œ€»æ,76,101,38,0.6,30,44
2014-01-27,83,¡º,62,89,39,0.8,32,39
2014-01-28,159,÷–∂»Œ€»æ,121,146,57,1.1,33,39
2014-01-29,136,«·∂»Œ€»æ,104,129,80,1.1,29,34
2014-01-30,206,÷ÿ∂»Œ€»æ,156,186,70,2,73,48
2014-01-31,240,÷ÿ∂»Œ€»æ,190,235,62,1.7,89,51
2014-02-01,245,÷ÿ∂»Œ€»æ,195,237,69,1.6,28,29
2014-02-02,221,÷ÿ∂»Œ€»æ,171,236,68,2,36,30
2014-02-03,134,«·∂»Œ€»æ,102,142,70,1.3,37,33
2014-02-04,41,”≈,27,41,61,0.2,37,44
2014-02-05,34,”≈,24,33,50,0.3,37,45
2014-02-06,23,”≈,16,23,54,0.4,40,42
2014-02-07,85,¡º,63,77,68,0.8,39,36
2014-02-08,99,¡º,74,85,58,0.7,33,41
2014-02-09,88,¡º,66,77,37,0.7,33,40
2014-02-10,61,¡º,43,54,39,0.4,37,40
2014-02-11,86,¡º,64,82,35,0.7,37,47
2014-02-12,92,¡º,69,78,27,0.7,22,52
2014-02-13,83,¡º,61,68,17,1.1,23,47
2014-02-14,129,«·∂»Œ€»æ,99,120,21,1.2,34,50
2014-02-15,134,«·∂»Œ€»æ,102,123,22,1.2,34,56
2014-02-16,80,¡º,59,72,25,0.9,27,49
2014-02-17,55,¡º,39,49,26,0.9,30,58
2014-02-18,53,¡º,38,43,21,0.7,35,51
2014-02-19,89,¡º,66,83,21,0.8,20,38
2014-02-20,123,«·∂»Œ€»æ,93,114,42,1.3,29,44
2014-02-21,133,«·∂»Œ€»æ,102,121,20,1.1,15,44
2014-02-22,171,÷–∂»Œ€»æ,129,150,20,1.2,17,47
2014-02-23,98,¡º,74,92,16,0.9,19,53
2014-02-24,137,«·∂»Œ€»æ,105,129,20,1.1,20,51
2014-02-25,53,¡º,37,48,14,0.9,21,45
2014-02-26,59,¡º,42,57,12,1,19,47
2014-02-27,94,¡º,70,88,14,1.3,24,32
2014-02-28,61,¡º,44,54,14,1.4,18,33
2014-03-01,54,¡º,38,56,18,0.9,21,43
2014-03-02,89,¡º,66,101,21,1,19,44
2014-03-03,80,¡º,59,98,18,1.1,16,31
2014-03-04,62,¡º,43,75,16,0.8,20,44
2014-03-05,80,¡º,59,91,18,0.9,15,35
2014-03-06,56,¡º,37,61,15,0.8,21,39
2014-03-07,61,¡º,44,71,17,0.8,16,40
2014-03-08,47,”≈,30,47,14,0.7,13,42
2014-03-09,68,¡º,49,82,17,1,23,37
2014-03-10,96,¡º,72,112,18,1.2,22,35
2014-03-11,116,«·∂»Œ€»æ,88,136,20,1.2,21,51
2014-03-12,73,¡º,53,76,18,1.2,30,29
2014-03-13,72,¡º,51,93,18,0.7,15,35
2014-03-14,88,¡º,61,126,31,1.6,31,37
2014-03-15,86,¡º,58,123,29,1.3,34,27
2014-03-16,85,¡º,63,115,25,1.4,32,28
2014-03-17,80,¡º,58,110,25,1.7,35,25
