日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,145,轻度污染,111,149,27,1.1,42,157
2014-01-01,180,中度污染,136,183,35,1.2,40,175
2014-01-02,134,轻度污染,102,133,29,1,33,146
2014-01-03,106,轻度污染,79,108,40,1,31,105
2014-01-04,173,中度污染,131,167,27,1.4,41,135
2014-01-05,185,中度污染,140,177,29,1.5,39,153
2014-01-06,135,轻度污染,103,143,21,1.3,29,145
2014-01-07,91,良,68,107,13,1.2,30,112
2014-01-08,94,良,70,102,12,1.3,16,77
2014-01-09,77,良,57,74,17,1.8,17,77
2014-01-10,88,良,65,91,22,1.3,21,118
2014-01-11,80,良,59,80,18,1.1,18,114
2014-01-12,109,轻度污染,83,106,20,1.3,18,115
2014-01-13,79,良,59,75,19,1.2,14,83
2014-01-14,117,轻度污染,89,102,24,1,22,118
2014-01-15,84,良,62,85,21,0.8,23,130
2014-01-16,96,良,72,89,18,0.8,28,151
2014-01-17,125,轻度污染,95,124,29,1.1,43,166
2014-01-18,149,轻度污染,114,149,32,1.2,42,138
2014-01-19,129,轻度污染,98,142,25,1.1,35,149
2014-01-20,144,轻度污染,110,146,30,1.2,34,160
2014-01-21,184,中度污染,139,165,44,1.2,25,129
2014-01-22,104,轻度污染,78,129,26,1,31,134
2014-01-23,114,轻度污染,86,136,22,1.2,35,148
2014-01-24,65,良,43,79,9,1,21,116
2014-01-25,63,良,46,75,10,1.2,25,80
2014-01-26,97,良,73,104,15,1.4,35,127
2014-01-27,79,良,58,84,4,1.2,20,120
2014-01-28,68,良,49,77,9,1.2,17,109
2014-01-29,94,良,56,83,10,1.3,19,153
2014-01-30,115,轻度污染,87,108,12,1.5,19,149
2014-01-31,328,严重污染,278,312,27,1.6,22,120
2014-02-01,60,良,43,58,7,1.2,10,91
2014-02-02,66,良,48,64,5,1.3,13,95
2014-02-03,71,良,52,73,10,1.5,21,79
2014-02-04,83,良,61,84,13,1.6,18,103
2014-02-05,44,优,17,37,4,1.4,10,87
2014-02-06,39,优,16,29,3,1.3,10,77
2014-02-07,31,优,22,31,3,1.5,15,35
2014-02-08,40,优,28,39,7,1.4,16,29
2014-02-09,35,优,23,35,6,1.1,16,16
2014-02-10,43,优,30,40,7,1.1,11,38
2014-02-11,83,良,62,70,9,1.3,11,47
2014-02-12,87,良,64,55,6,1.1,14,41
2014-02-13,31,优,22,24,7,0.9,12,38
2014-02-14,88,良,65,73,15,0.9,21,88
2014-02-15,99,良,74,88,12,0.9,30,66
2014-02-16,85,良,63,65,9,1,35,36
2014-02-17,49,优,35,47,4,0.7,26,67
2014-02-18,35,优,22,35,5,0.8,23,51
2014-02-19,28,优,16,21,8,0.9,17,55
2014-02-20,49,优,34,46,21,0.7,23,77
2014-02-21,64,良,35,78,14,0.6,28,97
2014-02-22,66,良,48,64,18,0.7,27,86
2014-02-23,67,良,49,74,19,0.7,28,96
2014-02-24,50,优,31,50,13,0.6,26,81
2014-02-25,50,优,29,50,13,0.7,28,69
2014-02-26,53,良,32,56,16,0.8,26,65
2014-02-27,50,优,33,50,12,0.7,21,78
2014-02-28,40,优,21,40,8,0.6,15,71
2014-03-01,29,优,13,29,9,0.6,15,50
2014-03-02,35,优,21,35,10,0.6,20,54
2014-03-03,57,良,40,52,19,1.1,42,47
2014-03-04,46,优,32,44,12,1,28,50
2014-03-05,48,优,33,47,18,1.2,32,33
2014-03-06,51,良,36,46,15,1,32,71
2014-03-07,39,优,23,39,15,0.9,35,41
2014-03-08,36,优,24,36,12,0.9,28,57
