»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,169,÷–∂»Œ€»æ,128,210,176,1.6,72,67
2014-01-01,232,÷ÿ∂»Œ€»æ,182,290,121,2,71,68
2014-01-02,250,÷ÿ∂»Œ€»æ,200,334,82,1.9,85,38
2014-01-03,209,÷ÿ∂»Œ€»æ,159,270,85,1.7,72,81
2014-01-04,185,÷–∂»Œ€»æ,139,264,148,1.7,72,65
2014-01-05,250,÷ÿ∂»Œ€»æ,200,351,164,2.1,84,85
2014-01-06,257,÷ÿ∂»Œ€»æ,207,355,61,2,64,49
2014-01-07,309,—œ÷ÿŒ€»æ,259,414,48,2.2,58,34
2014-01-08,196,÷–∂»Œ€»æ,147,218,63,1.9,36,38
2014-01-09,210,÷ÿ∂»Œ€»æ,160,272,121,2.3,65,47
2014-01-10,235,÷ÿ∂»Œ€»æ,185,306,70,2.4,64,24
2014-01-11,147,«·∂»Œ€»æ,112,183,39,1.9,39,48
2014-01-12,139,«·∂»Œ€»æ,106,181,65,2,53,43
2014-01-13,185,÷–∂»Œ€»æ,140,259,155,2.4,72,59
2014-01-14,408,—œ÷ÿŒ€»æ,296,508,181,2.8,68,65
2014-01-15,276,÷ÿ∂»Œ€»æ,226,382,84,2.3,58,57
2014-01-16,275,÷ÿ∂»Œ€»æ,225,389,88,2.5,64,73
2014-01-17,361,—œ÷ÿŒ€»æ,273,469,93,2.8,88,85
2014-01-18,282,÷ÿ∂»Œ€»æ,232,400,145,2.6,72,60
2014-01-19,224,÷ÿ∂»Œ€»æ,174,313,134,2.5,73,64
2014-01-20,206,÷ÿ∂»Œ€»æ,156,304,81,2.3,66,85
2014-01-21,149,«·∂»Œ€»æ,102,247,88,2.1,60,35
2014-01-22,135,«·∂»Œ€»æ,103,202,122,2.1,54,99
2014-01-23,140,«·∂»Œ€»æ,107,201,111,2.2,45,115
2014-01-24,158,÷–∂»Œ€»æ,121,215,93,2.1,48,106
2014-01-25,234,÷ÿ∂»Œ€»æ,184,324,75,2.3,54,78
2014-01-26,261,÷ÿ∂»Œ€»æ,211,375,80,3,68,67
2014-01-27,431,—œ÷ÿŒ€»æ,306,531,110,3.5,69,90
2014-01-28,403,—œ÷ÿŒ€»æ,293,503,50,3,47,62
2014-01-29,264,÷ÿ∂»Œ€»æ,214,337,76,2.7,35,66
2014-01-30,221,÷ÿ∂»Œ€»æ,171,287,34,3,24,51
2014-01-31,450,—œ÷ÿŒ€»æ,327,550,50,3.2,38,28
2014-02-01,246,÷ÿ∂»Œ€»æ,196,346,25,3,23,58
2014-02-02,255,÷ÿ∂»Œ€»æ,205,344,45,3.4,38,58
2014-02-03,222,÷ÿ∂»Œ€»æ,172,323,35,3.3,23,58
2014-02-04,111,«·∂»Œ€»æ,73,171,19,2.5,15,53
2014-02-05,93,¡º,48,136,12,2,12,42
2014-02-06,88,¡º,59,126,27,2.3,20,34
2014-02-07,78,¡º,57,89,33,2.2,21,49
2014-02-08,100,¡º,75,119,39,2.3,21,53
2014-02-09,144,«·∂»Œ€»æ,110,171,64,2.1,19,67
2014-02-10,103,«·∂»Œ€»æ,78,128,38,1.7,20,68
2014-02-11,98,¡º,74,126,64,1.5,36,68
2014-02-12,136,«·∂»Œ€»æ,104,140,35,1,31,83
2014-02-13,164,÷–∂»Œ€»æ,124,199,51,1,30,91
2014-02-14,200,÷–∂»Œ€»æ,150,247,123,1.4,52,77
2014-02-15,175,÷–∂»Œ€»æ,133,210,106,1.3,48,51
2014-02-16,149,«·∂»Œ€»æ,114,190,49,1.2,48,29
2014-02-17,215,÷ÿ∂»Œ€»æ,165,251,38,1.6,36,30
2014-02-18,83,¡º,61,96,23,1.1,26,53
2014-02-19,110,«·∂»Œ€»æ,83,135,91,1.4,39,68
2014-02-20,143,«·∂»Œ€»æ,110,165,171,1.5,33,58
2014-02-21,111,«·∂»Œ€»æ,83,160,106,1.6,56,51
2014-02-22,164,÷–∂»Œ€»æ,125,213,60,1.7,49,48
2014-02-23,205,÷ÿ∂»Œ€»æ,155,270,52,1.9,51,29
2014-02-24,235,÷ÿ∂»Œ€»æ,185,298,32,1.9,41,19
2014-02-25,189,÷–∂»Œ€»æ,142,231,39,1.8,32,45
2014-02-26,212,÷ÿ∂»Œ€»æ,162,276,59,2,46,85
2014-02-27,162,÷–∂»Œ€»æ,123,221,42,2.2,46,39
2014-02-28,88,¡º,66,109,12,1.7,30,34
2014-03-01,100,¡º,75,124,31,1.5,31,53
2014-03-02,133,«·∂»Œ€»æ,101,202,55,1.8,36,43
2014-03-03,172,÷–∂»Œ€»æ,130,237,83,2,43,47
2014-03-04,188,÷–∂»Œ€»æ,141,230,77,2.2,53,88
2014-03-05,189,÷–∂»Œ€»æ,143,270,83,2.2,65,68
2014-03-06,137,«·∂»Œ€»æ,104,181,36,1.6,35,56
2014-03-07,93,¡º,69,124,37,1.3,30,68
2014-03-08,102,«·∂»Œ€»æ,77,139,36,1.2,41,109
2014-03-09,124,«·∂»Œ€»æ,95,176,71,1.3,49,120
2014-03-10,153,÷–∂»Œ€»æ,117,218,105,1.7,60,121
2014-03-11,123,«·∂»Œ€»æ,94,170,78,1.5,43,80
2014-03-12,132,«·∂»Œ€»æ,101,203,36,1.5,40,75
2014-03-13,95,¡º,71,138,38,0.9,34,80
2014-03-14,131,«·∂»Œ€»æ,100,168,45,1.1,42,106
2014-03-15,95,¡º,71,131,34,1,32,98
2014-03-16,116,«·∂»Œ€»æ,88,155,26,1.1,35,85
2014-03-17,106,«·∂»Œ€»æ,80,126,26,1.3,34,104
