»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,114,«·∂»Œ€»æ,39,177,32,0.7,32,76
2015-01-01,115,«·∂»Œ€»æ,73,179,49,1.2,39,64
2015-01-02,112,«·∂»Œ€»æ,85,158,57,1.3,52,45
2015-01-03,162,÷–∂»Œ€»æ,123,199,64,1.5,58,66
2015-01-04,234,÷ÿ∂»Œ€»æ,184,300,78,2.1,74,60
2015-01-05,241,÷ÿ∂»Œ€»æ,191,275,65,1.6,47,60
2015-01-06,167,÷–∂»Œ€»æ,127,189,46,1.6,39,39
2015-01-07,137,«·∂»Œ€»æ,104,187,57,1.6,45,64
2015-01-08,207,÷ÿ∂»Œ€»æ,157,265,54,1.9,54,79
2015-01-09,236,÷ÿ∂»Œ€»æ,186,293,61,1.9,61,67
2015-01-10,247,÷ÿ∂»Œ€»æ,197,289,60,1.9,60,57
2015-01-11,234,÷ÿ∂»Œ€»æ,184,268,59,1.8,63,70
2015-01-12,273,÷ÿ∂»Œ€»æ,223,346,48,2.1,53,52
2015-01-13,156,÷–∂»Œ€»æ,119,190,34,1.2,37,46
2015-01-14,192,÷–∂»Œ€»æ,145,216,39,1.6,48,52
2015-01-15,243,÷ÿ∂»Œ€»æ,193,300,42,1.7,52,30
2015-01-16,196,÷–∂»Œ€»æ,148,242,40,1.6,47,75
2015-01-17,164,÷–∂»Œ€»æ,125,232,74,1.6,53,102
2015-01-18,187,÷–∂»Œ€»æ,141,216,49,1.6,43,104
2015-01-19,268,÷ÿ∂»Œ€»æ,218,319,72,1.9,59,81
2015-01-20,196,÷–∂»Œ€»æ,147,215,58,1.7,58,85
2015-01-21,128,«·∂»Œ€»æ,91,207,46,1.2,43,73
2015-01-22,102,«·∂»Œ€»æ,77,144,61,1.5,50,73
2015-01-23,160,÷–∂»Œ€»æ,122,217,76,1.8,63,68
2015-01-24,215,÷ÿ∂»Œ€»æ,165,239,58,1.9,61,39
2015-01-25,218,÷ÿ∂»Œ€»æ,168,203,48,1.9,47,61
2015-01-26,236,÷ÿ∂»Œ€»æ,186,239,54,2,46,42
2015-01-27,210,÷ÿ∂»Œ€»æ,160,201,32,2,38,29
2015-01-28,90,¡º,67,81,29,0.8,31,29
2015-01-29,144,«·∂»Œ€»æ,110,136,44,1,42,34
2015-01-30,145,«·∂»Œ€»æ,111,145,47,1.1,38,47
2015-01-31,224,÷ÿ∂»Œ€»æ,174,209,53,1.3,38,56
2015-02-01,153,÷–∂»Œ€»æ,117,154,41,1,39,53
2015-02-02,209,÷ÿ∂»Œ€»æ,159,222,45,1.4,50,31
2015-02-03,221,÷ÿ∂»Œ€»æ,171,221,54,1.3,44,78
2015-02-04,175,÷–∂»Œ€»æ,133,188,54,1.4,51,88
2015-02-05,114,«·∂»Œ€»æ,86,136,40,1.1,49,92
2015-02-06,150,«·∂»Œ€»æ,115,152,53,1.1,57,110
2015-02-07,164,÷–∂»Œ€»æ,125,185,50,1.1,58,84
2015-02-08,131,«·∂»Œ€»æ,100,172,46,1.1,49,81
2015-02-09,133,«·∂»Œ€»æ,101,162,47,1,49,80
2015-02-10,160,÷–∂»Œ€»æ,122,176,46,1.2,57,59
