»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,122,«·∂»Œ€»æ,62,194,64,0.6,27,27
2014-01-01,124,«·∂»Œ€»æ,76,198,68,1,23,31
2014-01-02,85,¡º,63,106,30,0.9,20,39
2014-01-03,67,¡º,48,76,28,0.8,15,36
2014-01-04,29,”≈,13,29,16,0.3,8,34
2014-01-05,111,«·∂»Œ€»æ,84,127,42,1.1,22,30
2014-01-06,239,÷ÿ∂»Œ€»æ,189,238,59,1.7,31,20
2014-01-07,203,÷ÿ∂»Œ€»æ,153,186,40,1.2,24,26
2014-01-08,47,”≈,23,47,19,0.2,11,32
2014-01-09,61,¡º,44,70,35,0.4,14,38
2014-01-10,110,«·∂»Œ€»æ,83,129,60,1.2,23,33
2014-01-11,227,÷ÿ∂»Œ€»æ,177,251,103,1.7,30,60
2014-01-12,132,«·∂»Œ€»æ,100,149,46,1,18,70
2014-01-13,60,¡º,37,70,39,0.8,18,72
2014-01-14,158,÷–∂»Œ€»æ,120,168,44,1.3,21,52
2014-01-15,204,÷ÿ∂»Œ€»æ,154,218,81,1.6,23,34
2014-01-16,313,—œ÷ÿŒ€»æ,263,376,81,1.5,28,39
2014-01-17,226,÷ÿ∂»Œ€»æ,176,233,69,1.7,32,32
2014-01-18,98,¡º,74,104,50,1,21,36
2014-01-19,87,¡º,65,100,41,0.9,19,38
2014-01-20,136,«·∂»Œ€»æ,104,159,54,0.8,13,38
2014-01-21,37,”≈,17,37,14,0.2,10,28
2014-01-22,91,¡º,68,107,60,1,24,38
2014-01-23,99,¡º,74,109,30,0.7,15,52
2014-01-24,102,«·∂»Œ€»æ,76,117,31,0.8,26,108
2014-01-25,61,¡º,35,72,14,0.5,11,100
2014-01-26,37,”≈,10,36,10,0.4,11,74
2014-01-27,35,”≈,17,35,16,0.5,12,68
2014-01-28,53,¡º,27,57,16,0.5,14,79
2014-01-29,42,”≈,25,42,15,0.7,14,83
2014-01-30,106,«·∂»Œ€»æ,80,115,33,0.8,15,85
2014-01-31,85,¡º,63,95,25,0.6,13,76
2014-02-01,41,”≈,27,41,10,0.6,22,74
2014-02-02,84,¡º,62,76,38,0.9,25,73
2014-02-03,55,¡º,12,59,14,0.3,6,77
2014-02-04,44,”≈,31,42,15,0.5,9,80
2014-02-05,42,”≈,10,23,16,0.3,8,83
2014-02-06,46,”≈,20,33,17,0.4,8,91
2014-02-07,41,”≈,16,28,7,0.4,7,81
2014-02-08,51,¡º,33,52,19,0.4,15,78
2014-02-09,46,”≈,21,46,7,0.2,6,78
2014-02-10,42,”≈,16,34,6,0.3,7,84
2014-02-11,61,¡º,44,59,30,0.6,28,80
2014-02-12,120,«·∂»Œ€»æ,91,113,39,1.2,30,106
2014-02-13,81,¡º,60,83,28,0.6,21,98
2014-02-14,126,«·∂»Œ€»æ,95,202,23,0.6,28,72
2014-02-15,135,«·∂»Œ€»æ,103,118,31,1,31,56
2014-02-16,134,«·∂»Œ€»æ,102,84,24,0.7,32,50
2014-02-17,43,”≈,26,43,11,0.2,10,51
2014-02-18,160,÷–∂»Œ€»æ,122,141,9,0.4,13,88
2014-02-19,88,¡º,65,86,33,1,36,81
2014-02-20,78,¡º,57,76,27,0.6,20,90
2014-02-21,128,«·∂»Œ€»æ,98,124,32,0.9,29,117
2014-02-22,131,«·∂»Œ€»æ,100,124,38,0.9,31,115
2014-02-23,143,«·∂»Œ€»æ,110,132,36,1.2,47,91
2014-02-24,184,÷–∂»Œ€»æ,139,171,34,1.3,40,123
2014-02-25,180,÷–∂»Œ€»æ,136,160,23,1.4,45,82
2014-02-26,177,÷–∂»Œ€»æ,134,154,36,1.4,49,123
2014-02-27,143,«·∂»Œ€»æ,109,135,31,0.9,31,85
2014-02-28,52,¡º,21,53,11,0.3,13,86
2014-03-01,71,¡º,46,91,37,0.7,35,76
2014-03-02,74,¡º,55,85,34,0.7,33,79
2014-03-03,93,¡º,69,106,16,0.8,26,109
2014-03-04,94,¡º,70,96,29,0.6,24,106
2014-03-05,54,¡º,38,58,14,0.4,17,97
2014-03-06,73,¡º,53,79,21,0.6,26,91
2014-03-07,64,¡º,46,76,19,0.7,27,93
2014-03-08,127,«·∂»Œ€»æ,96,125,38,0.8,34,98
2014-03-09,99,¡º,74,92,22,0.5,18,88
2014-03-10,54,¡º,32,57,25,0.4,24,81
2014-03-11,80,¡º,59,92,17,0.3,11,134
2014-03-12,74,¡º,40,71,16,0.3,15,129
2014-03-13,59,¡º,22,69,10,0.2,11,86
2014-03-14,71,¡º,52,83,33,0.6,34,101
2014-03-15,166,÷–∂»Œ€»æ,126,193,29,1,37,113
2014-03-16,155,÷–∂»Œ€»æ,119,169,23,0.9,43,111
2014-03-17,110,«·∂»Œ€»æ,83,112,22,0.5,25,137
2014-03-18,121,«·∂»Œ€»æ,74,193,23,0.6,23,112
2014-03-19,88,¡º,66,112,27,0.5,34,107
2014-03-20,88,¡º,23,127,9,0.1,10,84
2014-03-21,74,¡º,48,98,41,0.6,37,96
2014-03-22,145,«·∂»Œ€»æ,111,169,33,1,40,132
2014-03-23,109,«·∂»Œ€»æ,82,119,33,0.5,27,142
2014-03-24,66,¡º,29,39,12,0.2,14,119
2014-03-25,53,¡º,37,46,15,0.4,37,100
2014-03-26,63,¡º,45,60,17,0.4,31,92
2014-03-27,114,«·∂»Œ€»æ,86,109,24,1,21,132
2014-03-28,78,¡º,32,51,13,0.2,9,134
2014-03-29,67,¡º,38,52,11,0.3,12,120
2014-03-30,98,¡º,63,91,23,0.6,17,157
2014-03-31,125,«·∂»Œ€»æ,95,142,33,0.9,37,162
2014-04-01,69,¡º,49,89,25,0.4,30,121
2014-04-02,83,¡º,57,81,20,0.4,17,139
2014-04-03,73,¡º,36,95,12,0.2,10,88
