»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,168,÷–∂»Œ€»æ,93,286,104,1.7,75,32
2014-01-01,152,÷–∂»Œ€»æ,95,254,170,1.7,70,38
2014-01-02,105,«·∂»Œ€»æ,69,160,67,1.6,55,44
2014-01-03,126,«·∂»Œ€»æ,96,186,80,1.5,42,47
2014-01-04,61,¡º,39,73,37,1,31,22
2014-01-05,144,«·∂»Œ€»æ,110,164,68,1.3,55,22
2014-01-06,208,÷ÿ∂»Œ€»æ,158,223,60,2,65,22
2014-01-07,133,«·∂»Œ€»æ,102,133,64,1.9,60,20
2014-01-08,50,”≈,23,50,39,0.7,18,28
2014-01-09,77,¡º,57,86,66,0.8,38,25
2014-01-10,164,÷–∂»Œ€»æ,125,187,127,1.7,63,22
2014-01-11,286,÷ÿ∂»Œ€»æ,236,321,149,2.3,77,21
2014-01-12,134,«·∂»Œ€»æ,102,147,76,1.3,47,30
2014-01-13,60,¡º,40,70,47,0.8,37,33
2014-01-14,168,÷–∂»Œ€»æ,128,185,101,1.6,53,26
2014-01-15,314,—œ÷ÿŒ€»æ,264,356,260,2.7,54,29
2014-01-16,231,÷ÿ∂»Œ€»æ,181,246,135,1.4,27,67
2014-01-17,200,÷–∂»Œ€»æ,150,185,80,1.4,41,40
2014-01-18,273,÷ÿ∂»Œ€»æ,223,271,88,2.2,74,33
2014-01-19,190,÷–∂»Œ€»æ,143,205,83,1.6,66,47
2014-01-20,150,«·∂»Œ€»æ,115,204,90,0.9,41,44
2014-01-21,52,¡º,29,54,61,0.4,25,47
2014-01-22,85,¡º,63,106,98,0.9,44,62
2014-01-23,94,¡º,70,129,61,0.6,30,76
2014-01-24,163,÷–∂»Œ€»æ,124,187,82,1.4,69,75
2014-01-25,64,¡º,46,79,35,0.6,25,45
2014-01-26,56,¡º,23,62,28,0.6,24,49
2014-01-27,66,¡º,36,81,33,0.7,26,60
2014-01-28,65,¡º,42,81,33,0.7,29,63
2014-01-29,62,¡º,39,74,18,0.6,11,78
2014-01-30,189,÷–∂»Œ€»æ,142,201,49,1.5,34,59
2014-01-31,152,÷–∂»Œ€»æ,116,169,26,0.9,13,78
2014-02-01,89,¡º,66,80,11,1.2,27,78
2014-02-02,122,«·∂»Œ€»æ,93,118,42,1.5,32,40
2014-02-03,55,¡º,14,60,33,0.4,10,63
2014-02-04,36,”≈,13,36,26,0.3,12,70
2014-02-05,36,”≈,16,31,22,0.3,11,72
