»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,255,÷ÿ∂»Œ€»æ,205,286,249,2.9,108,43
2013-12-03,292,÷ÿ∂»Œ€»æ,242,339,467,3.2,128,13
2013-12-04,294,÷ÿ∂»Œ€»æ,244,337,363,2.1,107,16
2013-12-05,235,÷ÿ∂»Œ€»æ,185,245,201,1.1,77,31
2013-12-06,161,÷–∂»Œ€»æ,123,179,167,1.5,70,31
2013-12-07,327,—œ÷ÿŒ€»æ,277,360,238,2.6,105,32
2013-12-08,250,÷ÿ∂»Œ€»æ,200,282,140,2.3,79,22
2013-12-09,86,¡º,64,104,81,1.2,49,63
2013-12-10,130,«·∂»Œ€»æ,99,140,162,1.8,73,33
2013-12-11,121,«·∂»Œ€»æ,92,85,106,1.2,50,53
2013-12-12,158,÷–∂»Œ€»æ,121,146,166,2.1,76,27
2013-12-13,176,÷–∂»Œ€»æ,133,155,180,2,80,27
2013-12-14,217,÷ÿ∂»Œ€»æ,167,282,271,3,106,15
2013-12-15,279,÷ÿ∂»Œ€»æ,229,307,284,2.6,111,21
2013-12-16,191,÷–∂»Œ€»æ,143,211,242,2.4,95,12
2013-12-17,259,÷ÿ∂»Œ€»æ,209,297,311,3.2,111,16
2013-12-18,108,«·∂»Œ€»æ,82,96,121,1.4,54,42
2013-12-19,153,÷–∂»Œ€»æ,117,201,227,2.9,84,12
2013-12-20,111,«·∂»Œ€»æ,80,172,169,1.9,76,38
2013-12-21,123,«·∂»Œ€»æ,93,121,202,1.7,76,32
2013-12-22,197,÷–∂»Œ€»æ,148,212,256,2.5,88,19
2013-12-23,255,÷ÿ∂»Œ€»æ,205,304,253,3,98,30
2013-12-24,297,÷ÿ∂»Œ€»æ,247,366,296,3.1,112,20
2013-12-25,358,—œ÷ÿŒ€»æ,308,414,338,3.5,121,10
2013-12-26,146,«·∂»Œ€»æ,112,177,86,1.1,49,55
2013-12-27,89,¡º,66,129,194,2.2,65,33
2013-12-28,135,«·∂»Œ€»æ,103,172,197,2.5,76,24
2013-12-29,141,«·∂»Œ€»æ,108,188,216,2.5,90,21
2013-12-30,168,÷–∂»Œ€»æ,128,225,312,3.4,98,30
2013-12-31,184,÷–∂»Œ€»æ,139,277,300,3.2,103,29
2014-01-01,172,÷–∂»Œ€»æ,131,262,283,2.7,92,25
2014-01-02,180,÷–∂»Œ€»æ,136,250,303,2.2,97,28
2014-01-03,191,÷–∂»Œ€»æ,143,247,236,2.7,101,16
2014-01-04,82,¡º,60,106,149,1.3,61,38
2014-01-05,245,÷ÿ∂»Œ€»æ,195,271,226,2.8,81,14
2014-01-06,281,÷ÿ∂»Œ€»æ,231,295,216,2.9,87,28
2014-01-07,213,÷ÿ∂»Œ€»æ,163,210,209,2.2,83,23
2014-01-08,107,«·∂»Œ€»æ,81,108,120,1.4,66,37
2014-01-09,134,«·∂»Œ€»æ,102,147,155,2,63,24
2014-01-10,222,÷ÿ∂»Œ€»æ,172,238,209,2.6,77,25
2014-01-11,241,÷ÿ∂»Œ€»æ,191,264,187,2.3,79,34
2014-01-12,205,÷ÿ∂»Œ€»æ,155,214,149,2,76,27
2014-01-13,149,«·∂»Œ€»æ,114,131,176,2,64,53
2014-01-14,228,÷ÿ∂»Œ€»æ,178,233,191,3,78,33
2014-01-15,277,÷ÿ∂»Œ€»æ,227,293,191,2.7,82,38
2014-01-16,205,÷ÿ∂»Œ€»æ,155,210,175,1.8,90,40
2014-01-17,272,÷ÿ∂»Œ€»æ,222,302,172,2.6,92,11
2014-01-18,186,÷–∂»Œ€»æ,140,203,189,2.6,80,38
2014-01-19,263,÷ÿ∂»Œ€»æ,213,279,206,2.7,90,37
2014-01-20,152,÷–∂»Œ€»æ,116,231,78,1.7,51,60
2014-01-21,57,¡º,34,64,129,1.5,52,34
2014-01-22,108,«·∂»Œ€»æ,81,135,176,1.8,72,48
2014-01-23,119,«·∂»Œ€»æ,90,141,152,1.9,81,62
2014-01-24,211,÷ÿ∂»Œ€»æ,161,224,251,2.6,124,28
2014-01-25,128,«·∂»Œ€»æ,97,136,126,1.2,67,53
2014-01-26,59,¡º,36,67,71,1.1,55,45
2014-01-27,116,«·∂»Œ€»æ,87,127,131,1.7,78,53
2014-01-28,112,«·∂»Œ€»æ,85,122,119,1.7,59,58
2014-01-29,117,«·∂»Œ€»æ,88,115,94,1.4,42,47
2014-01-30,253,÷ÿ∂»Œ€»æ,203,264,117,2.1,60,67
2014-01-31,225,÷ÿ∂»Œ€»æ,175,239,85,2,39,60
2014-02-01,250,÷ÿ∂»Œ€»æ,200,233,107,3.2,54,25
2014-02-02,215,÷ÿ∂»Œ€»æ,165,222,117,3.7,63,24
2014-02-03,64,¡º,46,71,69,1.2,31,58
2014-02-04,49,”≈,27,49,75,1.1,38,58
2014-02-05,48,”≈,34,45,56,0.8,26,44
2014-02-06,58,¡º,41,46,58,0.8,35,53
2014-02-07,92,¡º,69,83,109,1.3,64,35
2014-02-08,89,¡º,66,95,172,1.5,58,48
2014-02-09,55,¡º,37,60,107,1.1,37,45
2014-02-10,99,¡º,74,62,119,1.1,56,47
2014-02-11,133,«·∂»Œ€»æ,101,129,163,1.7,77,51
2014-02-12,172,÷–∂»Œ€»æ,131,179,205,1.9,96,31
2014-02-13,134,«·∂»Œ€»æ,102,133,160,1.4,76,61
2014-02-14,206,÷ÿ∂»Œ€»æ,156,182,151,1.6,79,63
2014-02-15,217,÷ÿ∂»Œ€»æ,167,210,138,1.8,81,72
2014-02-16,153,÷–∂»Œ€»æ,117,148,101,1.4,80,55
2014-02-17,125,«·∂»Œ€»æ,95,121,86,1.4,63,53
2014-02-18,69,¡º,50,84,120,1.2,74,51
2014-02-19,116,«·∂»Œ€»æ,88,129,165,2,92,42
2014-02-20,159,÷–∂»Œ€»æ,121,165,143,2,81,43
2014-02-21,177,÷–∂»Œ€»æ,134,190,123,1.6,78,71
2014-02-22,127,«·∂»Œ€»æ,97,134,116,1.2,77,86
2014-02-23,121,«·∂»Œ€»æ,92,126,104,1.4,70,70
2014-02-24,146,«·∂»Œ€»æ,112,151,97,1.4,67,78
2014-02-25,138,«·∂»Œ€»æ,105,166,114,1.5,78,82
2014-02-26,142,«·∂»Œ€»æ,109,129,103,1.2,75,77
2014-02-27,99,¡º,74,89,60,1.2,43,51
2014-02-28,62,¡º,27,73,54,0.8,48,68
2014-03-01,128,«·∂»Œ€»æ,97,130,227,1.5,76,62
2014-03-02,203,÷ÿ∂»Œ€»æ,153,207,145,1.7,83,77
2014-03-03,158,÷–∂»Œ€»æ,121,167,126,1.4,65,93
2014-03-04,90,¡º,67,110,86,1.5,70,71
2014-03-05,90,¡º,67,113,126,1.9,75,63
2014-03-06,143,«·∂»Œ€»æ,110,166,177,1.9,96,37
2014-03-07,152,÷–∂»Œ€»æ,117,163,115,1.7,81,59
2014-03-08,170,÷–∂»Œ€»æ,129,195,142,1.9,80,81
2014-03-09,207,÷ÿ∂»Œ€»æ,157,213,115,2.2,79,74
2014-03-10,158,÷–∂»Œ€»æ,121,165,81,1.6,56,101
2014-03-11,133,«·∂»Œ€»æ,101,152,91,1.2,53,120
2014-03-12,92,¡º,62,135,67,0.9,66,79
2014-03-13,85,¡º,63,115,118,1.6,65,68
2014-03-14,78,¡º,54,106,117,1.4,57,70
2014-03-15,99,¡º,65,148,98,1.1,54,83
2014-03-16,101,«·∂»Œ€»æ,76,123,94,1,53,140
2014-03-17,133,«·∂»Œ€»æ,102,158,111,1.3,66,157
2014-03-18,174,÷–∂»Œ€»æ,79,298,78,1,59,97
2014-03-19,93,¡º,69,101,107,1.1,63,80
2014-03-20,83,¡º,62,87,55,1,41,74
2014-03-21,82,¡º,57,115,80,1,55,83
2014-03-22,88,¡º,65,116,79,0.9,48,106
2014-03-23,126,«·∂»Œ€»æ,96,155,120,1.3,80,130
2014-03-24,136,«·∂»Œ€»æ,104,157,108,1.3,70,121
2014-03-25,213,÷ÿ∂»Œ€»æ,163,214,124,1.8,76,73
2014-03-26,227,÷ÿ∂»Œ€»æ,177,232,114,1.7,62,100
2014-03-27,118,«·∂»Œ€»æ,89,138,84,1.2,52,117
2014-03-28,136,«·∂»Œ€»æ,104,143,76,1.5,58,98
2014-03-29,206,÷ÿ∂»Œ€»æ,156,219,128,1.5,78,74
2014-03-30,113,«·∂»Œ€»æ,85,145,116,1.4,80,83
2014-03-31,143,«·∂»Œ€»æ,110,184,147,1.6,78,110
2014-04-01,125,«·∂»Œ€»æ,95,160,144,1.6,70,108
2014-04-02,125,«·∂»Œ€»æ,95,163,116,1.3,66,100
2014-04-03,106,«·∂»Œ€»æ,75,162,73,1.1,55,74
2014-04-04,112,«·∂»Œ€»æ,84,172,79,1.1,47,99
