»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,134,«·∂»Œ€»æ,76,218,79,0.8,57,40
2014-01-01,163,÷–∂»Œ€»æ,124,243,154,1.4,62,35
2014-01-02,159,÷–∂»Œ€»æ,121,199,96,1.5,50,35
2014-01-03,118,«·∂»Œ€»æ,90,130,39,1.1,34,42
2014-01-04,58,¡º,41,63,63,0.5,30,45
2014-01-05,159,÷–∂»Œ€»æ,122,177,107,1.6,53,28
2014-01-06,272,÷ÿ∂»Œ€»æ,222,284,60,1.2,59,8
2014-01-07,265,÷ÿ∂»Œ€»æ,215,277,66,0.7,54,31
2014-01-08,49,”≈,30,49,27,0.3,20,60
2014-01-09,75,¡º,55,81,80,0.8,37,54
2014-01-10,209,÷ÿ∂»Œ€»æ,159,213,166,1.2,63,28
2014-01-11,309,—œ÷ÿŒ€»æ,259,343,189,0.7,78,54
2014-01-12,204,÷ÿ∂»Œ€»æ,154,185,72,0.2,42,66
2014-01-13,90,¡º,67,95,66,1.2,44,66
2014-01-14,181,÷–∂»Œ€»æ,137,172,138,1.5,65,39
2014-01-15,324,—œ÷ÿŒ€»æ,274,357,257,0.6,89,26
2014-01-16,353,—œ÷ÿŒ€»æ,303,389,147,0.6,71,70
2014-01-17,215,÷ÿ∂»Œ€»æ,165,211,99,1.3,52,47
2014-01-18,216,÷ÿ∂»Œ€»æ,166,212,82,1.4,56,42
2014-01-19,148,«·∂»Œ€»æ,113,159,96,1.5,57,47
2014-01-20,129,«·∂»Œ€»æ,99,173,61,0.7,40,60
2014-01-21,53,¡º,35,56,51,0.4,23,50
2014-01-22,137,«·∂»Œ€»æ,104,139,111,1.3,58,52
2014-01-23,103,«·∂»Œ€»æ,77,113,77,1,49,61
2014-01-24,128,«·∂»Œ€»æ,97,135,45,1.3,48,52
2014-01-25,60,¡º,43,69,25,0.4,21,71
2014-01-26,51,¡º,24,51,31,0.4,19,68
2014-01-27,74,¡º,54,65,64,0.8,41,59
2014-01-28,56,¡º,34,62,35,0.6,19,73
2014-01-29,55,¡º,35,61,43,0.7,20,70
2014-01-30,158,÷–∂»Œ€»æ,120,174,52,1.2,26,82
2014-01-31,75,¡º,55,99,20,0.6,9,76
2014-02-01,67,¡º,48,65,19,0.7,26,68
2014-02-02,112,«·∂»Œ€»æ,84,121,72,1,32,57
2014-02-03,43,”≈,18,43,25,0.3,14,71
2014-02-04,37,”≈,18,33,36,0.3,14,74
2014-02-05,40,”≈,13,25,25,0.2,11,80
2014-02-06,40,”≈,21,40,31,0.4,13,79
2014-02-08,46,”≈,28,46,53,0.4,19,67
2014-02-09,38,”≈,15,34,13,0.2,5,75
2014-02-10,41,”≈,14,28,20,0.2,9,82
2014-02-11,49,”≈,32,49,74,0.7,23,78
2014-02-12,100,¡º,75,99,60,1.1,28,96
2014-02-13,101,«·∂»Œ€»æ,76,87,61,0.8,25,76
2014-02-14,133,«·∂»Œ€»æ,102,144,83,1.1,44,92
2014-02-15,203,÷ÿ∂»Œ€»æ,153,208,82,1.6,38,119
2014-02-16,107,«·∂»Œ€»æ,81,113,45,1.1,28,104
2014-02-17,69,¡º,50,80,33,0.6,19,80
2014-02-18,69,¡º,50,78,39,0.7,27,78
2014-02-19,97,¡º,73,100,50,1,41,83
2014-02-20,83,¡º,61,84,45,0.7,24,98
2014-02-21,195,÷–∂»Œ€»æ,147,214,100,1.4,55,112
2014-02-22,169,÷–∂»Œ€»æ,128,174,55,1.3,46,119
2014-02-23,136,«·∂»Œ€»æ,104,153,54,1.1,42,113
2014-02-24,153,÷–∂»Œ€»æ,117,168,67,1,37,114
2014-02-25,156,÷–∂»Œ€»æ,119,171,27,1,30,124
2014-02-26,193,÷–∂»Œ€»æ,145,205,45,1.3,46,130
2014-02-27,115,«·∂»Œ€»æ,87,120,46,0.9,47,90
2014-02-28,52,¡º,24,54,27,0.3,33,75
2014-03-01,78,¡º,57,104,74,0.8,44,86
