»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,83,¡º,58,117,45,1.3,44,59
2015-01-01,90,¡º,56,129,27,0.7,28,46
2015-01-02,86,¡º,63,123,51,1.3,38,33
2015-01-03,144,«·∂»Œ€»æ,111,194,72,1.8,54,36
2015-01-04,187,÷–∂»Œ€»æ,141,251,71,2.4,65,47
2015-01-05,182,÷–∂»Œ€»æ,138,233,75,2,64,31
2015-01-06,156,÷–∂»Œ€»æ,119,146,19,1.8,44,14
2015-01-07,141,«·∂»Œ€»æ,108,142,18,2,40,7
2015-01-08,125,«·∂»Œ€»æ,95,132,31,1.5,27,43
2015-01-09,165,÷–∂»Œ€»æ,125,182,50,1.8,41,24
2015-01-10,207,÷ÿ∂»Œ€»æ,157,206,54,2,42,34
2015-01-11,209,÷ÿ∂»Œ€»æ,159,215,55,1.9,47,31
2015-01-12,163,÷–∂»Œ€»æ,124,155,29,1.4,39,21
2015-01-13,95,¡º,71,94,19,1,25,26
2015-01-14,117,«·∂»Œ€»æ,88,124,33,1.2,29,45
2015-01-15,106,«·∂»Œ€»æ,80,118,37,1.4,29,51
2015-01-16,155,÷–∂»Œ€»æ,119,170,57,1.6,36,43
2015-01-17,151,÷–∂»Œ€»æ,116,170,34,1.2,32,79
2015-01-18,171,÷–∂»Œ€»æ,130,189,63,1.5,47,47
2015-01-19,135,«·∂»Œ€»æ,103,160,35,1.4,34,75
2015-01-20,152,÷–∂»Œ€»æ,116,189,65,1.7,53,61
2015-01-21,156,÷–∂»Œ€»æ,119,178,53,1.7,41,70
2015-01-22,125,«·∂»Œ€»æ,95,163,41,1.3,37,73
2015-01-23,140,«·∂»Œ€»æ,107,175,73,1.8,52,59
2015-01-24,188,÷–∂»Œ€»æ,142,222,81,2.3,60,44
2015-01-25,235,÷ÿ∂»Œ€»æ,185,264,41,2.3,48,9
2015-01-26,259,÷ÿ∂»Œ€»æ,209,321,31,2.8,50,3
2015-01-27,120,«·∂»Œ€»æ,91,155,20,2.3,41,4
2015-01-28,34,”≈,23,34,11,1.2,23,6
2015-01-29,34,”≈,24,30,10,1,21,7
2015-01-30,98,¡º,73,93,13,1.2,24,7
2015-01-31,66,¡º,48,63,10,0.9,21,18
2015-02-01,136,«·∂»Œ€»æ,104,134,18,1.1,26,17
2015-02-02,104,«·∂»Œ€»æ,78,100,11,1.2,31,8
2015-02-03,67,¡º,49,66,14,1.4,28,5
2015-02-04,143,«·∂»Œ€»æ,109,153,26,1.3,27,29
2015-02-05,134,«·∂»Œ€»æ,102,151,29,1.7,33,55
2015-02-06,162,÷–∂»Œ€»æ,123,182,39,1.6,38,76
2015-02-07,148,«·∂»Œ€»æ,113,177,46,2.1,52,37
2015-02-08,135,«·∂»Œ€»æ,103,160,35,1.4,31,82
2015-02-09,95,¡º,71,121,28,0.9,25,77
2015-02-10,116,«·∂»Œ€»æ,88,144,43,1.2,40,60
2015-02-11,144,«·∂»Œ€»æ,110,163,49,1.5,35,84
2015-02-12,152,÷–∂»Œ€»æ,116,186,54,1.8,47,75
2015-02-13,122,«·∂»Œ€»æ,93,162,37,1.8,46,84
2015-02-14,138,«·∂»Œ€»æ,105,164,33,2,41,41
2015-02-15,87,¡º,64,99,26,1.6,26,39
2015-02-16,82,¡º,61,96,21,1.3,22,25
2015-02-17,124,«·∂»Œ€»æ,94,146,26,1.5,22,73
2015-02-18,194,÷–∂»Œ€»æ,146,197,33,1.6,21,66
2015-02-19,201,÷ÿ∂»Œ€»æ,151,205,35,1.3,13,37
2015-02-20,136,«·∂»Œ€»æ,104,150,19,1.5,11,28
2015-02-21,54,¡º,38,49,10,1,11,16
2015-02-22,69,¡º,50,75,13,1.1,16,14
2015-02-23,54,¡º,38,55,9,1.2,16,17
2015-02-24,58,¡º,41,64,9,1.3,14,22
2015-02-25,55,¡º,39,59,8,1.4,17,21
2015-02-26,32,”≈,20,32,9,1.1,18,19
2015-02-27,27,”≈,13,27,7,1,14,18
2015-02-28,21,”≈,14,21,5,0.8,11,34
2015-03-01,44,”≈,31,44,15,0.8,14,34
2015-03-02,66,¡º,48,69,12,1,18,28
2015-03-03,54,¡º,38,59,12,1.2,25,20
2015-03-04,91,¡º,63,133,17,1,19,42
2015-03-05,52,¡º,37,51,5,0.7,15,33
2015-03-06,42,”≈,26,42,9,1,18,24
2015-03-07,60,¡º,43,62,19,1,21,17
2015-03-08,49,”≈,33,49,11,1,22,11
2015-03-09,61,¡º,44,73,18,1.3,19,33
2015-03-10,95,¡º,71,108,14,0.9,21,33
2015-03-11,88,¡º,65,97,10,0.8,23,37
2015-03-12,66,¡º,48,80,33,1.1,24,47
2015-03-13,67,¡º,48,84,26,1.3,27,21
2015-03-14,56,¡º,37,61,13,1.4,31,13
2015-03-15,35,”≈,20,35,9,1.2,25,17
2015-03-16,54,¡º,30,58,23,1.4,22,29
2015-03-17,94,¡º,70,125,40,1.7,29,27
2015-03-18,56,¡º,32,61,22,1.3,23,22
2015-03-19,66,¡º,43,81,26,1.3,24,9
2015-03-20,39,”≈,20,39,11,1.2,16,9
2015-03-21,66,¡º,47,83,20,1,16,46
2015-03-22,65,¡º,41,80,30,1.2,15,50
2015-03-23,39,”≈,18,39,10,1,15,44
2015-03-24,75,¡º,47,100,18,0.9,17,56
2015-03-25,77,¡º,49,104,31,1.2,22,81
2015-03-26,59,¡º,37,68,14,0.8,19,67
2015-03-27,49,”≈,27,45,11,0.7,9,76
2015-03-28,72,¡º,53,88,17,1.3,31,50
2015-03-29,78,¡º,57,82,33,1.3,24,44
2015-03-30,55,¡º,37,60,25,1.5,25,50
2015-03-31,59,¡º,37,68,34,1.3,20,65
2015-04-01,61,¡º,38,72,27,0.9,21,80
2015-04-02,67,¡º,44,85,25,1,24,100
2015-04-03,63,¡º,45,75,30,1.2,23,70
2015-04-04,71,¡º,52,93,23,1.5,25,55
2015-04-05,51,¡º,28,53,18,1.4,19,39
2015-04-06,65,¡º,47,69,13,1,20,42
2015-04-07,24,”≈,9,22,7,0.8,17,48
2015-04-08,45,”≈,28,45,11,0.5,15,55
2015-04-09,55,¡º,39,52,10,0.6,18,39
2015-04-10,60,¡º,42,69,20,0.8,16,65
2015-04-11,69,¡º,47,87,23,0.9,15,96
2015-04-12,76,¡º,55,101,21,0.7,15,124
2015-04-13,67,¡º,26,84,20,0.7,29,88
2015-04-14,68,¡º,34,86,30,0.8,22,109
2015-04-15,90,¡º,59,130,49,1.5,46,65
2015-04-16,95,¡º,71,129,33,1.6,31,100
2015-04-17,110,«·∂»Œ€»æ,83,150,51,1.5,34,94
2015-04-18,119,«·∂»Œ€»æ,90,163,47,1.4,44,66
2015-04-19,61,¡º,44,71,20,1.5,20,26
2015-04-20,51,¡º,31,52,12,1,12,41
2015-04-21,52,¡º,30,54,20,0.9,14,65
2015-04-22,67,¡º,46,84,22,1.1,16,101
2015-04-23,82,¡º,61,97,29,1.1,16,85
2015-04-24,66,¡º,48,76,18,1.2,16,60
2015-04-25,62,¡º,45,73,23,1,15,73
2015-04-26,74,¡º,54,93,30,1.2,18,97
2015-04-27,66,¡º,48,71,15,1,18,57
2015-04-28,60,¡º,43,70,19,1,10,54
2015-04-29,75,¡º,53,99,28,1.7,24,85
2015-04-30,89,¡º,66,111,28,1.1,16,112
2015-05-01,60,¡º,43,66,23,1.2,13,63
2015-05-02,40,”≈,17,35,14,0.7,8,80
2015-05-03,65,¡º,41,72,21,1,11,118
2015-05-04,61,¡º,43,72,16,0.8,9,99
2015-05-05,69,¡º,50,79,24,0.9,13,92
2015-05-06,75,¡º,55,80,19,1.1,12,83
2015-05-07,66,¡º,48,73,21,1.2,11,90
2015-05-08,38,”≈,22,38,20,0.9,13,62
2015-05-09,56,¡º,37,60,20,1,10,107
2015-05-10,69,¡º,50,79,26,1.2,16,83
2015-05-11,31,”≈,17,31,7,0.7,10,57
2015-05-12,62,¡º,31,75,22,0.9,12,101
2015-05-13,76,¡º,46,103,51,1.1,25,85
2015-05-14,65,¡º,47,75,27,1.2,16,53
2015-05-15,51,¡º,32,52,11,0.9,9,54
2015-05-16,35,”≈,21,35,16,1,10,48
2015-05-17,54,¡º,36,59,25,1.2,9,58
2015-05-18,67,¡º,48,79,40,1.4,19,36
2015-05-19,50,”≈,26,51,29,1.2,14,70
2015-05-20,69,¡º,51,86,37,1.5,16,81
2015-05-21,85,¡º,63,108,28,1,12,132
2015-05-22,59,¡º,42,68,23,0.9,9,102
2015-05-23,67,¡º,48,63,17,0.9,10,70
2015-05-24,120,«·∂»Œ€»æ,91,134,38,1.4,12,82
2015-05-25,129,«·∂»Œ€»æ,98,147,29,1.4,14,114
2015-05-26,139,«·∂»Œ€»æ,106,163,48,1.5,18,95
2015-05-27,91,¡º,67,120,33,1.3,15,76
2015-05-28,37,”≈,13,37,18,0.9,9,68
2015-05-29,67,¡º,47,84,27,1.2,10,91
2015-05-30,70,¡º,51,76,14,0.8,7,65
2015-05-31,79,¡º,59,91,30,1.2,10,93
2015-06-01,64,¡º,41,78,34,1.2,10,70
2015-06-02,54,¡º,28,59,27,1,15,54
2015-06-03,56,¡º,33,63,28,1.1,11,60
2015-06-04,53,¡º,31,55,23,0.9,11,47
2015-06-05,71,¡º,45,72,21,0.8,8,125
2015-06-06,79,¡º,43,80,28,0.9,12,135
2015-06-07,62,¡º,40,75,39,0.9,15,91
2015-06-08,38,”≈,20,38,22,0.9,10,52
2015-06-09,42,”≈,25,42,18,0.9,8,49
2015-06-10,53,¡º,26,55,19,1.1,12,49
2015-06-11,36,”≈,22,36,19,1,7,52
2015-06-12,52,¡º,28,55,15,0.9,8,97
2015-06-13,46,”≈,29,46,25,0.8,10,47
2015-06-14,24,”≈,12,23,11,0.6,8,47
2015-06-15,29,”≈,17,29,13,0.7,11,48
2015-06-16,35,”≈,15,35,11,0.6,6,49
2015-06-17,34,”≈,18,34,14,0.6,5,59
2015-06-18,38,”≈,25,38,13,1.3,9,54
2015-06-19,78,¡º,57,78,34,1.7,13,59
2015-06-20,63,¡º,46,61,25,1.5,9,84
2015-06-21,80,¡º,59,78,18,1.3,9,53
2015-06-22,51,¡º,28,53,23,1.3,11,94
2015-06-23,40,”≈,24,40,20,0.8,7,65
2015-06-24,30,”≈,13,30,24,0.7,10,48
2015-06-25,33,”≈,15,33,15,0.7,7,62
2015-06-26,35,”≈,15,35,16,0.6,6,62
2015-06-27,40,”≈,19,40,21,0.6,7,66
2015-06-28,36,”≈,18,36,14,0.5,6,69
2015-06-29,38,”≈,20,38,13,0.6,6,72
2015-06-30,40,”≈,19,38,13,0.4,5,79
