»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,99,¡º,74,122,81,2.1,96,35
2013-12-03,87,¡º,65,110,71,2.1,83,53
2013-12-04,52,¡º,31,53,56,1.4,59,54
2013-12-05,35,”≈,17,35,45,0.7,35,48
2013-12-06,69,¡º,50,88,88,1.8,70,28
2013-12-07,175,÷–∂»Œ€»æ,132,226,150,4.3,89,10
2013-12-08,77,¡º,57,93,58,1.1,45,34
2013-12-09,79,¡º,58,76,40,0.9,30,39
2013-12-10,107,«·∂»Œ€»æ,81,110,76,1.9,52,24
2013-12-11,39,”≈,26,39,55,0.8,34,45
2013-12-12,51,¡º,25,52,51,1,28,45
2013-12-13,38,”≈,15,38,54,0.6,30,49
2013-12-14,66,¡º,41,83,98,1.8,50,42
2013-12-15,53,¡º,31,55,89,1.1,44,45
2013-12-16,113,«·∂»Œ€»æ,86,158,152,3.5,73,20
2013-12-17,82,¡º,60,101,68,1.1,39,42
2013-12-18,57,¡º,40,65,43,0.9,30,41
2013-12-19,47,”≈,24,47,42,0.6,20,46
2013-12-20,35,”≈,18,35,30,0.5,16,48
2013-12-21,65,¡º,47,81,107,1.2,44,45
2013-12-22,112,«·∂»Œ€»æ,85,132,167,2,72,31
2013-12-23,177,÷–∂»Œ€»æ,134,226,158,4.5,80,30
2013-12-24,123,«·∂»Œ€»æ,94,144,131,1.9,65,36
2013-12-25,121,«·∂»Œ€»æ,92,151,107,2.7,78,25
2013-12-26,39,”≈,18,39,48,0.7,21,46
2013-12-27,63,¡º,40,77,92,1.4,53,39
2013-12-28,65,¡º,45,80,81,1.5,53,46
2013-12-29,49,”≈,25,49,63,1.2,56,43
2013-12-30,71,¡º,48,91,92,2.1,65,34
2013-12-31,55,¡º,20,59,53,1.1,46,39
2014-01-01,60,¡º,25,70,75,1.3,41,43
2014-01-02,57,¡º,26,63,75,1.1,42,37
2014-01-03,56,¡º,26,61,66,0.9,36,51
2014-01-04,84,¡º,63,114,156,2.6,66,29
2014-01-05,96,¡º,71,125,93,2.2,60,31
2014-01-06,99,¡º,74,118,73,2,54,31
2014-01-07,55,¡º,34,60,56,1,32,48
2014-01-08,29,”≈,12,26,48,0.6,18,58
2014-01-09,47,”≈,23,47,61,1.1,45,52
2014-01-10,57,¡º,37,64,85,1.6,55,40
2014-01-11,109,«·∂»Œ€»æ,82,145,99,3.5,65,30
2014-01-12,33,”≈,15,33,48,0.6,23,56
2014-01-13,80,¡º,56,109,125,2.7,61,28
2014-01-14,149,«·∂»Œ€»æ,114,207,161,4.4,81,29
2014-01-15,75,¡º,55,99,72,2.3,62,27
2014-01-16,137,«·∂»Œ€»æ,105,183,118,4,66,27
2014-01-17,71,¡º,52,87,85,1.1,41,34
2014-01-18,58,¡º,36,66,55,1.4,39,53
2014-01-19,72,¡º,51,93,71,1.8,50,35
2014-01-20,56,¡º,37,63,54,1,29,49
2014-01-21,57,¡º,38,64,80,1,34,36
2014-01-22,55,¡º,33,60,71,1.4,59,29
2014-01-23,60,¡º,41,70,68,1,42,55
2014-01-24,69,¡º,50,87,54,1.2,46,51
2014-01-25,59,¡º,27,67,33,0.8,21,60
2014-01-26,58,¡º,21,66,52,1.1,35,57
2014-01-27,46,”≈,17,46,41,0.6,27,47
2014-01-28,38,”≈,12,38,46,0.6,22,55
2014-01-29,40,”≈,20,40,43,0.7,28,61
2014-01-30,50,”≈,26,50,54,0.8,24,61
2014-01-31,86,¡º,64,107,72,0.9,28,56
2014-02-01,81,¡º,60,102,88,1.6,46,36
2014-02-02,58,¡º,27,67,36,0.9,19,57
2014-02-03,41,”≈,13,41,41,0.5,12,63
2014-02-04,34,”≈,18,34,50,0.7,21,62
2014-02-05,49,”≈,29,49,51,1.2,35,57
2014-02-06,66,¡º,47,81,78,1.8,47,52
2014-02-07,58,¡º,37,66,37,0.9,28,42
2014-02-08,52,¡º,30,55,44,0.9,24,59
2014-02-09,41,”≈,24,41,35,0.5,15,69
2014-02-10,68,¡º,49,76,84,0.9,40,78
2014-02-11,107,«·∂»Œ€»æ,80,121,115,2,63,72
2014-02-12,131,«·∂»Œ€»æ,100,164,103,2.5,64,76
2014-02-13,86,¡º,64,104,85,1.2,46,76
2014-02-14,64,¡º,43,77,68,1.3,47,105
2014-02-15,118,«·∂»Œ€»æ,89,143,100,1.3,53,86
2014-02-16,85,¡º,63,107,65,1.1,42,83
2014-02-17,72,¡º,52,94,80,1.1,42,86
2014-02-18,69,¡º,49,88,76,1,42,77
2014-02-19,60,¡º,39,69,46,1,34,82
2014-02-20,72,¡º,51,93,92,1.2,46,68
2014-02-21,164,÷–∂»Œ€»æ,125,202,65,2.6,76,90
2014-02-22,192,÷–∂»Œ€»æ,144,236,98,3,89,41
2014-02-23,114,«·∂»Œ€»æ,87,118,96,1.6,64,57
2014-02-24,127,«·∂»Œ€»æ,96,130,59,1.6,67,53
2014-02-25,129,«·∂»Œ€»æ,98,141,59,1.3,45,86
2014-02-26,94,¡º,70,114,54,1.1,38,103
2014-02-27,56,¡º,29,62,36,0.7,29,80
2014-02-28,77,¡º,43,105,68,1.3,48,78
