»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,117,«·∂»Œ€»æ,60,184,24,0.6,35,49
2014-01-01,123,«·∂»Œ€»æ,76,196,91,1.1,48,50
2014-01-02,106,«·∂»Œ€»æ,80,151,55,1.3,44,49
2014-01-03,82,¡º,60,112,39,0.7,27,63
2014-01-04,42,”≈,24,42,25,0.6,22,62
2014-01-05,87,¡º,65,111,50,1.2,34,34
2014-01-06,133,«·∂»Œ€»æ,102,175,46,1.6,41,32
2014-01-07,122,«·∂»Œ€»æ,92,145,33,1.7,33,40
2014-01-08,53,¡º,37,33,19,0.8,19,72
2014-01-09,50,”≈,28,51,34,1.4,65,73
2014-01-10,92,¡º,68,114,83,1.9,44,46
2014-01-11,216,÷ÿ∂»Œ€»æ,166,286,128,2.7,70,41
2014-01-12,99,¡º,74,116,42,1.5,28,80
2014-01-13,58,¡º,41,66,45,1.6,35,68
2014-01-14,100,¡º,75,128,62,2,38,45
2014-01-15,244,÷ÿ∂»Œ€»æ,194,313,125,2.9,62,38
2014-01-16,263,÷ÿ∂»Œ€»æ,213,278,94,2.5,48,70
2014-01-17,117,«·∂»Œ€»æ,89,140,41,2,33,59
2014-01-18,95,¡º,71,110,35,2.1,35,67
2014-01-19,105,«·∂»Œ€»æ,79,129,40,2.1,38,54
2014-01-20,96,¡º,68,142,22,1.8,30,69
2014-01-21,35,”≈,22,29,14,1.3,14,69
2014-01-22,73,¡º,54,87,65,1.9,35,57
2014-01-23,88,¡º,66,114,42,1.8,35,73
2014-01-24,93,¡º,70,118,28,1.7,35,77
2014-01-25,54,¡º,30,59,15,1.3,18,81
2014-01-26,50,”≈,30,50,21,1.5,25,79
2014-01-27,55,¡º,34,61,28,1.7,24,65
2014-01-28,64,¡º,46,47,20,1.3,19,76
2014-01-29,51,¡º,27,53,21,1.6,18,83
2014-01-30,120,«·∂»Œ€»æ,91,147,36,2.1,27,73
2014-01-31,86,¡º,63,110,36,1.8,28,65
2014-02-01,46,”≈,23,46,16,1.6,21,55
2014-02-02,66,¡º,47,82,30,2,34,58
2014-02-03,54,¡º,16,58,17,1.6,23,77
2014-02-04,40,”≈,18,36,17,1.7,19,80
2014-02-05,37,”≈,20,32,26,1.8,19,73
2014-02-06,44,”≈,24,34,34,1.8,22,87
2014-02-07,45,”≈,17,45,16,1.3,16,72
2014-02-08,41,”≈,20,36,15,1.3,17,82
2014-02-09,43,”≈,15,34,14,1.5,17,85
2014-02-10,43,”≈,20,23,14,1.5,15,85
