»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,72,¡º,24,93,18,0.7,26,61
2015-01-01,81,¡º,46,111,29,0.9,40,62
2015-01-02,83,¡º,61,116,34,1.1,45,62
2015-01-03,102,«·∂»Œ€»æ,77,127,38,1.4,57,61
2015-01-04,132,«·∂»Œ€»æ,101,147,38,1.5,46,71
2015-01-05,205,÷ÿ∂»Œ€»æ,155,211,40,2.2,60,62
2015-01-06,116,«·∂»Œ€»æ,88,127,34,1.4,35,72
2015-01-07,81,¡º,60,106,28,1,42,71
2015-01-08,123,«·∂»Œ€»æ,93,145,35,1.5,54,49
2015-01-09,118,«·∂»Œ€»æ,90,138,38,1.5,66,46
2015-01-10,118,«·∂»Œ€»æ,89,135,43,1.8,66,47
2015-01-11,105,«·∂»Œ€»æ,79,107,47,1.4,56,57
2015-01-12,37,”≈,25,37,41,0.7,29,52
2015-01-13,36,”≈,25,33,33,0.8,30,45
2015-01-14,61,¡º,44,48,21,0.8,34,55
2015-01-15,86,¡º,64,80,28,1,44,50
2015-01-16,128,«·∂»Œ€»æ,97,119,30,1.2,43,47
2015-01-17,91,¡º,68,93,35,1.3,41,46
2015-01-18,80,¡º,59,98,27,1.2,40,51
2015-01-19,77,¡º,49,104,36,1.1,47,46
2015-01-20,87,¡º,64,108,42,1.5,63,39
2015-01-21,133,«·∂»Œ€»æ,101,142,39,1.8,62,39
2015-01-22,105,«·∂»Œ€»æ,79,99,37,1.5,47,39
2015-01-23,104,«·∂»Œ€»æ,78,95,35,1.5,48,44
2015-01-24,165,÷–∂»Œ€»æ,126,145,42,2,70,36
2015-01-25,165,÷–∂»Œ€»æ,126,130,26,1.9,48,37
2015-01-26,148,«·∂»Œ€»æ,113,118,37,1.6,45,42
2015-01-27,78,¡º,58,67,27,1.2,30,50
2015-01-28,48,”≈,34,44,25,1.2,30,60
2015-01-29,59,¡º,43,48,23,1.3,32,62
2015-01-30,106,«·∂»Œ€»æ,80,95,25,1.3,37,48
2015-01-31,73,¡º,54,70,24,1.2,30,46
2015-02-01,51,¡º,36,50,21,1,22,45
2015-02-02,92,¡º,68,84,22,1.2,25,47
2015-02-03,110,«·∂»Œ€»æ,83,106,20,1.2,29,46
2015-02-04,183,÷–∂»Œ€»æ,138,163,29,1.7,31,69
2015-02-05,79,¡º,58,85,30,1.2,29,62
2015-02-06,83,¡º,61,97,25,1.2,33,51
2015-02-07,105,«·∂»Œ€»æ,79,113,32,1.4,39,43
2015-02-08,55,¡º,32,59,25,1,24,61
2015-02-09,57,¡º,41,61,27,1.1,25,61
2015-02-10,72,¡º,53,80,30,1.5,32,67
2015-02-11,103,«·∂»Œ€»æ,77,122,36,1.5,33,70
2015-02-12,190,÷–∂»Œ€»æ,143,192,42,2.1,46,75
2015-02-13,191,÷–∂»Œ€»æ,144,182,36,2.1,47,76
2015-02-14,124,«·∂»Œ€»æ,94,131,29,1.7,35,75
2015-02-15,82,¡º,61,67,19,1.5,31,67
2015-02-16,164,÷–∂»Œ€»æ,125,149,23,2.2,34,63
2015-02-17,170,÷–∂»Œ€»æ,129,179,27,1.9,35,81
2015-02-18,73,¡º,53,76,23,1.3,27,69
2015-02-19,59,¡º,42,52,26,1.1,23,74
2015-02-20,46,”≈,32,35,18,1.2,25,66
2015-02-21,75,¡º,55,61,18,1.3,25,40
2015-02-22,166,÷–∂»Œ€»æ,126,136,24,1.9,31,43
2015-02-23,139,«·∂»Œ€»æ,106,132,27,1.7,30,65
2015-02-24,89,¡º,66,83,21,1.5,29,68
