»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,304,—œ÷ÿŒ€»æ,254,418,183,2.9,120,28
2013-12-03,348,—œ÷ÿŒ€»æ,298,450,137,3.3,129,42
2013-12-04,293,÷ÿ∂»Œ€»æ,243,392,150,3.1,112,21
2013-12-05,218,÷ÿ∂»Œ€»æ,168,286,83,2.3,77,42
2013-12-06,137,«·∂»Œ€»æ,105,183,79,1.2,66,37
2013-12-07,267,÷ÿ∂»Œ€»æ,217,353,38,1.9,68,19
2013-12-08,276,÷ÿ∂»Œ€»æ,226,379,38,2.5,62,22
2013-12-09,157,÷–∂»Œ€»æ,120,200,41,1.5,54,48
2013-12-10,129,«·∂»Œ€»æ,89,207,74,1.6,55,40
2013-12-11,103,«·∂»Œ€»æ,57,157,51,0.9,40,56
2013-12-12,146,«·∂»Œ€»æ,104,241,73,1.6,58,43
2013-12-13,118,«·∂»Œ€»æ,81,187,123,1.6,64,34
2013-12-14,258,÷ÿ∂»Œ€»æ,208,371,136,2.7,95,18
2013-12-15,211,÷ÿ∂»Œ€»æ,161,298,167,2.5,96,19
2013-12-16,316,—œ÷ÿŒ€»æ,266,433,179,3.3,121,7
2013-12-17,318,—œ÷ÿŒ€»æ,268,391,124,2.5,87,13
2013-12-18,210,÷ÿ∂»Œ€»æ,160,230,87,1.5,62,37
2013-12-19,289,÷ÿ∂»Œ€»æ,239,349,90,1.9,82,15
2013-12-20,495,—œ÷ÿŒ€»æ,476,595,75,2.2,98,10
2013-12-21,373,—œ÷ÿŒ€»æ,323,432,55,0,89,16
2013-12-22,228,÷ÿ∂»Œ€»æ,178,280,132,0,89,25
2013-12-26,196,÷–∂»Œ€»æ,147,213,38,1.5,49,56
2013-12-27,129,«·∂»Œ€»æ,98,180,100,1.7,59,37
2013-12-28,145,«·∂»Œ€»æ,111,195,87,2,58,47
2013-12-29,136,«·∂»Œ€»æ,102,221,102,1.9,66,40
2013-12-30,162,÷–∂»Œ€»æ,94,275,121,1.7,70,44
2013-12-31,170,÷–∂»Œ€»æ,77,290,87,1.4,57,49
2014-01-01,152,÷–∂»Œ€»æ,85,254,116,1.7,61,42
2014-01-02,221,÷ÿ∂»Œ€»æ,171,327,151,2.6,93,33
2014-01-03,256,÷ÿ∂»Œ€»æ,206,363,126,3.1,88,38
2014-01-04,106,«·∂»Œ€»æ,77,163,118,1.3,57,32
2014-01-05,241,÷ÿ∂»Œ€»æ,191,297,100,2.9,82,35
2014-01-06,254,÷ÿ∂»Œ€»æ,204,297,81,2.4,67,17
2014-01-07,285,÷ÿ∂»Œ€»æ,235,329,91,2.7,69,9
2014-01-08,131,«·∂»Œ€»æ,100,175,72,1.9,50,50
2014-01-09,162,÷–∂»Œ€»æ,123,194,96,1.9,57,28
2014-01-10,296,÷ÿ∂»Œ€»æ,246,355,125,2.9,84,18
2014-01-11,417,—œ÷ÿŒ€»æ,376,456,77,4.4,76,9
2014-01-12,261,÷ÿ∂»Œ€»æ,211,298,76,3.3,67,51
2014-01-13,173,÷–∂»Œ€»æ,131,214,106,2.5,65,49
2014-01-14,337,—œ÷ÿŒ€»æ,287,391,125,3.9,92,46
2014-01-15,362,—œ÷ÿŒ€»æ,312,439,72,3.1,73,35
2014-01-16,396,—œ÷ÿŒ€»æ,346,457,68,3.3,82,26
2014-01-17,376,—œ÷ÿŒ€»æ,326,443,78,3.5,80,11
2014-01-18,375,—œ÷ÿŒ€»æ,325,426,114,3.7,93,40
2014-01-19,358,—œ÷ÿŒ€»æ,308,432,85,2.5,74,26
2014-01-20,127,«·∂»Œ€»æ,27,204,24,0.4,30,64
2014-01-21,83,¡º,61,108,52,1.3,45,36
2014-01-22,133,«·∂»Œ€»æ,102,211,75,1.2,53,45
2014-01-23,187,÷–∂»Œ€»æ,141,253,72,1.4,66,53
2014-01-24,346,—œ÷ÿŒ€»æ,296,425,129,4.1,111,18
2014-01-25,153,÷–∂»Œ€»æ,117,194,77,2.1,67,48
2014-01-26,100,¡º,59,150,82,1,38,67
2014-01-27,136,«·∂»Œ€»æ,104,197,64,1.3,45,46
2014-01-28,207,÷ÿ∂»Œ€»æ,157,260,103,2,63,47
2014-01-29,183,÷–∂»Œ€»æ,138,280,69,1.6,42,76
2014-01-30,299,÷ÿ∂»Œ€»æ,249,363,89,2.7,55,68
2014-01-31,315,—œ÷ÿŒ€»æ,265,363,89,2.6,45,43
2014-02-01,205,÷ÿ∂»Œ€»æ,155,299,39,3.1,39,5
2014-02-02,262,÷ÿ∂»Œ€»æ,212,338,48,2.5,37,46
2014-02-03,86,¡º,48,123,28,0.7,17,66
2014-02-04,68,¡º,34,86,40,0.8,18,62
2014-02-05,102,«·∂»Œ€»æ,76,115,99,0.9,29,47
2014-02-06,168,÷–∂»Œ€»æ,128,162,70,1.1,27,49
2014-02-07,107,«·∂»Œ€»æ,80,94,31,0.9,17,57
2014-02-08,141,«·∂»Œ€»æ,108,131,48,1.1,25,58
2014-02-09,45,”≈,31,44,26,0.5,13,70
2014-02-10,93,¡º,69,106,57,1.2,32,73
2014-02-11,113,«·∂»Œ€»æ,85,127,66,1.4,29,76
2014-02-12,211,÷ÿ∂»Œ€»æ,161,212,84,2,40,93
2014-02-13,251,÷ÿ∂»Œ€»æ,201,265,119,2.5,56,82
2014-02-14,294,÷ÿ∂»Œ€»æ,244,319,140,2.3,65,72
2014-02-15,249,÷ÿ∂»Œ€»æ,199,264,53,1.5,36,87
2014-02-16,347,—œ÷ÿŒ€»æ,297,382,75,3,74,53
2014-02-17,101,«·∂»Œ€»æ,76,128,45,1.3,37,73
2014-02-18,93,¡º,70,130,55,1.3,39,87
2014-02-19,183,÷–∂»Œ€»æ,138,186,80,1.5,45,68
2014-02-20,225,÷ÿ∂»Œ€»æ,175,235,101,1.6,53,51
2014-02-21,204,÷ÿ∂»Œ€»æ,154,238,57,1.3,45,94
2014-02-22,246,÷ÿ∂»Œ€»æ,196,275,73,1.7,69,86
2014-02-23,359,—œ÷ÿŒ€»æ,309,410,66,2.9,74,49
2014-02-24,333,—œ÷ÿŒ€»æ,281,447,74,3.3,84,20
2014-02-25,407,—œ÷ÿŒ€»æ,270,507,99,3.2,90,81
2014-02-26,198,÷–∂»Œ€»æ,149,220,52,1.5,57,78
2014-02-27,89,¡º,67,102,24,0.9,26,140
2014-02-28,80,¡º,59,109,135,0.8,46,72
2014-03-01,148,«·∂»Œ€»æ,113,191,83,1.2,42,76
2014-03-02,227,÷ÿ∂»Œ€»æ,177,265,92,1.8,66,68
2014-03-03,181,÷–∂»Œ€»æ,137,241,36,1,25,98
2014-03-04,138,«·∂»Œ€»æ,105,178,35,1.4,39,92
2014-03-05,88,¡º,63,126,44,0.8,33,70
2014-03-06,88,¡º,65,125,37,0.7,31,77
2014-03-07,212,÷ÿ∂»Œ€»æ,162,271,124,1.8,77,51
2014-03-08,237,÷ÿ∂»Œ€»æ,187,291,89,1.9,75,45
2014-03-09,262,÷ÿ∂»Œ€»æ,212,311,72,2,66,78
2014-03-10,208,÷ÿ∂»Œ€»æ,158,270,121,1.6,68,76
2014-03-11,144,«·∂»Œ€»æ,95,239,42,1,32,117
2014-03-12,135,«·∂»Œ€»æ,83,220,37,0.9,28,76
2014-03-13,100,¡º,63,150,42,0.9,46,82
2014-03-14,96,¡º,39,143,27,0.6,32,83
2014-03-15,140,«·∂»Œ€»æ,76,231,54,1.1,47,83
2014-03-16,175,÷–∂»Œ€»æ,133,262,53,1.3,62,86
2014-03-17,324,—œ÷ÿŒ€»æ,210,439,69,2.2,76,93
2014-03-18,225,÷ÿ∂»Œ€»æ,109,367,40,1.2,38,97
2014-03-19,82,¡º,52,113,28,0.7,34,79
2014-03-20,85,¡º,45,121,22,0.8,35,89
2014-03-21,127,«·∂»Œ€»æ,73,204,67,1.5,49,81
2014-03-22,128,«·∂»Œ€»æ,94,206,51,1.2,37,79
2014-03-23,141,«·∂»Œ€»æ,108,208,46,1,40,135
2014-03-24,118,«·∂»Œ€»æ,82,185,29,0.9,32,140
2014-03-25,220,÷ÿ∂»Œ€»æ,170,247,48,1.2,31,117
2014-03-26,234,÷ÿ∂»Œ€»æ,184,281,38,1.3,41,118
2014-03-27,176,÷–∂»Œ€»æ,133,212,34,1.1,23,136
2014-03-28,157,÷–∂»Œ€»æ,120,237,36,1.3,48,116
2014-03-29,218,÷ÿ∂»Œ€»æ,168,274,32,1.6,49,119
2014-03-30,189,÷–∂»Œ€»æ,142,246,41,1.4,45,136
2014-03-31,145,«·∂»Œ€»æ,111,230,43,1,46,127
2014-04-01,119,«·∂»Œ€»æ,83,188,43,1,41,140
2014-04-02,130,«·∂»Œ€»æ,65,210,24,0.7,29,131
2014-04-03,95,¡º,52,139,20,0.5,28,108
2014-04-04,144,«·∂»Œ€»æ,58,237,45,1,44,96
2014-04-05,104,«·∂»Œ€»æ,42,157,20,0.5,26,100
2014-04-06,120,«·∂»Œ€»æ,52,189,32,0.6,31,109
2014-04-07,124,«·∂»Œ€»æ,80,199,44,0.9,37,100
2014-04-08,139,«·∂»Œ€»æ,105,228,37,1.1,41,160
2014-04-09,139,«·∂»Œ€»æ,98,228,30,1.1,25,173
2014-04-10,151,÷–∂»Œ€»æ,53,252,22,0.6,34,127
2014-04-11,124,«·∂»Œ€»æ,94,184,32,1.6,58,61
2014-04-12,149,«·∂»Œ€»æ,114,178,47,1.1,55,86
2014-04-13,152,÷–∂»Œ€»æ,117,172,24,1,43,144
2014-04-14,99,¡º,74,142,23,0.7,26,139
2014-04-15,114,«·∂»Œ€»æ,86,157,28,0.7,29,104
2014-04-16,114,«·∂»Œ€»æ,69,179,47,0.9,48,131
2014-04-17,178,÷–∂»Œ€»æ,135,202,28,1.3,49,89
2014-04-18,231,÷ÿ∂»Œ€»æ,181,243,21,1.5,52,78
2014-04-19,85,¡º,63,119,27,0.6,40,90
2014-04-20,179,÷–∂»Œ€»æ,136,242,42,1.1,69,92
2014-04-21,212,÷ÿ∂»Œ€»æ,162,270,36,1.2,57,130
2014-04-22,112,«·∂»Œ€»æ,84,146,24,0.9,30,132
2014-04-23,107,«·∂»Œ€»æ,76,164,18,0.7,16,141
2014-04-24,109,«·∂»Œ€»æ,75,140,31,0.8,30,170
2014-04-25,107,«·∂»Œ€»æ,81,141,39,0.9,33,160
2014-04-26,82,¡º,39,114,10,0.4,18,75
2014-04-27,96,¡º,68,143,27,0.8,37,121
2014-04-28,99,¡º,71,148,29,0.7,35,137
2014-04-29,110,«·∂»Œ€»æ,77,170,27,0.7,22,159
2014-04-30,111,«·∂»Œ€»æ,73,172,29,0.7,20,163
2014-05-01,155,÷–∂»Œ€»æ,106,260,30,0.8,18,150
2014-05-02,79,¡º,23,108,11,0.3,17,116
2014-05-03,130,«·∂»Œ€»æ,35,211,24,0.5,27,128
2014-05-04,90,¡º,27,130,16,0.4,26,97
2014-05-05,98,¡º,49,145,55,1,42,111
2014-05-06,136,«·∂»Œ€»æ,51,222,27,0.6,14,150
2014-05-07,121,«·∂»Œ€»æ,76,191,24,0.9,30,157
2014-05-08,103,«·∂»Œ€»æ,69,155,42,0.9,26,156
2014-05-09,112,«·∂»Œ€»æ,70,174,62,0.9,41,173
2014-05-10,117,«·∂»Œ€»æ,79,183,49,0.9,52,139
2014-05-11,62,¡º,24,38,7,0.6,19,114
2014-05-12,98,¡º,44,128,28,0.8,30,158
2014-05-13,111,«·∂»Œ€»æ,55,153,28,0.6,35,172
2014-05-14,109,«·∂»Œ€»æ,44,168,21,0.5,46,117
2014-05-15,133,«·∂»Œ€»æ,47,216,46,0.9,38,143
2014-05-16,147,«·∂»Œ€»æ,67,243,43,1.1,48,191
2014-05-17,122,«·∂»Œ€»æ,70,191,46,0.8,40,184
2014-05-18,166,÷–∂»Œ€»æ,71,204,47,0.8,50,231
2014-05-19,152,÷–∂»Œ€»æ,93,253,36,0.9,30,196
2014-05-20,182,÷–∂»Œ€»æ,125,266,36,1.1,34,247
2014-05-21,173,÷–∂»Œ€»æ,130,285,54,1.2,38,238
2014-05-22,174,÷–∂»Œ€»æ,78,200,23,0.7,35,239
