»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,110,«·∂»Œ€»æ,83,170,35,0.8,52,112
2015-01-01,101,«·∂»Œ€»æ,62,152,38,0.7,40,60
2015-01-02,92,¡º,68,132,51,0.8,51,55
2015-01-03,176,÷–∂»Œ€»æ,133,226,92,1.7,80,33
2015-01-04,135,«·∂»Œ€»æ,103,188,53,1.3,39,80
2015-01-05,166,÷–∂»Œ€»æ,127,190,53,1.8,44,60
2015-01-06,157,÷–∂»Œ€»æ,120,143,39,1.3,21,44
2015-01-07,110,«·∂»Œ€»æ,83,111,24,1.3,25,56
2015-01-08,146,«·∂»Œ€»æ,112,154,57,1.5,39,64
2015-01-09,182,÷–∂»Œ€»æ,138,185,54,1.5,45,57
2015-01-10,92,¡º,69,96,23,1,35,56
2015-01-11,86,¡º,64,85,30,1,40,32
2015-01-12,107,«·∂»Œ€»æ,81,102,25,1,38,30
2015-01-13,132,«·∂»Œ€»æ,101,126,24,1,32,32
2015-01-14,126,«·∂»Œ€»æ,95,131,27,1.1,35,77
2015-01-15,110,«·∂»Œ€»æ,83,119,39,1.1,45,87
2015-01-16,173,÷–∂»Œ€»æ,131,170,47,1.3,49,71
2015-01-17,206,÷ÿ∂»Œ€»æ,156,212,48,1.3,56,74
2015-01-18,138,«·∂»Œ€»æ,105,154,41,1.1,50,93
2015-01-19,147,«·∂»Œ€»æ,113,177,47,1.4,62,112
2015-01-20,161,÷–∂»Œ€»æ,123,183,51,1.7,71,51
2015-01-21,173,÷–∂»Œ€»æ,131,186,58,1.6,56,85
2015-01-22,134,«·∂»Œ€»æ,102,172,64,1.2,60,105
2015-01-23,144,«·∂»Œ€»æ,110,183,52,1.5,74,84
2015-01-24,103,«·∂»Œ€»æ,78,141,37,1.1,66,70
2015-01-25,204,÷ÿ∂»Œ€»æ,154,175,31,1.4,45,21
2015-01-26,278,÷ÿ∂»Œ€»æ,228,291,27,2,42,9
2015-01-27,119,«·∂»Œ€»æ,90,123,24,1.9,36,31
2015-01-28,20,”≈,11,20,11,1.2,28,19
2015-01-29,26,”≈,18,23,16,0.9,24,20
2015-01-30,97,¡º,72,76,16,0.8,27,23
2015-01-31,73,¡º,54,64,15,1,30,32
2015-02-01,107,«·∂»Œ€»æ,80,92,17,1.1,29,27
2015-02-02,96,¡º,72,87,28,1.3,37,23
2015-02-03,54,¡º,38,49,22,1.4,34,11
2015-02-04,185,÷–∂»Œ€»æ,139,174,44,1.6,46,69
2015-02-05,216,÷ÿ∂»Œ€»æ,166,226,54,1.9,66,67
2015-02-06,183,÷–∂»Œ€»æ,138,200,48,1.9,62,111
2015-02-07,181,÷–∂»Œ€»æ,137,202,53,1.8,72,61
2015-02-08,171,÷–∂»Œ€»æ,130,189,48,1.6,58,117
2015-02-09,139,«·∂»Œ€»æ,106,166,45,1.4,51,102
2015-02-10,194,÷–∂»Œ€»æ,146,223,57,1.8,71,59
2015-02-11,202,÷ÿ∂»Œ€»æ,152,218,44,1.7,56,110
2015-02-12,183,÷–∂»Œ€»æ,138,212,37,1.9,60,126
2015-02-13,139,«·∂»Œ€»æ,106,165,27,1.6,58,117
2015-02-14,129,«·∂»Œ€»æ,98,135,21,1.4,48,75
2015-02-15,61,¡º,44,67,16,1.2,29,88
2015-02-16,102,«·∂»Œ€»æ,76,98,22,1.2,23,106
2015-02-17,103,«·∂»Œ€»æ,77,149,25,1.3,36,132
2015-02-18,128,«·∂»Œ€»æ,97,133,17,1.3,25,71
2015-02-19,206,÷ÿ∂»Œ€»æ,156,193,21,1.2,15,60
2015-02-20,88,¡º,65,91,9,1,12,32
2015-02-21,39,”≈,27,38,8,0.9,17,37
2015-02-22,76,¡º,56,68,16,0.9,18,59
2015-02-23,64,¡º,46,62,10,1,18,62
2015-02-24,61,¡º,44,61,11,1.3,21,42
2015-02-25,45,”≈,31,44,11,1.3,23,29
2015-02-26,42,”≈,28,42,21,1.1,23,31
2015-02-27,24,”≈,14,24,15,1,21,14
2015-02-28,24,”≈,13,17,3,0.7,17,47
2015-03-01,64,¡º,46,57,10,0.7,20,82
2015-03-02,55,¡º,39,52,14,0.8,25,60
2015-03-03,67,¡º,48,62,15,1.1,33,37
2015-03-04,84,¡º,54,118,23,1,33,61
2015-03-05,68,¡º,49,71,12,0.8,22,55
2015-03-06,62,¡º,45,54,12,0.8,28,49
2015-03-07,64,¡º,46,61,16,1,31,32
2015-03-08,35,”≈,25,35,11,1.3,31,23
2015-03-09,59,¡º,42,59,19,1.3,34,59
2015-03-10,140,«·∂»Œ€»æ,107,138,25,1.3,39,40
2015-03-11,87,¡º,65,86,13,1.1,35,27
2015-03-12,69,¡º,50,88,24,1.1,31,64
2015-03-13,57,¡º,41,64,26,1.3,41,34
2015-03-14,56,¡º,40,52,13,1.5,35,22
2015-03-15,69,¡º,50,58,13,1.3,33,23
2015-03-16,53,¡º,37,55,19,1.5,38,38
2015-03-17,66,¡º,48,77,35,1.9,41,47
2015-03-18,42,”≈,26,42,18,1.3,24,39
2015-03-19,68,¡º,49,69,15,1.2,27,49
2015-03-20,48,”≈,29,48,9,1.2,26,39
2015-03-21,60,¡º,43,65,20,1.2,35,61
2015-03-22,97,¡º,73,110,26,1.5,50,35
2015-03-23,58,¡º,42,61,15,1.3,39,59
