»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,137,«·∂»Œ€»æ,104,162,84,1.6,73,73
2013-12-03,151,÷–∂»Œ€»æ,116,143,68,1.4,69,70
2013-12-04,188,÷–∂»Œ€»æ,142,170,85,1.2,74,69
2013-12-05,292,÷ÿ∂»Œ€»æ,242,127,70,1.8,87,86
2013-12-06,218,÷ÿ∂»Œ€»æ,168,88,85,1.5,84,79
2013-12-08,324,—œ÷ÿŒ€»æ,274,32,40,1.8,63,65
2013-12-09,243,÷ÿ∂»Œ€»æ,193,214,62,1.5,54,54
2013-12-10,138,«·∂»Œ€»æ,106,140,46,1.1,53,63
2013-12-11,150,«·∂»Œ€»æ,115,136,56,1.1,58,52
2013-12-12,184,÷–∂»Œ€»æ,139,178,80,1.2,72,38
2013-12-13,187,÷–∂»Œ€»æ,141,153,48,1.2,54,54
2013-12-14,251,÷ÿ∂»Œ€»æ,201,242,94,1.6,93,35
2013-12-15,211,÷ÿ∂»Œ€»æ,161,209,54,1.2,74,24
2013-12-16,41,”≈,29,39,9,0.6,28,53
2013-12-17,22,”≈,16,14,13,0.5,41,22
2013-12-18,46,”≈,32,41,21,0.6,39,42
2013-12-19,101,«·∂»Œ€»æ,76,82,27,0.8,40,40
2013-12-20,189,÷–∂»Œ€»æ,142,149,41,1.1,45,72
2013-12-21,206,÷ÿ∂»Œ€»æ,156,171,62,1.2,56,57
2013-12-22,151,÷–∂»Œ€»æ,116,134,75,1,67,44
2013-12-23,196,÷–∂»Œ€»æ,148,149,62,1,64,49
2013-12-24,201,÷ÿ∂»Œ€»æ,151,145,75,1,68,57
2013-12-25,226,÷ÿ∂»Œ€»æ,176,177,77,1.3,72,61
2013-12-26,267,÷ÿ∂»Œ€»æ,217,234,149,2.5,77,45
2013-12-27,151,÷–∂»Œ€»æ,116,150,49,0.9,46,50
2013-12-28,114,«·∂»Œ€»æ,86,120,68,1.1,55,46
2013-12-29,126,«·∂»Œ€»æ,96,123,75,1.2,59,48
2013-12-30,112,«·∂»Œ€»æ,85,105,67,1,57,69
2013-12-31,118,«·∂»Œ€»æ,89,89,76,0.8,53,81
2014-01-01,145,«·∂»Œ€»æ,111,138,92,1.4,72,65
2014-01-02,155,÷–∂»Œ€»æ,119,165,63,1.2,76,52
2014-01-03,172,÷–∂»Œ€»æ,131,161,91,1.2,71,78
2014-01-04,203,÷ÿ∂»Œ€»æ,153,183,88,1.3,79,66
2014-01-05,290,÷ÿ∂»Œ€»æ,240,265,85,1.7,81,80
2014-01-06,212,÷ÿ∂»Œ€»æ,162,194,73,1.2,67,97
2014-01-07,185,÷–∂»Œ€»æ,139,163,41,1.2,72,60
2014-01-08,78,¡º,58,71,22,1.1,48,25
2014-01-09,71,¡º,52,59,19,0.7,35,36
2014-01-10,94,¡º,70,97,25,0.7,38,53
2014-01-11,86,¡º,64,93,14,0.6,43,41
2014-01-12,60,¡º,43,45,26,0.7,47,28
2014-01-13,160,÷–∂»Œ€»æ,122,26,36,0.9,46,61
2014-01-14,183,÷–∂»Œ€»æ,138,76,35,0.9,47,69
2014-01-15,121,«·∂»Œ€»æ,92,163,35,0.7,52,65
2014-01-16,137,«·∂»Œ€»æ,104,154,41,0.8,68,64
2014-01-17,184,÷–∂»Œ€»æ,139,87,46,1.3,79,45
2014-01-18,222,÷ÿ∂»Œ€»æ,172,8,46,1.1,57,91
2014-01-19,261,÷ÿ∂»Œ€»æ,211,21,45,1.4,70,84
2014-01-20,183,÷–∂»Œ€»æ,138,115,35,1.3,78,78
2014-01-21,96,¡º,71,107,32,0.7,56,42
2014-01-22,88,¡º,65,54,27,0.7,50,55
2014-01-23,120,«·∂»Œ€»æ,91,26,31,0.9,62,53
2014-01-24,128,«·∂»Œ€»æ,97,44,37,1.2,64,52
2014-01-25,145,«·∂»Œ€»æ,111,44,29,1.1,65,53
