日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,69,良,43,87,19,0.9,33,85
2015-01-01,67,良,43,83,19,0.9,24,102
2015-01-02,71,良,50,92,19,0.9,26,106
2015-01-03,81,良,60,107,18,1,28,96
2015-01-04,91,良,68,117,20,1.1,34,74
2015-01-05,93,良,69,104,21,1.4,32,71
2015-01-06,66,良,47,56,23,1.1,25,82
2015-01-07,60,良,43,54,24,1,26,86
2015-01-08,60,良,43,64,22,1,27,53
2015-01-09,40,优,25,40,15,0.7,14,34
2015-01-10,41,优,24,41,11,1,14,36
2015-01-11,45,优,31,45,11,0.9,13,76
2015-01-12,52,良,36,53,11,0.8,16,68
2015-01-13,69,良,50,75,14,1,21,63
2015-01-14,67,良,49,77,10,0.9,23,52
2015-01-15,82,良,61,99,12,1.1,31,65
2015-01-16,81,良,59,108,13,1.2,35,102
2015-01-17,83,良,61,93,12,1.1,32,45
2015-01-18,69,良,50,81,13,0.9,26,48
2015-01-19,57,良,40,62,15,0.9,23,27
2015-01-20,46,优,26,46,14,0.8,18,68
2015-01-21,58,良,31,67,13,0.8,19,75
2015-01-22,61,良,20,71,13,0.9,25,71
2015-01-23,60,良,35,69,13,0.9,26,80
2015-01-24,68,良,42,86,15,0.9,31,82
2015-01-25,69,良,40,88,16,1,31,97
2015-01-26,69,良,40,89,16,0.9,30,96
2015-01-27,74,良,46,97,15,1.1,30,96
2015-01-28,82,良,53,114,16,1,36,107
2015-01-29,82,良,54,114,15,1.1,36,114
2015-01-30,86,良,57,122,15,1.1,36,115
2015-01-31,85,良,63,116,16,1,30,122
2015-02-01,99,良,75,127,16,1,26,111
2015-02-02,102,轻度污染,77,116,14,1,26,94
2015-02-03,76,良,56,103,16,0.9,26,97
2015-02-04,75,良,54,100,17,0.9,29,100
2015-02-05,82,良,53,114,23,1,33,92
2015-02-06,80,良,59,105,15,0.8,28,103
2015-02-07,86,良,64,106,15,0.9,28,108
2015-02-08,81,良,60,105,14,0.8,29,116
2015-02-09,93,良,69,113,15,1,30,103
2015-02-10,75,良,55,99,13,0.9,29,108
2015-02-11,65,良,41,79,18,1,29,114
2015-02-12,69,良,47,86,7,1,27,123
2015-02-13,74,良,54,95,10,1.2,28,105
2015-02-14,66,良,36,76,7,1.1,28,119
2015-02-15,60,良,33,65,7,1,25,112
2015-02-16,70,良,51,90,10,1.1,32,102
2015-02-17,80,良,59,95,11,1.1,27,111
2015-02-18,86,良,64,107,20,1,21,119
2015-02-19,187,中度污染,141,139,31,0.8,17,117
2015-02-20,133,轻度污染,101,92,14,1,28,120
2015-02-21,67,良,44,83,13,0.9,22,113
2015-02-22,67,良,42,84,13,0.9,25,115
2015-02-23,66,良,42,81,13,0.9,23,115
2015-02-24,69,良,35,71,13,0.8,23,123
2015-02-25,73,良,38,77,13,0.9,25,127
2015-02-26,94,良,46,85,24,1.1,22,153
2015-02-27,94,良,48,87,9,1,35,153
2015-02-28,89,良,50,97,11,1.2,42,147
2015-03-01,93,良,53,97,17,1,33,151
2015-03-02,83,良,48,89,17,0.9,27,139
2015-03-03,79,良,51,96,18,0.9,32,135
2015-03-04,72,良,48,93,18,0.9,32,115
2015-03-05,70,良,46,91,19,0.8,28,111
2015-03-06,89,良,42,79,19,0.8,29,147
2015-03-07,105,轻度污染,62,107,20,1.1,32,165
2015-03-08,107,轻度污染,75,124,21,1.2,30,168
2015-03-09,110,轻度污染,83,146,23,1.4,40,156
2015-03-10,110,轻度污染,83,148,25,1.4,39,154
2015-03-11,120,轻度污染,84,191,24,2.1,46,167
2015-03-12,163,中度污染,124,186,21,1.4,49,175
2015-03-13,149,轻度污染,114,157,10,1.6,59,160
2015-03-14,109,轻度污染,75,168,12,2,65,148
2015-03-15,106,轻度污染,71,162,9,1.8,56,150
2015-03-16,96,良,57,143,8,1.7,61,148
2015-03-17,93,良,58,135,14,1.5,55,137
2015-03-18,103,轻度污染,77,142,18,1.4,56,157
2015-03-19,115,轻度污染,87,150,19,1.6,47,172
2015-03-20,117,轻度污染,88,154,21,1.5,48,171
2015-03-21,132,轻度污染,100,178,22,1.6,50,134
2015-03-22,158,中度污染,120,200,22,1.8,41,110
2015-03-23,137,轻度污染,105,177,27,2.2,38,123
2015-03-24,70,良,45,89,10,1.5,30,92
2015-03-25,58,良,41,62,3,0.9,26,68
2015-03-26,46,优,23,46,4,0.8,20,90
2015-03-27,49,优,19,37,7,0.8,25,98
2015-03-28,55,良,21,60,6,1.2,29,96
2015-03-29,57,良,23,64,6,1.2,33,104
2015-03-30,68,良,29,87,5,1.2,35,117
2015-03-31,82,良,42,115,7,1.6,41,117
2015-04-01,91,良,54,133,7,1.7,49,130
2015-04-02,90,良,49,130,8,1.7,50,133
2015-04-03,64,良,27,77,8,0.9,29,111
2015-04-04,76,良,40,102,19,0.7,32,130
2015-04-05,106,轻度污染,55,124,23,0.9,35,167
2015-04-06,94,良,66,138,24,1.1,33,150
2015-04-07,98,良,35,80,23,0.9,27,157
2015-04-08,85,良,45,121,24,1.1,36,113
2015-04-09,72,良,42,95,21,1.1,26,125
2015-04-10,50,优,24,50,19,0.8,16,89
2015-04-11,52,良,20,54,18,0.9,21,86
2015-04-12,64,良,28,78,14,0.8,23,71
2015-04-13,63,良,20,55,14,0.6,18,115
2015-04-14,62,良,24,66,16,0.6,22,114
2015-04-15,67,良,25,73,18,0.6,21,120
2015-04-16,81,良,34,93,20,0.7,24,137
2015-04-17,83,良,25,101,14,0.9,29,140
2015-04-18,69,良,10,78,6,1,27,123
2015-04-19,60,良,19,71,16,0.6,17,103
2015-04-20,71,良,24,81,20,0.6,25,125
2015-04-21,72,良,25,94,20,0.7,27,112
2015-04-22,51,良,16,46,17,0.5,18,101
2015-04-23,55,良,18,48,15,0.5,20,106
2015-04-24,53,良,21,56,19,0.7,26,78
2015-04-25,60,良,25,69,15,0.9,31,40
2015-04-26,51,良,17,51,14,0.7,19,98
2015-04-27,58,良,15,47,11,0.6,19,110
2015-04-28,46,优,17,46,12,0.5,16,78
2015-04-29,48,优,12,48,11,0.5,17,87
2015-04-30,53,良,16,53,12,0.6,22,103
2015-05-01,63,良,24,75,12,0.6,25,116
2015-05-02,68,良,30,86,14,0.6,26,122
2015-05-03,77,良,28,100,16,0.4,24,132
2015-05-04,105,轻度污染,40,111,16,0.6,28,165
2015-05-05,108,轻度污染,38,107,14,0.8,35,169
2015-05-06,120,轻度污染,42,118,18,0.9,37,182
2015-05-07,134,轻度污染,40,111,14,0.8,32,197
2015-05-08,115,轻度污染,41,109,15,0.8,25,177
2015-05-09,83,良,30,81,13,0.7,22,140
2015-05-10,83,良,32,94,15,0.7,29,140
2015-05-11,90,良,34,97,13,0.7,22,148
2015-05-12,62,良,27,75,10,0.7,20,112
2015-05-13,76,良,22,64,7,0.7,21,131
2015-05-14,67,良,31,84,11,0.9,25,102
2015-05-15,66,良,30,82,11,0.8,25,113
2015-05-16,64,良,28,78,12,0.7,17,105
2015-05-17,50,优,20,50,10,0.6,11,91
2015-05-18,50,优,18,51,10,0.7,21,73
2015-05-19,36,优,18,36,9,0.6,15,47
2015-05-20,27,优,15,27,8,0.5,9,49
2015-05-21,29,优,17,29,14,0.6,11,44
2015-05-22,36,优,18,28,10,0.6,11,71
2015-05-23,33,优,18,30,7,0.6,11,65
2015-05-24,42,优,13,32,6,0.5,10,83
2015-05-25,59,良,13,47,14,0.5,14,111
2015-05-26,63,良,31,77,6,0.8,18,114
2015-05-27,63,良,27,77,7,0.7,21,97
2015-05-28,57,良,14,65,6,0.7,22,76
2015-05-29,60,良,23,69,10,0.6,17,91
2015-05-30,69,良,31,79,12,0.6,18,123
2015-05-31,53,良,28,56,12,0.5,13,87
2015-06-01,49,优,23,47,12,0.5,14,98
2015-06-02,55,良,26,59,13,0.6,12,87
2015-06-03,54,良,25,57,18,0.6,13,100
2015-06-04,44,优,25,44,10,0.5,7,87
2015-06-05,53,良,22,49,27,0.6,9,103
2015-06-06,49,优,25,42,11,0.7,14,98
2015-06-07,44,优,24,44,11,0.7,17,58
2015-06-08,35,优,22,35,10,0.6,11,59
2015-06-09,30,优,16,30,8,0.7,12,54
2015-06-10,35,优,18,35,14,0.7,11,50
2015-06-11,42,优,24,42,10,0.6,14,56
2015-06-12,27,优,14,27,6,0.5,10,36
2015-06-13,37,优,18,37,9,0.6,9,42
2015-06-14,36,优,21,36,10,0.7,16,44
2015-06-15,29,优,17,29,14,0.6,12,33
