»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,102,«·∂»Œ€»æ,0,154,121,0,34,0
2013-12-02,107,«·∂»Œ€»æ,0,164,77,0,62,0
2013-12-03,130,«·∂»Œ€»æ,0,209,191,0,68,0
2013-12-04,92,¡º,0,133,113,0,46,0
2013-12-05,86,¡º,0,121,111,0,51,0
2013-12-06,97,¡º,0,143,90,0,48,0
2013-12-07,109,«·∂»Œ€»æ,0,168,69,0,51,0
2013-12-08,133,«·∂»Œ€»æ,0,215,46,0,45,0
2013-12-09,77,¡º,0,104,101,0,42,0
2013-12-10,98,¡º,0,146,82,0,44,0
2013-12-11,72,¡º,0,93,83,1.5,35,48
2013-12-12,83,¡º,0,115,111,1,41,47
2013-12-13,122,«·∂»Œ€»æ,0,193,137,1.7,57,28
2013-12-14,153,÷–∂»Œ€»æ,0,255,162,2.3,73,26
2013-12-15,233,÷ÿ∂»Œ€»æ,0,373,140,2.7,85,22
2013-12-16,309,—œ÷ÿŒ€»æ,0,427,85,2.8,82,22
2013-12-17,314,—œ÷ÿŒ€»æ,264,291,90,2.7,71,16
2013-12-18,195,÷–∂»Œ€»æ,146,147,97,1.8,47,22
2013-12-19,272,÷ÿ∂»Œ€»æ,222,253,86,1.9,57,15
2013-12-20,353,—œ÷ÿŒ€»æ,303,384,90,3.5,79,13
2013-12-21,349,—œ÷ÿŒ€»æ,299,332,124,3,79,16
2013-12-22,296,÷ÿ∂»Œ€»æ,246,247,114,2.1,72,29
2013-12-23,304,—œ÷ÿŒ€»æ,254,281,107,3.2,84,36
2013-12-24,322,—œ÷ÿŒ€»æ,272,270,94,3,76,54
2013-12-25,360,—œ÷ÿŒ€»æ,310,316,120,2.6,82,41
2013-12-26,145,«·∂»Œ€»æ,111,145,91,1.6,53,32
2013-12-27,77,¡º,56,60,72,1,39,51
2013-12-28,74,¡º,47,67,98,1,45,47
2013-12-29,80,¡º,59,78,78,0.4,56,61
2013-12-30,68,¡º,47,85,78,1.2,43,65
2013-12-31,78,¡º,42,106,68,0,42,54
2014-01-01,69,¡º,46,87,79,1.1,46,56
2014-01-02,189,÷–∂»Œ€»æ,142,207,213,3,82,21
2014-01-03,24,”≈,0,0,0,0,0,47
2014-01-04,135,«·∂»Œ€»æ,103,166,110,2.1,65,48
2014-01-05,199,÷–∂»Œ€»æ,149,211,128,2.4,69,42
2014-01-06,343,—œ÷ÿŒ€»æ,293,264,130,2.8,79,27
2014-01-07,263,÷ÿ∂»Œ€»æ,213,228,204,2.8,98,14
2014-01-08,145,«·∂»Œ€»æ,111,106,119,2.7,62,28
2014-01-09,165,÷–∂»Œ€»æ,125,134,80,2.4,59,50
2014-01-10,186,÷–∂»Œ€»æ,140,136,50,2.2,51,33
2014-01-11,195,÷–∂»Œ€»æ,146,151,57,2.4,52,62
2014-01-12,156,÷–∂»Œ€»æ,119,174,134,2.8,70,34
2014-01-13,175,÷–∂»Œ€»æ,132,176,82,2.7,62,44
2014-01-14,220,÷ÿ∂»Œ€»æ,170,184,28,2.3,45,29
2014-01-15,211,÷ÿ∂»Œ€»æ,161,164,47,2.2,49,42
2014-01-16,267,÷ÿ∂»Œ€»æ,217,243,93,3,77,32
2014-01-17,346,—œ÷ÿŒ€»æ,296,361,147,4.5,102,30
2014-01-18,305,—œ÷ÿŒ€»æ,255,279,104,3.4,69,75
2014-01-19,195,÷–∂»Œ€»æ,146,182,86,2.3,49,45
2014-01-20,60,¡º,29,69,55,1.7,39,70
2014-01-21,72,¡º,52,81,50,2,52,62
2014-01-22,102,«·∂»Œ€»æ,76,127,47,2.1,53,84
2014-01-23,156,÷–∂»Œ€»æ,119,155,72,3.3,71,87
2014-01-24,239,÷ÿ∂»Œ€»æ,189,243,152,4,101,22
2014-01-25,148,«·∂»Œ€»æ,113,146,126,3.3,69,66
2014-01-26,80,¡º,59,76,48,2.2,44,56
2014-01-27,135,«·∂»Œ€»æ,103,132,49,2.7,51,81
2014-01-28,199,÷–∂»Œ€»æ,149,185,84,3.5,64,62
2014-01-29,201,÷ÿ∂»Œ€»æ,151,176,47,3,41,108
2014-01-30,260,÷ÿ∂»Œ€»æ,210,230,56,3.1,54,94
2014-01-31,238,÷ÿ∂»Œ€»æ,188,303,16,3.7,35,14
2014-02-01,234,÷ÿ∂»Œ€»æ,184,214,81,4.1,57,37
2014-02-02,248,÷ÿ∂»Œ€»æ,198,215,36,4.2,45,46
2014-02-03,110,«·∂»Œ€»æ,83,82,36,2.8,28,57
2014-02-04,56,¡º,39,0,25,2.2,24,53
2014-02-05,62,¡º,44,34,23,2.3,22,48
2014-02-06,94,¡º,70,60,52,2.7,27,50
2014-02-07,127,«·∂»Œ€»æ,96,99,79,3.1,34,77
2014-02-08,165,÷–∂»Œ€»æ,125,127,83,3.1,30,87
2014-02-09,92,¡º,68,58,65,2.8,24,70
2014-02-10,63,¡º,28,27,37,2.5,25,77
2014-02-11,79,¡º,58,74,31,2.7,39,89
2014-02-12,122,«·∂»Œ€»æ,92,105,46,2.9,36,104
2014-02-13,214,÷ÿ∂»Œ€»æ,164,187,124,3.7,56,69
2014-02-14,264,÷ÿ∂»Œ€»æ,214,212,62,4,48,52
2014-02-15,158,÷–∂»Œ€»æ,120,134,30,3.4,38,45
2014-02-16,176,÷–∂»Œ€»æ,133,147,24,3.9,48,33
2014-02-17,221,÷ÿ∂»Œ€»æ,171,149,43,4.3,49,28
2014-02-18,74,¡º,54,0,55,2.8,44,51
2014-02-19,179,÷–∂»Œ€»æ,135,0,61,2.9,65,45
2014-02-20,247,÷ÿ∂»Œ€»æ,197,0,35,3.1,56,60
2014-02-21,138,«·∂»Œ€»æ,105,0,27,2.6,53,60
2014-02-22,204,÷ÿ∂»Œ€»æ,154,0,28,2.9,54,61
2014-02-23,250,÷ÿ∂»Œ€»æ,200,0,23,3,50,43
2014-02-24,215,÷ÿ∂»Œ€»æ,165,0,18,2.9,49,60
2014-02-25,274,÷ÿ∂»Œ€»æ,224,0,24,3.7,61,35
2014-02-26,153,÷–∂»Œ€»æ,117,0,20,2.9,44,46
2014-02-27,182,÷–∂»Œ€»æ,137,0,26,3.1,47,48
2014-02-28,104,«·∂»Œ€»æ,78,0,20,2.8,52,27
2014-03-01,226,÷ÿ∂»Œ€»æ,176,0,33,3.2,68,20
2014-03-02,260,÷ÿ∂»Œ€»æ,210,0,21,3.2,62,48
2014-03-03,209,÷ÿ∂»Œ€»æ,159,158,32,3.3,77,92
2014-03-04,280,÷ÿ∂»Œ€»æ,230,290,50,3.5,90,64
2014-03-05,119,«·∂»Œ€»æ,90,0,21,2.1,45,29
2014-03-06,125,«·∂»Œ€»æ,95,128,28,1.8,58,73
2014-03-07,137,«·∂»Œ€»æ,104,0,28,1.1,61,67
2014-03-08,143,«·∂»Œ€»æ,109,151,37,1.3,73,77
2014-03-09,120,«·∂»Œ€»æ,91,151,39,1.2,72,87
2014-03-10,89,¡º,66,113,32,1,61,103
