日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,89,良,66,95,17,1.4,29,68
2015-01-01,110,轻度污染,83,119,21,1.3,28,79
2015-01-02,115,轻度污染,87,138,32,1.4,32,89
2015-01-03,143,轻度污染,109,164,32,1.9,46,94
2015-01-04,183,中度污染,138,184,31,1.9,45,70
2015-01-05,154,中度污染,118,168,19,1.9,45,33
2015-01-06,81,良,60,90,14,1.5,28,24
2015-01-07,93,良,70,76,14,1.6,18,37
2015-01-08,69,良,50,60,14,1.6,18,54
2015-01-09,100,良,75,93,18,1.5,21,54
2015-01-10,56,良,40,43,8,1.4,17,37
2015-01-11,22,优,15,17,6,1,18,34
2015-01-12,20,优,14,14,6,0.8,16,39
2015-01-13,48,优,33,42,9,1,13,53
2015-01-14,70,良,51,61,11,0.8,20,68
2015-01-15,100,良,75,103,17,0.9,26,68
2015-01-16,102,轻度污染,76,111,17,1.1,31,69
2015-01-17,123,轻度污染,93,125,19,1,26,73
2015-01-18,134,轻度污染,102,145,18,1,36,95
2015-01-19,132,轻度污染,100,121,16,0.8,23,80
2015-01-20,184,中度污染,139,201,24,1.5,52,99
2015-01-21,153,中度污染,117,163,16,1.2,61,75
2015-01-22,152,中度污染,117,182,25,1.4,84,73
2015-01-23,121,轻度污染,92,132,25,1.1,61,72
2015-01-24,70,良,50,90,22,0.8,49,62
2015-01-25,89,良,66,109,19,0.9,45,60
2015-01-26,103,轻度污染,77,124,20,1.1,43,44
2015-01-27,103,轻度污染,77,116,15,0.9,36,42
2015-01-28,100,良,75,107,19,1,31,42
2015-01-29,61,良,44,73,11,1.1,30,34
2015-01-30,28,优,19,28,5,0.8,18,22
2015-01-31,61,良,44,54,8,0.8,13,25
2015-02-01,54,良,38,45,7,0.9,16,22
2015-02-02,85,良,63,87,13,1.2,23,43
2015-02-03,106,轻度污染,80,97,10,1.3,22,34
2015-02-04,35,优,25,31,6,1.3,15,32
2015-02-05,130,轻度污染,99,110,15,1.2,18,63
2015-02-06,148,轻度污染,113,138,20,1.3,26,86
2015-02-07,172,中度污染,130,157,24,1.4,29,66
2015-02-08,148,轻度污染,114,148,18,1.2,27,97
2015-02-09,107,轻度污染,81,118,23,1.2,29,131
2015-02-10,169,中度污染,128,160,29,1.2,32,121
2015-02-11,243,重度污染,193,212,14,1.5,30,59
2015-02-12,232,重度污染,182,228,17,2.2,38,119
2015-02-13,206,重度污染,156,201,27,2,43,90
2015-02-14,159,中度污染,121,144,17,1.4,32,67
2015-02-15,108,轻度污染,81,106,16,1.6,26,68
2015-02-16,117,轻度污染,89,128,20,2.2,27,109
2015-02-17,132,轻度污染,100,135,15,1.7,27,104
2015-02-18,119,轻度污染,90,122,16,1.2,19,76
2015-02-19,194,中度污染,146,199,36,0.9,14,69
2015-02-20,73,良,53,82,13,0.8,13,73
2015-02-21,52,良,34,53,7,0.6,12,62
2015-02-22,55,良,39,58,10,0.7,13,46
2015-02-23,57,良,41,56,11,1,15,46
2015-02-24,59,良,42,61,14,1.4,15,69
2015-02-25,48,优,28,48,18,1,14,76
2015-02-26,52,良,36,53,15,1,15,60
2015-02-27,41,优,25,41,18,0.8,14,60
2015-02-28,49,优,30,49,15,0.9,14,47
2015-03-01,36,优,24,34,8,0.9,10,72
2015-03-02,78,良,58,75,10,1,17,68
2015-03-03,41,优,28,39,10,1.2,14,53
2015-03-04,42,优,29,38,10,0.9,14,54
2015-03-05,18,优,13,17,7,1,13,32
