日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,105,轻度污染,79,142,8,2.6,49,89
2015-01-01,115,轻度污染,87,152,18,3.6,30,85
2015-01-02,129,轻度污染,98,174,13,3.9,39,80
2015-01-03,131,轻度污染,100,165,10,3.8,45,92
2015-01-04,199,中度污染,149,232,39,2.6,57,85
2015-01-05,128,轻度污染,98,160,16,1.4,43,58
2015-01-06,127,轻度污染,96,125,18,1.1,28,34
2015-01-07,91,良,67,80,20,1.3,21,92
2015-01-08,80,良,59,80,15,1.2,17,110
2015-01-09,115,轻度污染,87,117,26,1.2,19,79
2015-01-10,90,良,67,80,10,1,19,66
2015-01-11,59,良,42,50,7,0.9,18,42
2015-01-12,43,优,30,35,7,0.9,16,37
2015-01-13,52,良,36,53,13,1,18,42
2015-01-14,70,良,51,74,9,1,17,65
2015-01-15,89,良,67,95,22,1.1,24,65
2015-01-16,83,良,61,96,42,1.1,28,78
2015-01-17,122,轻度污染,93,125,31,1.2,21,91
2015-01-18,149,轻度污染,114,158,22,1.5,20,74
2015-01-19,113,轻度污染,85,132,14,1.5,27,127
2015-01-20,134,轻度污染,102,163,18,1.4,44,97
2015-01-21,140,轻度污染,107,150,27,1.2,33,101
2015-01-22,109,轻度污染,82,122,16,1.1,37,120
2015-01-23,106,轻度污染,80,128,18,1,34,100
2015-01-24,98,良,74,135,24,0.8,29,77
2015-01-25,117,轻度污染,89,119,17,1,33,96
2015-01-26,166,中度污染,126,174,50,1.2,38,73
2015-01-27,167,中度污染,127,159,20,1.5,27,45
2015-01-28,66,良,48,64,19,1.7,21,21
2015-01-29,30,优,20,30,7,1.1,19,7
2015-01-30,33,优,17,33,5,1.3,10,12
2015-01-31,50,优,25,50,4,1.4,10,13
2015-02-01,50,优,29,51,8,1.2,15,13
2015-02-02,65,良,42,80,11,1.4,19,27
2015-02-03,57,良,39,65,17,1.4,21,12
2015-02-04,46,优,32,38,9,1,18,27
2015-02-05,143,轻度污染,110,133,17,1.2,20,55
2015-02-06,156,中度污染,119,158,13,1.3,22,69
2015-02-07,160,中度污染,122,180,9,1.5,32,33
2015-02-08,120,轻度污染,91,133,5,1.3,25,94
2015-02-09,124,轻度污染,95,134,16,1.1,28,78
2015-02-10,162,中度污染,124,173,17,1.4,31,65
