»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,52,¡º,37,50,50,1.5,30,94
2015-01-01,62,¡º,44,75,44,1.4,24,82
2015-01-02,55,¡º,38,60,65,1.4,38,76
2015-01-03,87,¡º,65,101,107,2,63,90
2015-01-04,91,¡º,68,104,94,2,62,100
2015-01-05,100,¡º,75,115,130,2.7,74,51
2015-01-06,90,¡º,67,90,75,2.2,41,43
2015-01-07,53,¡º,38,40,42,2,25,46
2015-01-08,63,¡º,45,54,52,2,23,88
2015-01-09,70,¡º,51,67,65,1.6,32,93
2015-01-10,77,¡º,56,69,51,1.6,29,92
2015-01-11,75,¡º,55,67,47,1.7,28,58
2015-01-12,78,¡º,58,65,37,1.6,21,58
2015-01-13,28,”≈,19,22,22,1.2,18,55
2015-01-14,44,”≈,31,35,27,1.5,20,54
2015-01-15,51,¡º,35,46,44,1.5,25,64
2015-01-16,61,¡º,44,69,42,1.6,30,77
2015-01-17,75,¡º,55,69,52,1.5,31,97
2015-01-18,87,¡º,64,81,65,1.4,27,102
2015-01-19,92,¡º,69,92,67,1.5,38,113
2015-01-20,108,«·∂»Œ€»æ,81,113,87,1.8,55,100
2015-01-21,77,¡º,56,75,59,1.7,27,97
2015-01-22,77,¡º,56,85,70,1.8,42,103
2015-01-23,88,¡º,66,106,71,2,58,101
2015-01-24,90,¡º,67,104,70,2.3,62,63
2015-01-25,93,¡º,70,105,75,2.2,54,59
2015-01-26,78,¡º,58,70,37,1.8,26,43
2015-01-27,99,¡º,74,86,32,2.5,36,38
2015-01-28,26,”≈,18,22,23,2.3,33,13
2015-01-29,22,”≈,15,19,20,1.4,27,18
2015-01-30,25,”≈,17,20,19,1.3,22,27
2015-01-31,47,”≈,33,38,23,1.3,26,25
2015-02-01,63,¡º,45,50,26,1.5,29,29
2015-02-02,84,¡º,62,74,34,1.7,31,30
2015-02-03,51,¡º,36,41,24,1.7,26,38
2015-02-04,42,”≈,30,33,21,1.6,26,33
2015-02-05,82,¡º,60,70,40,1.7,23,96
2015-02-06,92,¡º,69,85,51,1.5,30,112
2015-02-07,95,¡º,71,101,67,1.7,53,68
2015-02-08,82,¡º,61,76,56,1.6,27,126
2015-02-09,92,¡º,69,88,45,1.6,25,114
2015-02-10,80,¡º,59,76,47,1.5,32,99
2015-02-11,88,¡º,65,87,41,1.5,43,101
2015-02-12,99,¡º,74,104,40,1.8,52,121
2015-02-13,96,¡º,72,102,36,1.7,54,103
2015-02-14,86,¡º,64,90,44,1.9,61,57
2015-02-15,71,¡º,52,60,21,1.6,31,70
2015-02-16,58,¡º,42,50,21,1.6,23,64
2015-02-17,63,¡º,46,57,17,1.6,18,72
2015-02-18,98,¡º,73,86,26,1.8,14,67
2015-02-19,101,«·∂»Œ€»æ,76,86,25,1.8,16,52
2015-02-20,73,¡º,54,66,13,1.4,11,82
