»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,102,«·∂»Œ€»æ,12,153,73,0.5,18,27
2014-01-01,64,¡º,26,79,72,0.8,23,29
2014-01-02,93,¡º,66,135,130,1.1,35,24
2014-01-03,64,¡º,35,79,108,0.9,29,23
2014-01-04,117,«·∂»Œ€»æ,88,169,191,1.3,37,7
2014-01-05,98,¡º,74,132,121,0.9,29,15
2014-01-06,182,÷–∂»Œ€»æ,137,237,142,1.2,37,15
2014-01-07,82,¡º,61,106,81,0.6,29,20
2014-01-08,54,¡º,25,57,61,0.4,21,32
2014-01-09,74,¡º,48,97,79,0.6,25,27
2014-01-10,89,¡º,66,124,116,0.7,29,27
2014-01-11,103,«·∂»Œ€»æ,77,138,112,0.7,31,26
2014-01-12,72,¡º,44,94,123,0.6,29,28
2014-01-13,132,«·∂»Œ€»æ,101,175,153,0.9,37,21
2014-01-14,115,«·∂»Œ€»æ,87,149,152,0.9,32,20
2014-01-15,136,«·∂»Œ€»æ,103,174,130,0.8,30,49
2014-01-16,90,¡º,67,122,86,0.5,27,28
2014-01-17,152,÷–∂»Œ€»æ,117,189,138,0.8,36,20
2014-01-18,69,¡º,45,87,133,0.7,30,23
2014-01-19,156,÷–∂»Œ€»æ,77,261,98,0.7,27,30
2014-01-20,74,¡º,12,97,27,0.3,11,30
2014-01-21,68,¡º,46,85,76,0.7,21,26
2014-01-22,137,«·∂»Œ€»æ,104,200,150,1.1,46,17
2014-01-23,173,÷–∂»Œ€»æ,131,241,161,1.1,45,27
2014-01-24,174,÷–∂»Œ€»æ,132,248,143,0.9,41,19
2014-01-25,66,¡º,36,82,76,0.6,22,31
2014-01-26,92,¡º,68,135,103,0.9,26,28
2014-01-27,103,«·∂»Œ€»æ,63,155,63,0.7,23,29
2014-01-28,70,¡º,40,90,80,0.7,21,30
2014-01-29,115,«·∂»Œ€»æ,55,179,58,0.6,22,33
2014-01-30,64,¡º,24,78,71,0.4,15,33
2014-01-31,377,—œ÷ÿŒ€»æ,273,482,205,1.2,33,25
2014-02-01,141,«·∂»Œ€»æ,108,212,122,1,28,25
2014-02-02,101,«·∂»Œ€»æ,41,152,29,0.5,10,34
2014-02-03,52,¡º,10,54,27,0.2,7,33
2014-02-04,65,¡º,44,80,65,0.5,16,32
2014-02-05,103,«·∂»Œ€»æ,77,128,136,0.7,29,20
2014-02-06,61,¡º,33,72,103,0.4,22,22
2014-02-07,70,¡º,44,89,46,0.5,22,16
