»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,109,«·∂»Œ€»æ,21,169,21,1.6,15,41
2015-01-01,43,”≈,23,43,32,1.7,17,37
2015-01-02,52,¡º,34,54,38,2,25,39
2015-01-03,54,¡º,28,58,30,1.8,21,41
2015-01-04,184,÷–∂»Œ€»æ,139,206,81,3.2,59,32
2015-01-05,82,¡º,55,114,41,2.2,30,42
2015-01-06,65,¡º,47,75,66,2.1,34,45
2015-01-07,59,¡º,40,67,64,1.9,35,29
2015-01-08,128,«·∂»Œ€»æ,97,117,84,2.8,49,33
2015-01-09,155,÷–∂»Œ€»æ,118,141,128,3.8,60,18
2015-01-10,98,¡º,74,116,82,2.7,49,16
2015-01-11,95,¡º,71,81,45,1.8,32,34
2015-01-12,131,«·∂»Œ€»æ,100,137,76,2.8,47,29
2015-01-13,56,¡º,34,62,42,2,34,40
2015-01-14,143,«·∂»Œ€»æ,109,139,61,2.4,43,31
2015-01-15,191,÷–∂»Œ€»æ,144,187,92,2.6,50,19
2015-01-16,116,«·∂»Œ€»æ,88,105,60,2.2,39,41
2015-01-17,88,¡º,66,98,104,3,53,30
2015-01-18,70,¡º,51,70,39,2,35,31
2015-01-19,78,¡º,57,68,48,1.9,33,44
2015-01-20,61,¡º,44,53,51,2.1,32,47
2015-01-21,155,÷–∂»Œ€»æ,119,134,89,2.4,48,41
2015-01-22,353,—œ÷ÿŒ€»æ,303,345,136,4.3,96,39
2015-01-23,137,«·∂»Œ€»æ,105,160,97,3.1,57,41
2015-01-24,136,«·∂»Œ€»æ,104,138,105,2.6,47,37
2015-01-25,252,÷ÿ∂»Œ€»æ,202,271,154,4.5,77,23
2015-01-26,112,«·∂»Œ€»æ,84,136,63,2.9,38,43
2015-01-27,55,¡º,39,54,82,2.1,29,39
2015-01-28,117,«·∂»Œ€»æ,89,114,90,3,50,34
2015-01-29,114,«·∂»Œ€»æ,86,124,88,3.1,51,24
2015-01-30,53,¡º,36,55,48,2,25,46
2015-01-31,96,¡º,72,110,101,2.8,46,35
2015-02-01,129,«·∂»Œ€»æ,98,142,102,3.5,59,31
2015-02-02,150,«·∂»Œ€»æ,115,156,113,4,67,28
2015-02-03,248,÷ÿ∂»Œ€»æ,198,253,126,4.5,78,29
2015-02-04,106,«·∂»Œ€»æ,80,109,45,2,30,49
2015-02-05,102,«·∂»Œ€»æ,77,110,83,1.6,38,36
2015-02-06,95,¡º,71,114,72,2.1,54,33
2015-02-07,95,¡º,25,141,22,1,16,52
2015-02-08,55,¡º,20,60,22,0.9,13,47
2015-02-09,85,¡º,63,121,70,1.6,42,43
2015-02-10,102,«·∂»Œ€»æ,77,113,44,1.8,40,45
2015-02-11,88,¡º,65,90,46,1.9,37,57
2015-02-12,57,¡º,41,59,37,1.6,27,52
2015-02-13,75,¡º,55,97,80,2.2,49,39
2015-02-14,190,÷–∂»Œ€»æ,143,201,80,2.4,47,57
2015-02-15,281,÷ÿ∂»Œ€»æ,231,292,86,3.4,73,29
2015-02-16,233,÷ÿ∂»Œ€»æ,183,225,43,3.1,51,51
2015-02-17,70,¡º,51,62,30,1.6,23,50
2015-02-18,92,¡º,69,84,51,2,26,61
2015-02-19,465,—œ÷ÿŒ€»æ,447,462,116,3.1,52,66
2015-02-20,57,¡º,40,57,30,1.7,14,58
2015-02-21,60,¡º,43,53,30,2,22,58
2015-02-23,80,¡º,36,110,22,1.6,12,56
2015-02-24,59,¡º,35,68,31,1.9,20,52
2015-02-25,64,¡º,39,77,19,1.7,13,52
2015-02-26,40,”≈,20,40,22,1.5,7,50
2015-02-27,62,¡º,45,65,71,1.9,29,42
2015-02-28,73,¡º,53,84,52,2.2,34,38
2015-03-01,74,¡º,49,98,44,2.1,25,52
2015-03-02,82,¡º,60,113,51,2.2,36,44
2015-03-03,48,”≈,20,48,25,1.5,14,43
2015-03-04,47,”≈,28,47,19,1.6,14,55
2015-03-05,73,¡º,50,95,56,2.4,33,49
2015-03-06,65,¡º,47,75,26,1.7,14,63
2015-03-07,124,«·∂»Œ€»æ,94,131,41,2,25,68
2015-03-08,84,¡º,63,83,24,1.8,26,58
2015-03-09,64,¡º,18,77,19,1.5,10,49
2015-03-10,52,¡º,24,53,27,1.6,17,54
2015-03-11,53,¡º,34,56,30,1.7,24,53
2015-03-12,73,¡º,53,78,35,1.6,24,69
2015-03-13,76,¡º,56,84,37,1.8,30,57
2015-03-14,84,¡º,62,115,47,2.1,42,53
2015-03-15,81,¡º,48,113,23,1.8,16,60
2015-03-16,78,¡º,58,95,16,2.1,18,60
2015-03-17,62,¡º,45,68,33,1.7,29,69
2015-03-18,112,«·∂»Œ€»æ,85,131,63,2.6,60,63
2015-03-19,117,«·∂»Œ€»æ,89,136,80,2.5,55,50
2015-03-20,131,«·∂»Œ€»æ,100,173,68,2.2,57,64
2015-03-21,122,«·∂»Œ€»æ,78,194,56,2.4,48,71
2015-03-22,131,«·∂»Œ€»æ,23,212,17,1.6,13,59
2015-03-23,68,¡º,44,86,33,1.7,25,67
2015-03-24,113,«·∂»Œ€»æ,86,119,45,2.1,47,68
2015-03-25,84,¡º,62,119,38,2,36,78
2015-03-26,103,«·∂»Œ€»æ,63,156,34,1.8,21,88
2015-03-27,121,«·∂»Œ€»æ,70,145,50,2.3,18,91
2015-03-28,106,«·∂»Œ€»æ,79,117,29,2,16,89
2015-03-29,147,«·∂»Œ€»æ,112,193,35,2.7,30,80
2015-03-30,93,¡º,54,136,17,1.6,12,84
2015-03-31,97,¡º,72,105,24,1.4,29,84
2015-04-01,85,¡º,63,95,27,1.4,37,85
2015-04-02,95,¡º,71,103,20,1.8,47,45
2015-04-03,75,¡º,55,48,11,1.4,15,57
2015-04-10,92,¡º,69,102,22,1.5,19,70
2015-04-11,83,¡º,61,85,18,1.7,20,65
2015-04-12,67,¡º,49,55,17,1.6,18,66
2015-04-13,112,«·∂»Œ€»æ,85,114,25,1.9,43,92
2015-04-14,92,¡º,69,112,36,2.3,47,86
2015-04-15,95,¡º,71,114,26,2.2,27,113
2015-04-16,94,¡º,25,138,13,1.6,17,108
2015-04-17,97,¡º,54,143,52,2.6,48,69
2015-04-18,117,«·∂»Œ€»æ,78,185,35,2.5,47,98
2015-04-19,94,¡º,44,138,22,1.7,25,73
2015-04-20,84,¡º,50,117,37,1.9,45,80
2015-04-21,92,¡º,67,133,36,2.4,35,76
