»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,173,÷–∂»Œ€»æ,131,166,5,1.5,37,38
2015-01-01,270,÷ÿ∂»Œ€»æ,220,281,22,2.6,41,36
2015-01-02,368,—œ÷ÿŒ€»æ,318,396,23,3.6,55,37
2015-01-03,321,—œ÷ÿŒ€»æ,271,341,14,3.1,50,39
2015-01-04,373,—œ÷ÿŒ€»æ,323,415,22,3.1,64,36
2015-01-05,224,÷ÿ∂»Œ€»æ,174,210,21,2.3,41,38
2015-01-06,69,¡º,51,63,8,0.8,34,43
2015-01-07,91,¡º,68,87,9,1.1,30,43
2015-01-08,119,«·∂»Œ€»æ,90,112,9,1.3,39,48
2015-01-09,151,÷–∂»Œ€»æ,116,141,15,1.8,31,30
2015-01-10,198,÷–∂»Œ€»æ,149,194,15,1.9,37,29
2015-01-11,202,÷ÿ∂»Œ€»æ,152,201,18,1.8,49,39
2015-01-12,204,÷ÿ∂»Œ€»æ,154,199,10,1.9,42,38
2015-01-13,191,÷–∂»Œ€»æ,144,192,11,1.6,49,42
2015-01-14,208,÷ÿ∂»Œ€»æ,158,206,12,1.6,49,31
2015-01-15,247,÷ÿ∂»Œ€»æ,197,251,19,1.8,44,32
2015-01-16,224,÷ÿ∂»Œ€»æ,174,217,12,1.8,41,29
2015-01-17,233,÷ÿ∂»Œ€»æ,183,210,12,1.6,46,31
2015-01-18,124,«·∂»Œ€»æ,94,132,20,1.4,43,34
2015-01-19,154,÷–∂»Œ€»æ,118,163,14,1.5,36,28
2015-01-20,191,÷–∂»Œ€»æ,144,202,16,2,39,34
2015-01-21,191,÷–∂»Œ€»æ,144,196,13,1.7,42,33
2015-01-22,161,÷–∂»Œ€»æ,123,171,13,1.5,51,37
2015-01-23,199,÷–∂»Œ€»æ,149,201,35,1.5,58,28
2015-01-24,239,÷ÿ∂»Œ€»æ,189,257,36,2.2,55,36
2015-01-25,228,÷ÿ∂»Œ€»æ,178,219,24,1.9,50,28
2015-01-26,223,÷ÿ∂»Œ€»æ,173,225,21,1.9,43,31
2015-01-27,147,«·∂»Œ€»æ,113,138,11,1.6,35,29
2015-01-28,32,”≈,22,28,13,1.2,24,27
2015-01-29,53,¡º,37,49,24,0.9,29,30
2015-01-30,93,¡º,70,85,28,1.2,45,27
2015-01-31,97,¡º,72,93,32,1,38,38
