»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,55,¡º,32,60,47,2.5,22,76
2015-01-01,86,¡º,64,107,103,3.2,27,60
2015-01-02,153,÷–∂»Œ€»æ,117,187,102,3.9,34,46
2015-01-03,204,÷ÿ∂»Œ€»æ,154,243,146,4.7,42,50
2015-01-04,284,÷ÿ∂»Œ€»æ,234,344,147,5.6,53,46
2015-01-05,197,÷–∂»Œ€»æ,148,238,84,4.4,34,63
2015-01-06,77,¡º,46,104,47,3.2,22,59
2015-01-07,74,¡º,54,98,48,3.2,23,72
2015-01-08,168,÷–∂»Œ€»æ,128,203,74,4.5,32,65
2015-01-09,198,÷–∂»Œ€»æ,149,249,103,4.5,37,61
2015-01-10,222,÷ÿ∂»Œ€»æ,172,269,121,5.1,42,64
2015-01-11,265,÷ÿ∂»Œ€»æ,215,320,115,5.8,38,70
2015-01-12,125,«·∂»Œ€»æ,95,170,41,3.5,20,79
2015-01-13,107,«·∂»Œ€»æ,81,126,34,3.2,21,73
2015-01-14,195,÷–∂»Œ€»æ,147,223,66,4.1,29,51
2015-01-15,236,÷ÿ∂»Œ€»æ,186,280,78,4.9,34,65
2015-01-16,212,÷ÿ∂»Œ€»æ,162,252,69,4.4,28,77
2015-01-17,86,¡º,64,101,72,3.5,24,70
2015-01-18,64,¡º,44,77,46,3.2,17,86
2015-01-19,107,«·∂»Œ€»æ,80,123,98,4.1,31,62
2015-01-20,111,«·∂»Œ€»æ,84,129,72,3.3,27,70
2015-01-21,49,”≈,23,49,42,2.5,11,81
2015-01-22,59,¡º,41,68,60,2.7,24,70
2015-01-23,113,«·∂»Œ€»æ,85,133,90,3.2,51,68
2015-01-24,88,¡º,66,101,29,2.1,24,72
2015-01-25,167,÷–∂»Œ€»æ,127,175,54,2.5,41,33
2015-01-26,236,÷ÿ∂»Œ€»æ,186,267,72,2.9,57,22
2015-01-27,109,«·∂»Œ€»æ,83,123,22,1.2,25,38
2015-01-28,44,”≈,31,44,21,0.9,16,44
2015-01-29,61,¡º,44,58,28,1,20,41
2015-01-30,66,¡º,48,72,59,1.4,28,43
2015-01-31,123,«·∂»Œ€»æ,93,130,65,1.8,31,43
2015-02-01,92,¡º,69,88,36,1.2,21,57
2015-02-02,93,¡º,70,95,46,1.4,27,50
2015-02-03,150,«·∂»Œ€»æ,115,162,56,2,45,48
2015-02-04,52,¡º,34,54,31,1.1,19,52
2015-02-05,46,”≈,30,46,41,1.3,29,49
2015-02-06,85,¡º,63,94,49,1.7,48,54
2015-02-07,65,¡º,47,71,36,1.2,35,48
2015-02-08,59,¡º,39,68,36,1.2,22,53
2015-02-09,83,¡º,61,94,110,1.5,36,51
2015-02-10,132,«·∂»Œ€»æ,101,156,76,1.9,50,52
2015-02-11,81,¡º,59,112,61,1.3,31,59
2015-02-12,92,¡º,69,130,148,1.9,46,57
2015-02-13,86,¡º,64,111,118,1.8,37,63
2015-02-14,95,¡º,71,111,75,1.7,36,64
2015-02-15,95,¡º,67,140,54,1.5,32,55
2015-02-16,70,¡º,42,91,60,1.4,25,61
2015-02-17,77,¡º,57,101,65,1.7,26,72
2015-02-18,93,¡º,70,120,41,1.5,14,79
2015-02-19,83,¡º,62,86,54,1.5,10,100
2015-02-20,78,¡º,57,66,56,1.6,14,51
2015-02-21,127,«·∂»Œ€»æ,97,113,63,1.9,20,39
