»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,248,÷ÿ∂»Œ€»æ,198,330,74,1.9,79,52
2013-12-03,414,—œ÷ÿŒ€»æ,355,514,80,2.9,106,36
2013-12-04,403,—œ÷ÿŒ€»æ,355,478,95,3.1,102,44
2013-12-05,380,—œ÷ÿŒ€»æ,330,443,57,2.3,71,65
2013-12-06,112,«·∂»Œ€»æ,85,144,44,1.4,53,35
2013-12-07,373,—œ÷ÿŒ€»æ,323,411,26,2.4,68,20
2013-12-08,183,÷–∂»Œ€»æ,138,186,21,1.7,40,52
2013-12-09,162,÷–∂»Œ€»æ,123,195,48,1.6,50,38
2013-12-10,112,«·∂»Œ€»æ,85,155,75,1.5,55,40
2013-12-11,118,«·∂»Œ€»æ,89,169,74,1.4,54,46
2013-12-12,132,«·∂»Œ€»æ,101,195,62,1.4,54,36
2013-12-13,66,¡º,26,83,36,1.1,40,43
2013-12-14,154,÷–∂»Œ€»æ,118,199,47,1.9,62,37
2013-12-15,153,÷–∂»Œ€»æ,117,174,64,1.9,64,49
2013-12-16,136,«·∂»Œ€»æ,104,195,59,2.4,74,27
2013-12-17,86,¡º,63,90,31,1.3,39,49
2013-12-18,101,«·∂»Œ€»æ,76,116,42,1.4,45,41
2013-12-19,207,÷ÿ∂»Œ€»æ,157,231,118,2.2,72,24
2013-12-20,132,«·∂»Œ€»æ,100,148,86,1.7,59,40
2013-12-21,87,¡º,65,109,66,1.6,50,44
2013-12-22,194,÷–∂»Œ€»æ,146,225,72,2.4,67,40
2013-12-23,286,÷ÿ∂»Œ€»æ,236,364,104,3.1,86,22
2013-12-24,278,÷ÿ∂»Œ€»æ,228,364,124,3.3,93,23
2013-12-25,357,—œ÷ÿŒ€»æ,306,465,107,3.6,101,17
2013-12-26,222,÷ÿ∂»Œ€»æ,172,296,86,2.5,62,41
2013-12-27,85,¡º,59,119,76,2,52,40
2013-12-28,186,÷–∂»Œ€»æ,140,243,126,2.6,73,26
2013-12-29,161,÷–∂»Œ€»æ,123,227,118,2.6,66,37
2013-12-30,171,÷–∂»Œ€»æ,130,222,105,2.6,67,33
2013-12-31,156,÷–∂»Œ€»æ,119,258,103,2,67,34
2014-01-01,184,÷–∂»Œ€»æ,134,318,125,2.4,74,32
2014-01-02,218,÷ÿ∂»Œ€»æ,168,324,97,2.7,71,47
2014-01-03,237,÷ÿ∂»Œ€»æ,187,322,102,2.8,86,23
2014-01-04,62,¡º,39,75,36,1.4,37,39
2014-01-05,101,«·∂»Œ€»æ,76,134,38,1.6,46,35
2014-01-06,68,¡º,50,85,35,1.4,34,43
2014-01-07,60,¡º,41,70,26,1,26,65
2014-01-08,100,¡º,75,105,29,1.4,38,54
2014-01-09,66,¡º,46,81,35,1.1,34,48
2014-01-10,124,«·∂»Œ€»æ,94,146,41,1.4,53,46
2014-01-11,157,÷–∂»Œ€»æ,120,176,50,1.6,54,66
2014-01-12,192,÷–∂»Œ€»æ,145,203,60,1.7,60,38
2014-01-13,124,«·∂»Œ€»æ,94,68,33,1.2,35,67
2014-01-14,94,¡º,70,118,41,1.6,52,61
2014-01-15,249,÷ÿ∂»Œ€»æ,199,289,65,2.3,66,60
2014-01-16,184,÷–∂»Œ€»æ,139,190,58,1.9,51,59
2014-01-17,257,÷ÿ∂»Œ€»æ,207,267,51,2.8,71,21
2014-01-18,217,÷ÿ∂»Œ€»æ,167,225,81,2.4,58,46
2014-01-19,271,÷ÿ∂»Œ€»æ,221,285,69,2.5,66,59
2014-01-20,245,÷ÿ∂»Œ€»æ,195,341,74,2.5,58,56
2014-01-21,88,¡º,53,125,78,2,45,34
2014-01-22,112,«·∂»Œ€»æ,84,125,53,1.8,44,43
2014-01-23,151,÷–∂»Œ€»æ,116,139,51,2,50,63
2014-01-24,181,÷–∂»Œ€»æ,137,169,80,2.1,80,54
2014-01-25,121,«·∂»Œ€»æ,92,120,56,1.3,58,67
2014-01-26,44,”≈,17,44,29,0.7,24,65
2014-01-27,70,¡º,51,88,31,1.1,40,53
2014-01-28,91,¡º,68,106,32,1.1,39,60
2014-01-29,61,¡º,43,72,14,0.8,24,57
2014-01-30,265,÷ÿ∂»Œ€»æ,215,249,29,1.7,38,57
2014-01-31,253,÷ÿ∂»Œ€»æ,203,288,18,2,28,45
2014-02-01,121,«·∂»Œ€»æ,92,116,15,2,32,50
2014-02-02,315,—œ÷ÿŒ€»æ,265,339,28,3,51,27
2014-02-03,54,¡º,28,58,18,0.8,19,53
2014-02-04,53,¡º,25,56,30,1.1,22,59
2014-02-05,41,”≈,29,22,10,0.6,14,62
2014-02-06,29,”≈,7,13,9,0.5,13,58
2014-02-07,83,¡º,61,88,21,0.9,28,61
2014-02-08,70,¡º,51,77,33,0.8,23,66
2014-02-09,50,”≈,30,51,24,0.5,16,59
2014-02-10,56,¡º,27,62,41,0.5,20,64
2014-02-11,52,¡º,31,53,43,0.7,28,76
2014-02-12,89,¡º,66,104,51,1,42,87
2014-02-13,151,÷–∂»Œ€»æ,116,155,59,1.3,39,81
2014-02-14,120,«·∂»Œ€»æ,91,141,49,1.1,53,96
2014-02-15,133,«·∂»Œ€»æ,102,164,44,1,38,113
2014-02-16,48,”≈,22,38,17,0.6,26,95
2014-02-17,44,”≈,13,24,14,0.5,13,87
2014-02-18,79,¡º,58,100,37,0.9,35,70
2014-02-19,131,«·∂»Œ€»æ,100,168,45,1.3,64,68
2014-02-20,153,÷–∂»Œ€»æ,117,186,49,1.4,54,65
2014-02-21,165,÷–∂»Œ€»æ,125,151,54,1.2,42,101
2014-02-22,87,¡º,64,101,42,1.2,31,99
2014-02-23,100,¡º,75,115,40,1,33,107
2014-02-24,163,÷–∂»Œ€»æ,124,182,50,1.5,40,98
2014-02-25,167,÷–∂»Œ€»æ,127,159,43,1.4,28,102
2014-02-26,143,«·∂»Œ€»æ,109,148,30,1.2,46,99
2014-02-27,111,«·∂»Œ€»æ,84,136,31,1.2,51,51
2014-02-28,45,”≈,24,45,27,0.5,26,73
2014-03-01,76,¡º,52,102,52,1.1,56,57
2014-03-02,117,«·∂»Œ€»æ,89,172,49,1.3,70,88
2014-03-03,90,¡º,67,122,27,1,38,109
2014-03-04,75,¡º,53,100,30,0.8,27,104
2014-03-05,72,¡º,53,85,31,0.8,30,88
2014-03-06,70,¡º,49,89,29,0.9,39,90
2014-03-07,112,«·∂»Œ€»æ,85,150,39,1,48,94
2014-03-08,76,¡º,56,88,27,0.6,30,105
2014-03-09,154,÷–∂»Œ€»æ,118,201,58,1.2,44,97
2014-03-10,174,÷–∂»Œ€»æ,132,231,53,1.4,45,111
2014-03-11,123,«·∂»Œ€»æ,93,164,36,1,44,120
2014-03-12,91,¡º,68,118,26,0.8,34,85
2014-03-13,74,¡º,41,99,47,0.7,38,86
2014-03-14,134,«·∂»Œ€»æ,102,202,68,1.5,70,80
2014-03-15,112,«·∂»Œ€»æ,75,174,48,1,49,124
2014-03-16,110,«·∂»Œ€»æ,83,139,40,1,39,141
2014-03-17,115,«·∂»Œ€»æ,87,162,54,1.3,45,139
2014-03-18,284,÷ÿ∂»Œ€»æ,94,409,41,1.2,38,115
2014-03-19,84,¡º,58,119,26,0.9,41,108
2014-03-20,73,¡º,47,96,32,0.9,33,89
2014-03-21,87,¡º,47,124,36,0.6,46,103
2014-03-22,86,¡º,62,122,44,0.7,42,115
2014-03-23,98,¡º,74,136,41,0.7,51,131
2014-03-24,87,¡º,64,120,30,0.8,45,86
2014-03-25,140,«·∂»Œ€»æ,107,160,22,1.3,61,34
2014-03-26,195,÷–∂»Œ€»æ,147,225,29,1.8,53,99
2014-03-27,108,«·∂»Œ€»æ,81,131,22,0.9,33,103
2014-03-28,75,¡º,49,100,22,0.6,33,88
2014-03-29,135,«·∂»Œ€»æ,103,148,28,0.7,38,93
2014-03-30,93,¡º,69,120,35,0.9,47,147
2014-03-31,95,¡º,67,137,40,0.8,56,154
2014-04-01,105,«·∂»Œ€»æ,79,132,28,0.8,37,136
2014-04-02,72,¡º,53,84,21,0.7,30,112
2014-04-03,72,¡º,50,93,27,0.7,36,94
2014-04-04,98,¡º,49,146,34,0.6,38,120
2014-04-05,66,¡º,24,81,22,0.5,22,102
2014-04-06,86,¡º,41,123,32,0.6,31,116
2014-04-07,93,¡º,57,136,43,0.9,47,105
2014-04-08,103,«·∂»Œ€»æ,66,155,31,1,50,95
2014-04-09,116,«·∂»Œ€»æ,88,154,35,1.2,44,135
2014-04-10,110,«·∂»Œ€»æ,83,159,27,1.1,40,128
2014-04-11,61,¡º,42,73,12,0.7,19,113
2014-04-12,62,¡º,45,67,15,0.5,27,100
2014-04-13,68,¡º,46,81,19,0.5,31,122
2014-04-14,204,÷ÿ∂»Œ€»æ,154,259,57,1.4,58,135
2014-04-15,156,÷–∂»Œ€»æ,120,190,35,1.1,44,139
2014-04-16,68,¡º,30,70,25,0.6,29,121
2014-04-17,55,¡º,35,57,16,0.8,32,106
2014-04-18,83,¡º,25,44,17,0.5,23,140
2014-04-19,66,¡º,45,82,27,0.6,41,114
2014-04-20,100,¡º,74,149,18,0.9,45,92
2014-04-21,102,«·∂»Œ€»æ,77,141,32,0.9,58,100
2014-04-22,149,«·∂»Œ€»æ,114,202,43,1.2,51,148
2014-04-23,94,¡º,55,108,37,0.6,33,153
2014-04-24,91,¡º,41,86,37,0.6,27,149
2014-04-25,83,¡º,32,75,22,0.6,18,139
2014-04-26,58,¡º,27,45,14,0.8,25,109
2014-04-27,49,”≈,34,47,19,0.6,29,86
2014-04-28,85,¡º,36,75,25,0.7,33,142
2014-04-29,87,¡º,45,123,39,0.9,57,125
2014-04-30,98,¡º,65,146,49,0.9,51,141
2014-05-01,98,¡º,71,147,35,0.8,33,157
2014-05-02,108,«·∂»Œ€»æ,45,166,33,0.6,28,124
2014-05-03,72,¡º,27,94,26,0.6,32,110
2014-05-04,81,¡º,32,111,33,0.7,36,102
2014-05-05,89,¡º,47,129,35,0.9,40,122
2014-05-06,98,¡º,51,139,33,0.9,35,158
2014-05-07,99,¡º,61,148,40,0.8,37,148
2014-05-08,86,¡º,64,108,37,0.8,34,129
2014-05-09,60,¡º,39,69,25,0.8,25,112
2014-05-10,51,¡º,27,53,18,0.7,17,99
2014-05-11,45,”≈,29,43,17,0.6,22,90
