日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,51,良,29,51,12,0.8,33,47
2015-01-01,54,良,30,59,20,0.6,36,55
2015-01-02,35,优,18,35,13,0.5,27,55
2015-01-03,32,优,18,32,10,0.6,26,54
2015-01-04,45,优,20,45,11,0.8,25,44
2015-01-05,23,优,11,20,8,0.8,24,46
2015-01-06,27,优,13,20,7,0.9,30,53
2015-01-07,35,优,17,35,8,1.1,36,43
2015-01-08,38,优,20,38,6,1.3,36,38
2015-01-09,33,优,17,33,5,1.2,16,42
2015-01-10,25,优,12,25,6,1.4,11,46
2015-01-11,27,优,16,20,5,1.6,22,54
2015-01-12,44,优,29,44,3,1.9,18,55
2015-01-13,55,良,35,60,4,1.8,20,51
2015-01-14,51,良,28,51,10,1.7,19,51
2015-01-15,44,优,23,44,14,1.9,20,63
2015-01-16,58,良,30,67,16,2,22,58
2015-01-17,52,良,26,54,15,1.8,21,62
2015-01-18,36,优,19,36,15,1.8,21,49
2015-01-19,26,优,14,26,18,1.8,18,50
2015-01-20,33,优,19,33,14,1.7,19,49
2015-01-21,45,优,19,45,17,1.6,19,52
2015-01-22,54,良,24,59,19,1.9,22,49
2015-01-23,37,优,18,37,23,1.8,21,58
2015-01-24,27,优,13,24,15,2.1,16,53
2015-01-25,39,优,15,39,15,2.1,20,42
2015-01-26,36,优,16,36,16,2.1,19,46
2015-01-27,42,优,17,42,14,1.9,20,46
2015-01-28,28,优,13,25,12,1.1,15,55
2015-01-29,27,优,14,23,12,0.8,13,53
2015-01-30,29,优,12,29,11,0.7,12,51
2015-01-31,28,优,11,27,18,0.8,12,56
2015-02-01,40,优,19,40,17,0.9,14,55
2015-02-02,37,优,18,37,19,0.9,12,48
2015-02-03,33,优,17,33,22,0.9,14,52
2015-02-04,35,优,14,35,16,0.9,13,48
2015-02-05,28,优,14,28,17,0.8,12,52
2015-02-06,29,优,14,29,16,1.1,13,50
2015-02-07,29,优,16,29,16,1.3,12,47
2015-02-08,27,优,13,25,16,1,9,54
2015-02-09,30,优,14,27,16,1.1,10,59
2015-02-10,34,优,16,26,16,1.6,11,67
2015-02-11,34,优,15,32,15,1.5,12,67
2015-02-12,33,优,8,29,14,1.8,12,65
2015-02-13,33,优,9,24,14,1.9,12,65
2015-02-14,35,优,15,22,16,1.1,11,69
2015-02-15,35,优,13,25,17,1.1,12,70
2015-02-16,33,优,13,24,16,1.2,11,65
2015-02-17,33,优,16,28,16,1.5,10,66
2015-02-18,34,优,18,34,16,1.2,10,68
2015-02-19,48,优,16,48,16,1.3,10,69
2015-02-20,36,优,12,30,14,1.2,9,72
2015-02-21,39,优,17,34,14,1.4,9,77
2015-02-22,40,优,15,31,14,1.4,9,79
2015-02-23,37,优,15,34,15,1.6,11,74
2015-02-24,39,优,22,39,15,1.6,10,69
2015-02-25,35,优,16,32,15,1.7,10,69
2015-02-26,38,优,15,37,15,1.9,10,76
2015-02-27,41,优,12,34,16,1.8,8,81
2015-02-28,42,优,14,30,16,1.6,8,84
2015-03-01,44,优,17,42,15,1.7,8,88
2015-03-02,50,优,17,39,15,1.8,8,100
2015-03-03,50,优,15,38,17,2,7,99
2015-03-04,46,优,17,46,14,1.8,8,78
2015-03-05,40,优,14,29,13,1.9,8,80
2015-03-06,41,优,15,35,14,1.7,10,82
2015-03-07,37,优,16,32,14,0.8,9,74
2015-03-08,38,优,15,37,13,0.7,10,75
2015-03-09,41,优,22,41,20,0.8,11,73
2015-03-10,45,优,19,45,33,0.7,15,73
2015-03-11,43,优,22,43,25,0.7,18,71
2015-03-12,46,优,22,46,25,0.6,16,76
2015-03-13,45,优,22,45,21,0.8,18,74
2015-03-14,49,优,27,49,20,0.9,14,85
2015-03-15,52,良,26,55,22,1,15,89
2015-03-16,53,良,21,55,22,1,17,78
2015-03-17,40,优,17,36,19,0.7,11,80
2015-03-18,36,优,18,35,19,0.8,12,72
2015-03-19,38,优,17,38,17,0.9,14,74
2015-03-20,48,优,22,48,20,1,17,79
2015-03-21,47,优,22,47,21,0.9,15,77
2015-03-22,56,良,25,62,21,0.9,16,86
2015-03-23,50,优,23,50,22,1,15,81
2015-03-24,53,良,31,56,23,1.1,17,99
2015-03-25,49,优,26,49,21,1.2,19,75
2015-03-26,49,优,23,49,23,1.2,17,72
2015-03-27,35,优,14,30,20,1,12,69
2015-03-28,44,优,19,44,22,1.2,16,67
2015-03-29,40,优,15,40,26,1.1,14,66
2015-03-30,40,优,18,40,26,1.1,13,61
2015-03-31,34,优,15,32,22,1,12,67
2015-04-01,38,优,15,28,19,0.8,10,75
2015-04-02,32,优,13,28,21,0.6,13,63
2015-04-03,33,优,13,33,21,0.6,11,52
2015-04-04,34,优,16,34,23,0.7,15,45
2015-04-05,36,优,16,36,18,0.5,10,54
2015-04-06,31,优,15,31,21,0.6,12,53
2015-04-07,33,优,15,33,24,0.7,13,53
2015-04-08,32,优,12,32,26,0.7,12,56
2015-04-09,31,优,14,31,25,0.7,13,53
2015-04-10,30,优,16,30,23,0.8,13,52
2015-04-11,38,优,18,38,24,0.8,15,61
