»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,18,”≈,13,18,14,0.3,22,36
2015-01-01,48,”≈,24,48,56,0.7,35,27
2015-01-02,91,¡º,67,102,89,1.2,42,23
2015-01-03,91,¡º,68,109,94,1.5,41,38
2015-01-04,115,«·∂»Œ€»æ,87,123,56,1.7,56,36
2015-01-05,151,÷–∂»Œ€»æ,115,186,115,2.9,59,37
2015-01-06,51,¡º,25,53,90,0.6,39,70
2015-01-07,99,¡º,75,138,143,1.8,47,62
2015-01-08,133,«·∂»Œ€»æ,102,183,201,2.7,61,39
2015-01-09,129,«·∂»Œ€»æ,98,168,169,2.2,62,34
2015-01-10,102,«·∂»Œ€»æ,77,116,136,1.6,49,65
2015-01-11,55,¡º,39,54,95,0.5,34,75
2015-01-12,117,«·∂»Œ€»æ,89,151,143,2.8,59,47
2015-01-13,188,÷–∂»Œ€»æ,141,208,166,4.2,79,29
2015-01-14,227,÷ÿ∂»Œ€»æ,177,273,87,5.4,87,24
2015-01-15,202,÷ÿ∂»Œ€»æ,152,216,62,2.4,60,64
2015-01-16,104,«·∂»Œ€»æ,78,121,62,1,48,75
2015-01-17,71,¡º,51,76,71,0.8,46,52
2015-01-18,127,«·∂»Œ€»æ,97,179,154,2.3,74,14
2015-01-19,72,¡º,49,94,45,1.4,40,48
2015-01-20,166,÷–∂»Œ€»æ,126,193,140,3.3,72,26
2015-01-21,149,«·∂»Œ€»æ,114,160,134,3.5,66,57
2015-01-22,188,÷–∂»Œ€»æ,142,231,120,3.3,74,46
2015-01-23,157,÷–∂»Œ€»æ,120,198,76,1.9,51,68
2015-01-24,57,¡º,40,65,41,1.2,36,74
2015-01-25,154,÷–∂»Œ€»æ,118,161,114,2.9,76,25
2015-01-26,99,¡º,74,94,59,1.5,44,60
2015-01-27,54,¡º,27,57,50,1.3,32,61
2015-01-28,97,¡º,72,114,127,2.8,55,33
2015-01-29,90,¡º,67,109,115,2.4,55,39
2015-01-30,61,¡º,43,72,49,1.6,36,65
2015-01-31,82,¡º,61,94,79,2,49,51
2015-02-01,97,¡º,73,110,103,2.8,60,37
2015-02-02,123,«·∂»Œ€»æ,93,145,137,3.8,75,26
2015-02-03,125,«·∂»Œ€»æ,95,148,108,2.9,71,42
2015-02-04,97,¡º,72,99,74,1.9,51,100
2015-02-05,107,«·∂»Œ€»æ,80,104,55,1.8,48,94
2015-02-06,90,¡º,67,100,70,2.1,57,67
2015-02-07,54,¡º,25,59,22,1.2,26,68
2015-02-08,62,¡º,16,74,32,1.4,27,60
2015-02-09,60,¡º,40,69,60,2,45,58
2015-02-10,80,¡º,59,91,87,2.5,61,46
2015-02-11,106,«·∂»Œ€»æ,80,122,70,2.6,51,69
2015-02-12,35,”≈,20,35,33,1.4,33,65
2015-02-13,37,”≈,22,37,34,1.6,41,66
2015-02-14,96,¡º,72,105,65,2.1,61,68
2015-02-15,163,÷–∂»Œ€»æ,124,167,68,2.3,70,70
2015-02-16,191,÷–∂»Œ€»æ,144,194,82,3.2,85,22
2015-02-17,113,«·∂»Œ€»æ,86,99,28,1.3,47,54
2015-02-18,43,”≈,26,33,25,0.9,22,85
2015-02-19,182,÷–∂»Œ€»æ,137,171,76,1.6,49,79
2015-02-20,94,¡º,71,91,72,2.1,48,65
2015-02-21,37,”≈,17,25,21,1.3,33,73
2015-02-22,171,÷–∂»Œ€»æ,35,292,6,0.8,13,75
2015-02-23,88,¡º,27,126,21,1,21,69
2015-02-24,57,¡º,39,64,49,1.3,40,64
2015-02-25,58,¡º,38,66,45,1.5,43,62
2015-02-26,36,”≈,13,23,9,0.8,18,71
2015-02-27,39,”≈,26,38,36,1.2,32,77
2015-02-28,57,¡º,40,64,44,1.6,35,81
2015-03-01,43,”≈,23,43,20,1.2,25,84
2015-03-02,72,¡º,53,88,59,1.5,40,86
2015-03-03,46,”≈,21,43,11,0.9,17,91
2015-03-04,43,”≈,20,32,19,1,26,85
2015-03-05,104,«·∂»Œ€»æ,78,107,63,1.7,45,71
2015-03-06,89,¡º,66,89,41,1.5,38,91
2015-03-07,47,”≈,33,45,21,1.5,32,92
2015-03-08,105,«·∂»Œ€»æ,79,104,42,1.8,43,101
2015-03-09,37,”≈,16,37,6,0.5,12,73
2015-03-10,37,”≈,15,30,27,1.2,21,73
2015-03-11,56,¡º,39,62,46,1.5,32,81
2015-03-12,53,¡º,31,56,28,1.4,31,83
2015-03-13,54,¡º,38,58,45,1.5,37,79
2015-03-14,53,¡º,36,56,40,1.8,41,76
2015-03-15,39,”≈,22,39,18,1,26,77
2015-03-16,78,¡º,57,92,31,1.2,56,82
2015-03-17,72,¡º,52,67,23,1,42,78
2015-03-18,63,¡º,44,75,47,2.2,47,60
2015-03-19,72,¡º,53,93,47,1.4,47,87
2015-03-20,66,¡º,38,82,49,1.2,42,81
2015-03-21,70,¡º,38,90,41,1,38,82
2015-03-22,67,¡º,14,84,13,0.5,17,71
2015-03-23,50,”≈,18,51,24,0.8,21,85
2015-03-24,66,¡º,46,81,74,1.6,43,92
2015-03-25,66,¡º,45,81,56,1.7,45,104
2015-03-26,88,¡º,56,107,47,1.4,41,146
2015-03-27,114,«·∂»Œ€»æ,73,118,50,1.1,40,175
2015-03-28,113,«·∂»Œ€»æ,36,61,21,0.6,23,174
2015-03-29,80,¡º,59,105,42,1.3,38,102
2015-03-30,92,¡º,56,133,28,1.1,33,134
2015-03-31,81,¡º,44,97,23,0.7,36,137
2015-04-01,51,¡º,31,52,47,1.6,30,88
2015-04-02,62,¡º,42,75,56,1.6,56,27
2015-04-03,40,”≈,23,35,15,0.5,25,79
2015-04-04,57,¡º,33,64,35,1.3,44,54
2015-04-05,56,¡º,30,62,29,1.3,29,76
2015-04-06,49,”≈,23,49,10,0.7,10,86
2015-04-07,47,”≈,25,45,24,1.1,18,93
2015-04-08,53,¡º,31,55,36,1,25,102
2015-04-09,89,¡º,45,77,26,1.8,24,147
2015-04-10,88,¡º,54,87,44,1.3,39,146
2015-04-11,100,¡º,75,114,45,1.6,43,108
2015-04-12,63,¡º,44,65,36,1.6,27,115
2015-04-13,73,¡º,53,97,44,2.1,41,122
2015-04-14,80,¡º,50,84,30,1.5,35,136
2015-04-15,99,¡º,54,94,28,1.4,32,159
2015-04-16,115,«·∂»Œ€»æ,36,65,26,0.5,24,177
2015-04-17,64,¡º,28,78,15,1.5,26,96
2015-04-18,72,¡º,40,90,24,1.2,36,126
2015-04-19,86,¡º,50,121,18,0.9,31,105
2015-04-20,73,¡º,37,97,21,0.9,37,114
2015-04-21,70,¡º,40,90,39,1.4,49,103
2015-04-22,80,¡º,59,103,22,1.7,39,117
2015-04-23,79,¡º,34,63,17,0.8,26,135
2015-04-24,55,¡º,25,59,11,1,26,91
2015-04-25,115,«·∂»Œ€»æ,32,77,20,1,27,176
2015-04-26,139,«·∂»Œ€»æ,65,111,35,1,14,203
2015-04-27,157,÷–∂»Œ€»æ,46,83,23,0.8,18,222
2015-04-28,121,«·∂»Œ€»æ,31,65,19,1,41,183
2015-04-29,85,¡º,45,99,30,1.4,44,142
2015-04-30,102,«·∂»Œ€»æ,56,108,20,1.2,46,162
2015-05-01,91,¡º,43,88,13,0.9,27,149
2015-05-02,75,¡º,19,33,12,0.6,19,130
2015-05-03,60,¡º,22,46,7,0.7,17,112
2015-05-04,54,¡º,20,58,10,0.8,19,97
2015-05-05,72,¡º,27,95,11,0.9,26,126
2015-05-06,91,¡º,23,132,9,0.7,21,103
2015-05-07,60,¡º,23,68,17,1.1,21,112
2015-05-08,44,”≈,14,44,10,0.9,18,82
2015-05-09,44,”≈,14,26,7,0.9,15,87
2015-05-10,52,¡º,26,53,18,1.1,25,96
2015-05-11,73,¡º,32,70,20,1.4,28,127
2015-05-12,47,”≈,14,23,6,0.8,11,93
2015-05-13,66,¡º,17,30,7,1,19,119
2015-05-14,76,¡º,47,87,17,1.1,25,131
2015-05-15,59,¡º,22,49,9,0.7,14,111
2015-05-16,68,¡º,33,64,16,1,26,122
2015-05-17,116,«·∂»Œ€»æ,41,102,32,1.1,20,178
2015-05-18,106,«·∂»Œ€»æ,24,40,9,0.9,20,167
2015-05-19,51,¡º,27,53,14,0.9,20,79
2015-05-20,45,”≈,16,30,6,0.4,21,90
2015-05-21,73,¡º,28,60,15,0.8,27,128
2015-05-22,115,«·∂»Œ€»æ,32,66,17,0.7,27,176
2015-05-23,119,«·∂»Œ€»æ,36,61,16,0.6,27,181
2015-05-24,108,«·∂»Œ€»æ,32,64,22,0.6,35,169
2015-05-25,99,¡º,34,65,20,0.9,32,159
2015-05-26,140,«·∂»Œ€»æ,50,92,26,0.8,31,204
2015-05-27,115,«·∂»Œ€»æ,35,61,20,0.6,26,177
2015-05-28,87,¡º,32,61,12,0.5,24,144
2015-05-29,63,¡º,28,55,17,0.7,30,116
2015-05-30,50,”≈,20,37,6,0.4,18,100
2015-05-31,81,¡º,16,47,12,0.5,20,137
2015-06-01,72,¡º,22,41,7,0.4,18,126
2015-06-02,67,¡º,26,45,6,0.5,22,120
2015-06-03,53,¡º,20,36,11,0.4,22,104
2015-06-04,88,¡º,24,48,21,0.7,26,146
2015-06-05,93,¡º,16,31,15,0.3,19,151
2015-06-06,51,¡º,29,53,12,0.8,48,82
2015-06-07,98,¡º,29,52,6,0.5,22,158
2015-06-08,45,”≈,23,44,9,0.5,42,89
