»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,66,¡º,30,82,10,0.5,12,66
2015-01-01,52,¡º,32,55,17,0.7,19,59
2015-01-02,52,¡º,31,53,19,0.8,20,71
2015-01-03,103,«·∂»Œ€»æ,77,137,60,1.5,44,54
2015-01-04,119,«·∂»Œ€»æ,91,141,38,1,36,63
2015-01-05,103,«·∂»Œ€»æ,49,155,25,0.7,21,95
2015-01-06,73,¡º,24,66,18,0.6,14,128
2015-01-07,57,¡º,38,64,23,0.9,30,95
2015-01-08,86,¡º,64,95,53,1.1,37,46
2015-01-09,78,¡º,57,94,35,1,35,61
2015-01-10,67,¡º,46,83,24,0.7,24,45
2015-01-11,57,¡º,41,62,21,0.6,23,63
2015-01-12,114,«·∂»Œ€»æ,87,127,37,1.1,39,54
2015-01-13,133,«·∂»Œ€»æ,102,147,45,1.1,38,35
2015-01-14,123,«·∂»Œ€»æ,93,130,26,0.9,27,58
2015-01-15,139,«·∂»Œ€»æ,106,137,28,0.9,29,56
2015-01-16,75,¡º,55,74,17,0.5,21,65
2015-01-17,53,¡º,32,56,19,0.5,26,68
2015-01-18,102,«·∂»Œ€»æ,77,109,39,0.9,34,47
2015-01-19,52,¡º,36,53,18,0.5,26,60
2015-01-20,110,«·∂»Œ€»æ,83,114,48,0.8,35,57
2015-01-21,73,¡º,54,80,20,0.9,30,57
2015-01-22,95,¡º,71,107,35,1.1,40,57
2015-01-23,145,«·∂»Œ€»æ,111,154,43,1.1,43,56
2015-01-24,85,¡º,63,92,15,0.7,28,65
2015-01-25,115,«·∂»Œ€»æ,87,123,37,0.9,39,63
2015-01-26,76,¡º,38,101,10,0.4,15,71
2015-01-27,54,¡º,33,59,18,0.5,26,67
2015-01-28,60,¡º,40,69,18,0.9,33,62
2015-01-29,70,¡º,48,91,38,0.6,30,66
2015-01-30,48,”≈,26,48,10,0.5,21,71
2015-01-31,52,¡º,30,53,18,0.6,30,61
2015-02-01,68,¡º,48,85,31,0.9,41,56
2015-02-02,118,«·∂»Œ€»æ,90,147,62,1.5,64,71
2015-02-03,207,÷ÿ∂»Œ€»æ,157,221,35,1.6,52,70
2015-02-04,59,¡º,38,68,16,0.7,26,71
2015-02-05,66,¡º,43,81,23,0.8,34,70
2015-02-06,61,¡º,23,73,13,0.5,19,81
2015-02-07,149,«·∂»Œ€»æ,26,249,4,0.2,9,79
2015-02-08,52,¡º,27,55,12,0.5,18,72
2015-02-09,57,¡º,35,64,20,0.7,26,61
2015-02-10,69,¡º,51,89,22,0.9,35,63
2015-02-11,55,¡º,34,59,14,0.5,19,75
2015-02-12,42,”≈,23,42,12,0.4,18,76
2015-02-13,57,¡º,34,64,20,0.6,32,71
2015-02-14,128,«·∂»Œ€»æ,98,147,28,1.1,35,82
2015-02-15,89,¡º,66,94,15,0.7,27,86
2015-02-16,83,¡º,61,91,12,0.6,22,78
2015-02-17,63,¡º,45,72,6,0.4,17,85
2015-02-18,53,¡º,33,56,14,0.4,17,80
2015-02-19,157,÷–∂»Œ€»æ,120,178,48,0.8,30,85
2015-02-20,101,«·∂»Œ€»æ,76,106,53,0.8,29,83
2015-02-21,77,¡º,53,103,30,0.6,19,78
2015-02-22,127,«·∂»Œ€»æ,91,204,7,0.3,12,82
2015-02-23,57,¡º,33,65,10,0.4,19,80
2015-02-24,91,¡º,68,95,13,1.1,24,79
2015-02-25,52,¡º,34,53,13,0.4,14,78
2015-02-26,48,”≈,32,48,9,0.5,16,76
2015-02-27,57,¡º,41,64,14,0.7,27,77
2015-02-28,89,¡º,66,105,42,0.9,31,55
2015-03-01,58,¡º,34,66,10,0.5,20,77
2015-03-02,79,¡º,58,89,16,1.1,37,73
2015-03-03,49,”≈,23,49,6,0.3,12,78
2015-03-04,50,”≈,31,51,8,0.4,20,83
2015-03-05,82,¡º,61,103,42,0.7,33,83
2015-03-06,114,«·∂»Œ€»æ,87,174,63,1,38,92
2015-03-07,85,¡º,63,101,22,0.6,26,88
2015-03-08,51,¡º,21,51,8,0.2,14,81
2015-03-09,61,¡º,21,73,6,0.2,13,74
2015-03-10,41,”≈,23,40,14,0.4,17,82
2015-03-11,51,¡º,25,51,9,0.4,15,86
2015-03-12,53,¡º,20,57,11,0.3,12,88
2015-03-13,49,”≈,26,49,16,0.5,22,87
2015-03-14,90,¡º,48,131,35,0.6,29,88
2015-03-15,288,÷ÿ∂»Œ€»æ,81,412,22,0.6,28,79
2015-03-16,104,«·∂»Œ€»æ,61,158,20,0.8,27,90
2015-03-17,52,¡º,29,54,14,0.6,22,89
