»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,221,÷ÿ∂»Œ€»æ,171,338,195,3.4,89,29
2013-12-02,415,—œ÷ÿŒ€»æ,293,515,263,6.1,132,10
2013-12-03,427,—œ÷ÿŒ€»æ,306,527,262,4.8,139,23
2013-12-04,250,÷ÿ∂»Œ€»æ,200,377,183,3.9,107,14
2013-12-05,213,÷ÿ∂»Œ€»æ,163,317,131,2.4,91,12
2013-12-06,330,—œ÷ÿŒ€»æ,245,444,205,5.1,106,14
2013-12-07,496,—œ÷ÿŒ€»æ,351,596,136,4.7,109,6
2013-12-08,500,—œ÷ÿŒ€»æ,375,688,98,4.8,125,5
2013-12-09,169,÷–∂»Œ€»æ,128,250,112,1.7,68,5
2013-12-10,179,÷–∂»Œ€»æ,135,285,143,2.7,74,28
2013-12-11,162,÷–∂»Œ€»æ,92,274,159,2.1,68,27
2013-12-12,130,«·∂»Œ€»æ,90,209,106,2,63,19
2013-12-13,169,÷–∂»Œ€»æ,128,285,191,2.2,80,32
2013-12-14,406,—œ÷ÿŒ€»æ,278,506,241,4.3,114,10
2013-12-15,500,—œ÷ÿŒ€»æ,368,667,247,5.2,138,8
2013-12-16,500,—œ÷ÿŒ€»æ,457,725,250,5.1,148,6
2013-12-17,300,÷ÿ∂»Œ€»æ,250,414,158,3.4,111,5
2013-12-18,242,÷ÿ∂»Œ€»æ,192,290,119,2.8,72,4
2013-12-19,500,—œ÷ÿŒ€»æ,390,627,130,5.1,106,5
2013-12-20,500,—œ÷ÿŒ€»æ,440,672,183,6.7,128,6
2013-12-21,455,—œ÷ÿŒ€»æ,349,555,179,5.5,117,6
2013-12-22,500,—œ÷ÿŒ€»æ,446,677,263,6.2,131,8
2013-12-23,500,—œ÷ÿŒ€»æ,597,800,385,4.5,185,8
2013-12-24,500,—œ÷ÿŒ€»æ,611,719,398,3.6,220,20
2013-12-25,500,—œ÷ÿŒ€»æ,803,939,323,11,234,6
2013-12-26,150,«·∂»Œ€»æ,96,249,118,1,59,11
2013-12-27,138,«·∂»Œ€»æ,105,205,197,2.8,71,32
2013-12-28,114,«·∂»Œ€»æ,84,178,184,1.6,68,20
2013-12-29,133,«·∂»Œ€»æ,77,216,183,2.5,66,23
2013-12-30,133,«·∂»Œ€»æ,49,215,131,1.4,48,31
2013-12-31,117,«·∂»Œ€»æ,26,183,87,1.2,43,47
2014-01-02,275,÷ÿ∂»Œ€»æ,187,403,289,4.7,114,15
2014-01-03,178,÷–∂»Œ€»æ,134,270,152,2.3,72,57
2014-01-04,210,÷ÿ∂»Œ€»æ,160,347,199,3.5,82,14
2014-01-05,271,÷ÿ∂»Œ€»æ,221,382,212,3.1,105,25
2014-01-06,320,—œ÷ÿŒ€»æ,270,432,192,4.1,105,24
2014-01-07,368,—œ÷ÿŒ€»æ,292,475,241,3.6,102,23
2014-01-08,211,÷ÿ∂»Œ€»æ,161,261,144,1.6,79,20
2014-01-09,264,÷ÿ∂»Œ€»æ,214,348,158,3.3,86,21
2014-01-10,287,÷ÿ∂»Œ€»æ,237,387,256,2.9,106,18
