»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,112,«·∂»Œ€»æ,85,137,44,2.1,29,63
2015-01-01,91,¡º,68,105,47,1.8,32,63
2015-01-02,97,¡º,72,110,45,2.3,38,56
2015-01-03,81,¡º,59,112,41,1.8,31,62
2015-01-04,56,¡º,31,62,37,1.2,24,64
2015-01-05,42,”≈,24,42,30,0.9,20,75
2015-01-06,97,¡º,72,106,50,2,39,78
2015-01-07,68,¡º,50,60,39,1.7,27,73
2015-01-08,55,¡º,39,46,32,1.3,25,70
2015-01-09,95,¡º,71,56,41,2,35,65
2015-01-10,120,«·∂»Œ€»æ,91,90,47,2.6,35,72
2015-01-11,128,«·∂»Œ€»æ,97,107,51,2.9,36,69
2015-01-12,132,«·∂»Œ€»æ,101,109,62,3,20,55
2015-01-13,172,÷–∂»Œ€»æ,130,119,70,3.3,13,60
2015-01-14,134,«·∂»Œ€»æ,102,131,51,3,48,70
2015-01-15,114,«·∂»Œ€»æ,86,105,44,2.5,38,66
2015-01-16,104,«·∂»Œ€»æ,78,116,45,2.8,39,61
2015-01-17,130,«·∂»Œ€»æ,99,136,45,3.4,32,62
2015-01-18,113,«·∂»Œ€»æ,85,117,45,3.7,32,59
2015-01-19,109,«·∂»Œ€»æ,82,115,45,3.8,33,58
2015-01-20,102,«·∂»Œ€»æ,77,119,47,3.9,34,62
2015-01-21,132,«·∂»Œ€»æ,101,143,55,4.4,41,61
2015-01-22,134,«·∂»Œ€»æ,102,147,55,4.7,42,57
2015-01-23,68,¡º,48,87,39,3.5,29,78
2015-01-24,104,«·∂»Œ€»æ,78,128,44,4.4,30,82
2015-01-25,111,«·∂»Œ€»æ,84,144,48,4.3,26,69
2015-01-26,86,¡º,64,112,42,3.8,26,67
2015-01-27,99,¡º,74,125,35,3.9,21,70
2015-01-28,90,¡º,59,130,31,3.6,19,75
2015-01-29,88,¡º,66,124,31,3.6,17,75
2015-01-30,48,”≈,23,48,8,3.1,9,75
2015-01-31,65,¡º,47,77,22,3.4,18,80
2015-02-01,102,«·∂»Œ€»æ,77,121,24,4.1,22,68
2015-02-02,107,«·∂»Œ€»æ,81,124,33,4.4,26,64
2015-02-03,109,«·∂»Œ€»æ,82,125,28,4.5,24,58
2015-02-04,78,¡º,55,105,23,3.8,19,72
2015-02-05,72,¡º,50,94,31,3.7,26,70
2015-02-06,70,¡º,51,90,45,3.9,31,54
2015-02-07,77,¡º,56,90,45,4,27,55
2015-02-08,109,«·∂»Œ€»æ,82,134,49,4.7,33,58
2015-02-09,59,¡º,42,69,52,3.8,35,63
2015-02-10,67,¡º,49,77,51,4.1,31,61
2015-02-11,75,¡º,55,95,47,4.4,34,59
2015-02-12,72,¡º,53,89,48,4.3,33,54
2015-02-13,73,¡º,53,91,42,4.3,30,54
2015-02-14,67,¡º,45,84,45,4.2,28,58
2015-02-15,45,”≈,24,45,35,3.6,24,67
2015-02-16,73,¡º,53,95,47,4.4,21,61
2015-02-17,62,¡º,25,74,42,4,23,62
2015-02-18,65,¡º,29,80,42,4,26,60
2015-02-19,65,¡º,13,80,39,3.9,26,67
