»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,268,÷ÿ∂»Œ€»æ,218,316,166,3.8,93,14
2013-12-03,324,—œ÷ÿŒ€»æ,274,410,227,4.7,109,11
2013-12-04,237,÷ÿ∂»Œ€»æ,187,335,148,3.8,73,19
2013-12-05,202,÷ÿ∂»Œ€»æ,152,249,134,3,82,22
2013-12-06,219,÷ÿ∂»Œ€»æ,169,269,145,3.2,74,13
2013-12-07,330,—œ÷ÿŒ€»æ,280,402,86,4.3,77,5
2013-12-08,280,÷ÿ∂»Œ€»æ,230,386,82,4.7,90,5
2013-12-09,203,÷ÿ∂»Œ€»æ,153,243,104,2.4,72,12
2013-12-10,241,÷ÿ∂»Œ€»æ,191,328,145,4.3,76,7
2013-12-11,125,«·∂»Œ€»æ,95,194,100,2.2,59,17
2013-12-12,132,«·∂»Œ€»æ,100,192,174,2.8,57,29
2013-12-13,139,«·∂»Œ€»æ,106,192,139,1.8,61,14
2013-12-14,347,—œ÷ÿŒ€»æ,297,420,215,4.3,116,7
2013-12-15,474,—œ÷ÿŒ€»æ,413,574,195,5.4,165,6
2013-12-16,479,—œ÷ÿŒ€»æ,403,579,250,6.1,141,6
2013-12-17,282,÷ÿ∂»Œ€»æ,232,332,156,4.3,113,5
2013-12-18,131,«·∂»Œ€»æ,100,141,54,2.1,58,8
2013-12-19,319,—œ÷ÿŒ€»æ,269,390,96,5,97,6
2013-12-20,410,—œ÷ÿŒ€»æ,343,510,146,6.9,142,6
2013-12-21,416,—œ÷ÿŒ€»æ,360,516,111,5.7,145,14
2013-12-22,326,—œ÷ÿŒ€»æ,276,407,130,5.1,99,8
2013-12-26,156,÷–∂»Œ€»æ,119,50,43,0.9,73,166
2013-12-27,144,«·∂»Œ€»æ,110,197,139,3.5,67,15
2013-12-28,100,¡º,75,139,93,1.9,66,22
2013-12-29,131,«·∂»Œ€»æ,99,194,105,2.9,73,26
2013-12-30,116,«·∂»Œ€»æ,63,182,108,2.3,68,37
2013-12-31,111,«·∂»Œ€»æ,58,173,79,1.8,56,39
2014-01-01,127,«·∂»Œ€»æ,72,204,99,1.8,50,41
2014-01-02,231,÷ÿ∂»Œ€»æ,181,317,150,4.2,71,23
2014-01-03,139,«·∂»Œ€»æ,106,198,108,2.5,59,41
2014-01-04,128,«·∂»Œ€»æ,98,164,105,2.4,57,25
2014-01-05,229,÷ÿ∂»Œ€»æ,179,258,140,3.2,78,16
2014-01-06,280,÷ÿ∂»Œ€»æ,230,325,172,4.9,88,9
2014-01-07,309,—œ÷ÿŒ€»æ,259,343,157,4.2,77,4
2014-01-08,208,÷ÿ∂»Œ€»æ,158,197,95,2.4,60,23
2014-01-09,217,÷ÿ∂»Œ€»æ,167,226,97,3.2,62,36
2014-01-10,279,÷ÿ∂»Œ€»æ,229,303,173,3.9,89,22
2014-01-11,369,—œ÷ÿŒ€»æ,319,418,168,5.5,96,13
2014-01-12,252,÷ÿ∂»Œ€»æ,202,279,124,3.2,78,42
2014-01-13,206,÷ÿ∂»Œ€»æ,156,207,114,2.8,68,20
2014-01-14,302,—œ÷ÿŒ€»æ,252,340,198,4.4,90,9
2014-01-15,337,—œ÷ÿŒ€»æ,287,389,68,3.7,74,20
2014-01-16,403,—œ÷ÿŒ€»æ,354,461,128,4.4,99,12
2014-01-17,406,—œ÷ÿŒ€»æ,359,457,128,5.5,102,5
2014-01-18,342,—œ÷ÿŒ€»æ,292,381,109,4.9,83,26
2014-01-19,303,—œ÷ÿŒ€»æ,253,325,96,2.9,65,30
2014-01-20,72,¡º,33,93,54,1.1,39,51
2014-01-21,164,÷–∂»Œ€»æ,125,192,136,4.4,54,21
2014-01-22,129,«·∂»Œ€»æ,99,147,85,1.4,57,27
2014-01-23,212,÷ÿ∂»Œ€»æ,162,218,105,2.6,69,28
2014-01-24,324,—œ÷ÿŒ€»æ,274,381,183,4.2,115,10
2014-01-25,129,«·∂»Œ€»æ,99,163,79,1.9,61,52
