»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,101,«·∂»Œ€»æ,76,152,27,0.9,28,88
2015-01-01,91,¡º,53,133,28,0.8,24,72
2015-01-02,102,«·∂»Œ€»æ,77,145,64,0.9,38,69
2015-01-03,192,÷–∂»Œ€»æ,145,253,95,1.4,63,37
2015-01-04,157,÷–∂»Œ€»æ,120,206,58,1.3,45,77
2015-01-05,139,«·∂»Œ€»æ,107,161,65,1.3,41,65
2015-01-06,132,«·∂»Œ€»æ,100,98,34,1.3,22,51
2015-01-07,99,¡º,74,102,35,1.4,27,34
2015-01-08,165,÷–∂»Œ€»æ,126,175,61,1.7,36,69
2015-01-09,164,÷–∂»Œ€»æ,125,163,67,1.7,34,48
2015-01-10,96,¡º,72,96,43,1.2,27,56
2015-01-11,94,¡º,71,98,51,1.3,30,34
2015-01-12,92,¡º,68,78,34,1.4,24,44
2015-01-13,178,÷–∂»Œ€»æ,135,148,35,1.7,27,49
2015-01-14,155,÷–∂»Œ€»æ,118,162,43,1.7,31,70
2015-01-15,131,«·∂»Œ€»æ,100,146,43,1.6,33,67
2015-01-16,153,÷–∂»Œ€»æ,117,169,47,1.9,32,79
2015-01-17,177,÷–∂»Œ€»æ,134,185,49,1.9,34,90
2015-01-18,167,÷–∂»Œ€»æ,127,151,49,1.9,31,59
2015-01-19,143,«·∂»Œ€»æ,109,164,53,1.9,34,77
2015-01-20,179,÷–∂»Œ€»æ,135,232,103,2,48,42
2015-01-21,165,÷–∂»Œ€»æ,126,186,65,1.9,33,68
2015-01-22,138,«·∂»Œ€»æ,105,175,56,1.8,37,101
2015-01-23,210,÷ÿ∂»Œ€»æ,160,267,75,2.4,58,71
2015-01-24,148,«·∂»Œ€»æ,114,199,82,2.1,50,57
2015-01-25,209,÷ÿ∂»Œ€»æ,159,189,53,2.2,43,25
2015-01-26,244,÷ÿ∂»Œ€»æ,194,223,44,2.5,45,20
2015-01-27,120,«·∂»Œ€»æ,91,107,25,2.5,29,33
2015-01-28,23,”≈,15,23,13,2.2,22,23
2015-01-29,35,”≈,25,31,19,1.9,16,23
2015-01-30,88,¡º,66,70,33,1.9,14,56
2015-01-31,74,¡º,54,63,19,2,15,48
2015-02-01,88,¡º,65,66,16,2.1,19,44
2015-02-02,94,¡º,71,77,20,2.2,24,31
2015-02-03,57,¡º,41,50,20,2.4,21,25
2015-02-04,154,÷–∂»Œ€»æ,118,144,44,2.4,28,86
2015-02-05,184,÷–∂»Œ€»æ,139,191,59,2.5,35,103
2015-02-06,154,÷–∂»Œ€»æ,118,183,38,2.3,33,108
2015-02-07,165,÷–∂»Œ€»æ,125,179,61,2.4,39,96
2015-02-08,139,«·∂»Œ€»æ,106,155,50,2.3,33,113
2015-02-09,188,÷–∂»Œ€»æ,142,189,55,2.5,39,100
2015-02-10,225,÷ÿ∂»Œ€»æ,175,254,62,2.7,54,63
2015-02-11,196,÷–∂»Œ€»æ,147,192,29,2.1,36,102
2015-02-12,159,÷–∂»Œ€»æ,121,185,30,1.5,35,113
2015-02-13,133,«·∂»Œ€»æ,101,150,27,1.3,33,119
2015-02-14,121,«·∂»Œ€»æ,91,123,21,1.1,26,90
2015-02-15,60,¡º,43,63,13,0.9,15,89
2015-02-16,102,«·∂»Œ€»æ,77,114,20,1,15,131
2015-02-17,102,«·∂»Œ€»æ,76,142,19,1,18,134
2015-02-18,140,«·∂»Œ€»æ,107,155,22,1.2,15,97
2015-02-19,147,«·∂»Œ€»æ,113,136,12,1.3,13,83
2015-02-20,65,¡º,47,62,4,1,9,39
2015-02-21,39,”≈,27,39,7,1,11,50
2015-02-22,79,¡º,58,64,11,0.9,11,63
2015-02-23,61,¡º,44,53,6,0.9,11,62
2015-02-24,67,¡º,49,64,9,1.1,12,51
2015-02-25,45,”≈,31,45,12,1.3,12,40
2015-02-26,42,”≈,30,42,14,1.1,13,34
2015-02-27,20,”≈,12,20,10,0.9,11,29
2015-02-28,27,”≈,12,16,7,0.6,7,54
2015-03-01,66,¡º,48,57,14,0.6,8,93
2015-03-02,84,¡º,62,77,20,0.7,15,80
2015-03-03,62,¡º,44,67,15,0.8,18,48
2015-03-04,102,«·∂»Œ€»æ,51,154,25,0.7,18,58
2015-03-05,53,¡º,38,42,10,0.7,11,53
2015-03-06,61,¡º,44,56,15,0.6,14,70
2015-03-07,82,¡º,60,79,21,0.7,22,48
2015-03-08,96,¡º,72,84,17,0.9,21,42
2015-03-09,91,¡º,68,90,27,1.1,25,70
2015-03-10,145,«·∂»Œ€»æ,111,115,18,1.1,27,51
2015-03-11,82,¡º,60,68,18,1.1,20,44
2015-03-12,64,¡º,46,66,20,0.8,18,84
2015-03-13,88,¡º,65,99,55,1.2,35,63
2015-03-14,84,¡º,62,79,32,1.4,30,22
2015-03-15,90,¡º,67,75,30,1.2,23,39
2015-03-16,60,¡º,43,63,25,1.1,21,46
2015-03-17,70,¡º,51,74,43,1.1,22,61
2015-03-18,42,”≈,29,42,21,1.1,17,39
2015-03-19,58,¡º,41,57,26,1.1,20,56
2015-03-20,49,”≈,32,49,28,1,13,45
2015-03-21,56,¡º,39,61,40,0.9,17,92
2015-03-22,92,¡º,69,99,42,1,19,85
2015-03-23,76,¡º,56,73,34,1,15,97
2015-03-24,108,«·∂»Œ€»æ,82,118,32,1,14,101
2015-03-25,96,¡º,72,117,32,1.1,16,119
2015-03-26,94,¡º,70,81,41,1.1,25,79
2015-03-27,54,¡º,28,31,18,0.9,13,62
2015-03-28,93,¡º,69,95,59,1.1,31,47
