»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,92,¡º,68,134,42,4.2,46,89
2015-01-01,118,«·∂»Œ€»æ,72,185,47,4.5,41,72
2015-01-02,112,«·∂»Œ€»æ,82,175,89,5.7,52,69
2015-01-03,116,«·∂»Œ€»æ,87,176,61,6.7,49,58
2015-01-04,115,«·∂»Œ€»æ,87,172,57,5.2,50,87
2015-01-05,81,¡º,60,106,44,5.8,36,60
2015-01-06,160,÷–∂»Œ€»æ,122,184,31,9.2,31,30
2015-01-07,102,«·∂»Œ€»æ,76,114,17,8.8,32,15
2015-01-08,104,«·∂»Œ€»æ,78,129,37,5.8,29,68
2015-01-09,114,«·∂»Œ€»æ,86,164,47,4.2,34,82
2015-01-10,102,«·∂»Œ€»æ,77,110,35,2.9,33,61
2015-01-11,82,¡º,61,91,29,3,30,34
2015-01-12,75,¡º,55,73,19,2.8,29,31
2015-01-13,54,¡º,38,52,12,1.6,24,24
2015-01-14,79,¡º,59,83,17,1.4,27,45
2015-01-15,71,¡º,52,91,26,1.6,33,58
2015-01-16,97,¡º,72,122,33,1.9,33,76
2015-01-17,164,÷–∂»Œ€»æ,125,202,35,2.2,57,56
2015-01-18,140,«·∂»Œ€»æ,107,180,39,2.3,49,90
2015-01-19,125,«·∂»Œ€»æ,95,177,29,3.5,54,93
2015-01-20,124,«·∂»Œ€»æ,94,172,34,2.5,45,44
2015-01-21,117,«·∂»Œ€»æ,89,148,39,2.5,42,91
2015-01-22,119,«·∂»Œ€»æ,90,170,41,2.9,49,70
2015-01-23,93,¡º,67,136,34,2.4,47,133
2015-01-24,74,¡º,45,98,21,2.3,41,96
2015-01-25,115,«·∂»Œ€»æ,87,142,27,2.4,41,81
2015-01-26,196,÷–∂»Œ€»æ,147,244,19,3.3,46,22
2015-01-27,122,«·∂»Œ€»æ,93,157,17,3.4,38,18
2015-01-28,33,”≈,20,32,16,3.3,27,17
2015-01-29,23,”≈,16,23,10,2.1,24,31
2015-01-30,46,”≈,31,46,12,1.3,24,17
2015-01-31,50,”≈,35,46,13,1.2,28,18
2015-02-01,55,¡º,38,60,12,1.1,30,18
2015-02-02,81,¡º,49,112,12,1.2,29,13
2015-02-03,54,¡º,30,58,11,1.4,31,21
2015-02-04,108,«·∂»Œ€»æ,82,119,19,1.8,44,33
2015-02-05,145,«·∂»Œ€»æ,111,169,28,2.1,49,43
2015-02-06,115,«·∂»Œ€»æ,87,153,25,1.7,47,85
2015-02-07,133,«·∂»Œ€»æ,101,164,33,1.6,64,50
2015-02-08,140,«·∂»Œ€»æ,107,161,34,1.8,58,97
2015-02-09,130,«·∂»Œ€»æ,99,158,27,2,53,69
2015-02-10,162,÷–∂»Œ€»æ,123,191,34,2,60,52
2015-02-11,166,÷–∂»Œ€»æ,127,186,29,1.9,47,85
2015-02-12,125,«·∂»Œ€»æ,95,148,20,1.2,38,85
2015-02-13,90,¡º,67,109,20,1,39,94
2015-02-14,103,«·∂»Œ€»æ,77,105,13,1.1,36,84
2015-02-15,51,¡º,36,49,9,1.2,23,82
2015-02-16,84,¡º,63,89,12,1.7,22,66
2015-02-17,115,«·∂»Œ€»æ,87,120,12,1.7,25,62
2015-02-18,115,«·∂»Œ€»æ,87,101,11,1.6,22,41
2015-02-19,121,«·∂»Œ€»æ,92,121,28,1.3,9,54
2015-02-20,42,”≈,27,42,3,1,2,71
2015-02-21,31,”≈,20,27,4,1.3,10,61
2015-02-22,62,¡º,44,60,8,1.4,14,37
2015-02-23,73,¡º,53,66,8,1.5,15,42
2015-02-24,54,¡º,38,58,16,1.9,21,26
2015-02-25,58,¡º,41,67,8,1.9,17,19
2015-02-26,51,¡º,36,50,13,1.7,18,21
2015-02-27,40,”≈,27,40,5,1.7,15,18
2015-02-28,16,”≈,10,15,3,1.3,16,32
2015-03-01,66,¡º,48,61,7,0.9,16,38
