»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,48,”≈,25,48,29,0.7,27,70
2013-12-03,34,”≈,13,26,24,0.8,31,68
2013-12-04,53,¡º,33,56,43,1,46,45
2013-12-05,66,¡º,16,81,40,0.8,34,64
2013-12-06,52,¡º,25,54,44,1.1,47,60
2013-12-07,61,¡º,30,71,47,1,41,56
2013-12-08,54,¡º,17,59,17,0.5,14,60
2013-12-09,29,”≈,11,25,24,0.7,23,58
2013-12-10,38,”≈,10,38,17,0.6,17,72
2013-12-11,37,”≈,8,27,19,0.6,16,73
2013-12-12,38,”≈,11,29,31,0.7,18,75
2013-12-13,34,”≈,13,31,37,0.8,27,68
2013-12-14,44,”≈,14,44,15,0.5,17,80
2013-12-15,52,¡º,22,54,30,0.7,29,72
2013-12-16,54,¡º,30,59,37,0.9,39,62
2013-12-17,54,¡º,30,57,40,0.9,37,59
2013-12-18,48,”≈,26,48,39,1,42,62
2013-12-19,57,¡º,38,63,44,1.4,49,51
2013-12-20,47,”≈,26,47,22,1,41,57
2013-12-21,56,¡º,33,62,21,1.1,44,56
2013-12-22,70,¡º,51,91,27,1.5,53,58
2013-12-23,82,¡º,61,105,42,1.6,64,53
2013-12-24,77,¡º,56,93,30,1.5,62,44
2013-12-25,49,”≈,19,49,9,0.6,19,74
2013-12-26,33,”≈,7,14,6,0.5,21,66
2013-12-27,36,”≈,14,29,15,0.7,25,72
2013-12-28,38,”≈,6,17,7,0.5,18,76
2013-12-29,49,”≈,16,49,16,0.7,23,82
2013-12-30,90,¡º,22,129,10,0.5,14,81
2013-12-31,80,¡º,22,111,8,0.5,13,83
2014-01-01,40,”≈,10,25,10,0.6,21,79
2014-01-02,39,”≈,10,35,8,0.5,17,78
2014-01-03,39,”≈,12,31,8,0.6,22,77
2014-01-04,45,”≈,13,45,8,0.5,18,79
2014-01-05,49,”≈,19,49,19,1,39,63
2014-01-06,60,¡º,31,69,29,1.2,53,33
2014-01-07,45,”≈,20,45,26,0.8,29,70
2014-01-08,40,”≈,9,31,8,0.4,13,80
2014-01-09,32,”≈,12,25,30,0.9,34,63
2014-01-10,38,”≈,17,31,18,0.9,39,76
2014-01-11,42,”≈,14,33,13,0.6,27,83
2014-01-12,36,”≈,16,30,24,0.7,31,71
2014-01-13,42,”≈,18,42,23,0.9,39,68
2014-01-14,60,¡º,38,71,61,1.6,59,57
2014-01-15,75,¡º,43,99,48,1,53,57
2014-01-16,46,”≈,20,46,21,0.7,27,75
2014-01-17,41,”≈,9,41,14,0.6,26,77
2014-01-18,56,¡º,23,61,26,0.8,41,51
2014-01-19,111,«·∂»Œ€»æ,19,171,9,0.4,10,84
2014-01-20,40,”≈,8,26,8,0.4,14,80
2014-01-21,30,”≈,14,30,21,0.9,29,58
2014-01-22,67,¡º,37,85,37,1.1,50,55
2014-01-23,74,¡º,43,99,36,1.1,49,61
2014-01-24,77,¡º,34,104,38,0.9,35,56
2014-01-25,54,¡º,22,58,31,0.9,35,64
2014-01-26,61,¡º,30,71,29,0.9,36,74
2014-01-27,81,¡º,38,112,27,0.8,30,78
2014-01-28,52,¡º,14,55,26,0.7,24,76
2014-01-29,75,¡º,27,100,22,0.6,21,88
2014-01-30,44,”≈,16,44,17,0.6,19,85
2014-01-31,87,¡º,64,125,51,1.3,34,89
2014-02-01,56,¡º,23,62,23,0.6,15,86
2014-02-02,101,«·∂»Œ€»æ,23,152,21,0.5,14,80
2014-02-03,46,”≈,10,46,22,0.5,13,78
2014-02-04,36,”≈,11,36,20,0.6,13,70
2014-02-05,72,¡º,53,87,46,1.2,35,59
2014-02-06,126,«·∂»Œ€»æ,96,120,50,1.5,39,46
2014-02-07,41,”≈,16,27,10,0.5,14,82
2014-02-08,38,”≈,14,27,28,0.7,21,75
2014-02-09,38,”≈,12,19,21,0.7,18,75
2014-02-10,38,”≈,20,29,22,0.8,26,75
2014-02-11,50,”≈,30,51,32,0.8,24,87
2014-02-12,70,¡º,51,87,30,1.2,36,80
2014-02-13,90,¡º,67,105,31,0.9,29,99
2014-02-14,95,¡º,71,103,24,1,29,97
2014-02-15,63,¡º,32,76,22,0.8,29,85
2014-02-16,64,¡º,31,78,42,0.9,37,69
2014-02-17,96,¡º,72,110,53,1.2,43,80
2014-02-18,118,«·∂»Œ€»æ,90,114,24,1,24,81
2014-02-19,45,”≈,14,34,18,0.5,29,89
2014-02-20,63,¡º,28,77,26,0.7,34,73
2014-02-21,78,¡º,58,95,36,0.9,39,108
2014-02-22,123,«·∂»Œ€»æ,94,131,39,1.2,42,105
2014-02-23,124,«·∂»Œ€»æ,94,132,32,1.2,37,102
2014-02-24,128,«·∂»Œ€»æ,97,136,53,1.3,37,91
