»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,84,¡º,44,117,18,0.9,29,67
2015-01-01,76,¡º,44,102,28,1,43,45
2015-01-02,82,¡º,60,110,51,1.4,55,33
2015-01-03,111,«·∂»Œ€»æ,84,137,71,1.9,70,42
2015-01-04,147,«·∂»Œ€»æ,112,169,115,2.2,65,80
2015-01-05,157,÷–∂»Œ€»æ,120,207,70,2.2,71,55
2015-01-06,238,÷ÿ∂»Œ€»æ,188,238,32,2.7,54,39
2015-01-07,150,«·∂»Œ€»æ,115,167,29,2.7,59,36
2015-01-08,180,÷–∂»Œ€»æ,136,203,50,3.1,67,62
2015-01-09,213,÷ÿ∂»Œ€»æ,163,247,58,3.2,85,54
2015-01-10,215,÷ÿ∂»Œ€»æ,165,241,45,2.7,74,59
2015-01-11,198,÷–∂»Œ€»æ,148,223,51,2.6,85,70
2015-01-12,206,÷ÿ∂»Œ€»æ,156,222,54,2.5,91,34
2015-01-13,124,«·∂»Œ€»æ,94,145,31,1.9,52,45
2015-01-14,111,«·∂»Œ€»æ,84,130,17,1.9,49,55
2015-01-15,118,«·∂»Œ€»æ,90,150,45,2,51,50
2015-01-16,140,«·∂»Œ€»æ,107,155,40,2.4,54,69
2015-01-17,143,«·∂»Œ€»æ,110,160,50,2.1,47,89
2015-01-18,147,«·∂»Œ€»æ,113,177,39,2.6,59,64
2015-01-19,163,÷–∂»Œ€»æ,124,195,40,3,58,79
2015-01-20,119,«·∂»Œ€»æ,90,143,55,3,64,65
2015-01-21,125,«·∂»Œ€»æ,95,182,41,2.8,57,63
2015-01-22,129,«·∂»Œ€»æ,98,154,74,2.3,50,67
2015-01-23,111,«·∂»Œ€»æ,84,129,86,2.2,63,48
2015-01-24,108,«·∂»Œ€»æ,81,164,52,2,57,61
2015-01-25,257,÷ÿ∂»Œ€»æ,207,264,20,2.7,59,31
2015-01-26,278,÷ÿ∂»Œ€»æ,228,292,23,3.1,51,21
2015-01-27,133,«·∂»Œ€»æ,102,154,15,2.3,29,42
2015-01-28,38,”≈,25,38,5,1.2,22,27
2015-01-29,67,¡º,49,63,12,1.5,28,26
2015-01-30,84,¡º,63,84,11,1.4,27,35
2015-01-31,106,«·∂»Œ€»æ,80,107,16,1.4,27,57
2015-02-01,124,«·∂»Œ€»æ,95,123,14,1.7,36,37
2015-02-02,114,«·∂»Œ€»æ,87,113,21,1.8,42,21
2015-02-03,130,«·∂»Œ€»æ,99,126,29,2.1,32,38
2015-02-04,209,÷ÿ∂»Œ€»æ,159,206,41,2.2,50,89
2015-02-05,226,÷ÿ∂»Œ€»æ,176,257,49,1.8,53,94
2015-02-06,125,«·∂»Œ€»æ,95,144,49,1.2,62,90
2015-02-07,162,÷–∂»Œ€»æ,123,179,53,1.8,77,58
2015-02-08,166,÷–∂»Œ€»æ,126,182,38,1.3,43,77
2015-02-09,63,¡º,41,77,40,1.1,44,64
2015-02-10,89,¡º,66,105,55,1.4,54,70
2015-02-11,147,«·∂»Œ€»æ,112,171,36,1.7,52,89
2015-02-12,186,÷–∂»Œ€»æ,140,201,46,1.7,58,98
2015-02-13,168,÷–∂»Œ€»æ,128,192,49,1.6,53,112
2015-02-14,166,÷–∂»Œ€»æ,126,216,53,1.8,50,96
2015-02-15,122,«·∂»Œ€»æ,92,136,24,1.8,43,54
2015-02-16,162,÷–∂»Œ€»æ,124,193,17,1.9,39,89
2015-02-17,209,÷ÿ∂»Œ€»æ,159,229,54,2,41,131
2015-02-18,177,÷–∂»Œ€»æ,134,193,39,1.7,31,112
2015-02-19,154,÷–∂»Œ€»æ,118,172,47,1.4,27,71
2015-02-20,64,¡º,46,68,18,1.2,16,57
2015-02-21,74,¡º,54,68,7,1.4,19,57
2015-02-22,123,«·∂»Œ€»æ,93,127,7,1.5,22,49
2015-02-23,98,¡º,73,105,10,1.4,20,53
2015-02-24,105,«·∂»Œ€»æ,79,121,9,1.7,21,42
2015-02-25,79,¡º,58,85,7,1.7,24,35
2015-02-26,54,¡º,38,58,15,1.3,21,49
2015-02-27,49,”≈,31,49,13,1,18,55
2015-02-28,28,”≈,16,28,2,0.7,16,54
2015-03-01,74,¡º,54,75,22,1.3,34,62
2015-03-02,93,¡º,69,96,29,1.4,36,72
2015-03-03,97,¡º,65,145,15,1.2,27,74
2015-03-04,70,¡º,49,90,49,1,28,75
2015-03-05,59,¡º,41,68,11,0.8,20,60
2015-03-06,113,«·∂»Œ€»æ,85,115,16,1,32,50
2015-03-07,98,¡º,73,109,29,1.2,37,73
2015-03-08,72,¡º,52,84,20,1.3,36,63
2015-03-09,119,«·∂»Œ€»æ,90,124,21,1.4,36,85
2015-03-10,148,«·∂»Œ€»æ,114,152,20,1.1,34,83
2015-03-11,77,¡º,57,94,48,1.2,52,73
2015-03-12,99,¡º,74,112,33,1.1,36,93
2015-03-13,99,¡º,74,121,41,1.3,42,63
2015-03-14,102,«·∂»Œ€»æ,76,139,36,1.1,46,42
2015-03-15,137,«·∂»Œ€»æ,105,142,19,1.5,40,28
2015-03-16,108,«·∂»Œ€»æ,82,123,27,1.6,39,41
2015-03-17,85,¡º,48,119,34,1.7,23,30
2015-03-18,30,”≈,18,30,10,1.5,21,29
2015-03-19,48,”≈,32,48,8,1.2,24,29
2015-03-20,55,¡º,39,54,5,1.1,25,42
2015-03-21,104,«·∂»Œ€»æ,78,106,17,1.4,36,90
2015-03-22,97,¡º,73,114,30,1.3,41,89
2015-03-23,79,¡º,58,108,19,0.9,33,110
2015-03-24,77,¡º,50,104,39,0.9,35,91
2015-03-25,71,¡º,47,93,41,1.2,46,96
2015-03-26,68,¡º,50,85,37,1.2,44,78
2015-03-27,80,¡º,56,76,5,1.1,23,81
2015-03-28,83,¡º,62,92,15,1.5,47,75
2015-03-29,112,«·∂»Œ€»æ,84,134,15,1.7,43,61
2015-03-30,63,¡º,45,75,11,1.5,24,56
2015-03-31,82,¡º,60,93,18,2,22,77
2015-04-01,80,¡º,59,101,73,1.8,26,123
2015-04-02,50,”≈,31,51,11,1.5,21,66
2015-04-03,61,¡º,42,72,17,1.4,29,61
2015-04-04,53,¡º,37,52,7,1.6,22,59
2015-04-05,45,”≈,32,45,3,1.4,17,62
2015-04-06,57,¡º,41,54,3,1.5,16,81
2015-04-07,65,¡º,47,71,4,1.7,14,69
2015-04-08,47,”≈,29,47,22,1.2,19,91
2015-04-09,71,¡º,52,82,24,0.8,36,71
2015-04-10,98,¡º,74,106,16,1.3,44,126
2015-04-11,122,«·∂»Œ€»æ,92,136,30,1.3,51,165
2015-04-12,89,¡º,63,128,13,1.1,31,108
2015-04-13,65,¡º,28,80,8,0.9,25,113
2015-04-14,84,¡º,47,88,21,1.1,26,141
2015-04-15,90,¡º,67,115,41,1.5,49,103
2015-04-16,114,«·∂»Œ€»æ,86,127,31,1.3,34,131
2015-04-17,111,«·∂»Œ€»æ,84,151,41,1.4,37,120
2015-04-18,108,«·∂»Œ€»æ,81,125,40,1.5,34,112
2015-04-19,46,”≈,30,46,4,1.2,13,73
