»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,101,«·∂»Œ€»æ,76,100,17,0.9,46,60
2015-01-01,87,¡º,65,86,24,1,44,48
2015-01-02,78,¡º,57,88,38,1.3,50,39
2015-01-03,111,«·∂»Œ€»æ,63,172,23,1.3,45,49
2015-01-04,89,¡º,64,128,30,1.2,50,42
2015-01-05,81,¡º,60,92,24,1.2,43,45
2015-01-06,154,÷–∂»Œ€»æ,81,258,19,1.3,42,34
2015-01-07,161,÷–∂»Œ€»æ,73,272,26,1.1,44,46
2015-01-08,68,¡º,46,85,39,1.2,46,39
2015-01-09,75,¡º,55,91,22,1.1,43,47
2015-01-10,82,¡º,60,99,31,1.2,49,43
2015-01-11,128,«·∂»Œ€»æ,83,205,54,1.8,55,41
2015-01-12,85,¡º,57,119,24,1.2,46,41
2015-01-13,110,«·∂»Œ€»æ,75,169,25,1.3,45,51
2015-01-14,96,¡º,61,141,24,1.1,38,49
2015-01-15,84,¡º,57,118,18,0.9,39,51
2015-01-16,74,¡º,49,97,20,0.9,37,51
2015-01-17,92,¡º,44,135,14,0.6,28,53
2015-01-18,69,¡º,50,82,30,1,43,47
2015-01-19,71,¡º,43,92,28,0.9,42,41
2015-01-20,63,¡º,46,75,27,1,36,78
2015-01-21,89,¡º,66,96,27,1.5,51,38
2015-01-22,85,¡º,56,121,23,0.9,38,48
2015-01-23,103,«·∂»Œ€»æ,60,157,28,0.8,42,44
2015-01-24,101,«·∂»Œ€»æ,65,151,20,0.6,46,50
2015-01-25,71,¡º,48,93,14,0.4,34,58
2015-01-26,72,¡º,51,95,14,0.4,28,56
2015-01-27,108,«·∂»Œ€»æ,58,166,9,1.3,19,48
2015-01-28,62,¡º,45,73,16,0.7,22,58
2015-01-29,103,«·∂»Œ€»æ,72,156,24,1.3,34,42
2015-01-30,60,¡º,43,61,12,0.8,26,52
2015-01-31,71,¡º,52,79,19,1,33,46
2015-02-01,107,«·∂»Œ€»æ,80,124,24,1.4,39,50
2015-02-02,110,«·∂»Œ€»æ,83,122,26,1.4,40,58
2015-02-03,84,¡º,62,99,16,0.9,26,49
2015-02-04,75,¡º,51,101,10,0.9,27,48
2015-02-05,83,¡º,61,109,23,1.4,37,41
2015-02-06,131,«·∂»Œ€»æ,61,212,18,0.8,29,48
2015-02-07,102,«·∂»Œ€»æ,56,154,12,0.9,32,52
2015-02-08,87,¡º,63,123,17,1,36,54
2015-02-09,103,«·∂»Œ€»æ,67,157,30,1,35,52
2015-02-10,151,÷–∂»Œ€»æ,73,251,24,1,34,43
2015-02-11,75,¡º,55,86,29,1.1,37,44
2015-02-12,78,¡º,58,89,28,1,42,45
2015-02-13,69,¡º,49,87,26,1.1,41,47
2015-02-14,194,÷–∂»Œ€»æ,61,338,16,0.6,21,43
2015-02-15,64,¡º,32,77,23,0.7,27,46
2015-02-16,57,¡º,32,64,33,1.3,33,41
2015-02-17,62,¡º,45,64,16,0.9,30,46
2015-02-18,143,«·∂»Œ€»æ,79,235,25,0.9,26,43
2015-02-19,138,«·∂»Œ€»æ,105,217,45,0.8,23,53
2015-02-20,97,¡º,45,144,19,0.6,19,54
2015-02-21,68,¡º,28,85,6,0.4,14,54
2015-02-22,147,«·∂»Œ€»æ,63,244,15,0.9,26,42
2015-02-23,95,¡º,63,139,33,1.2,32,45
2015-02-24,76,¡º,34,102,12,0.4,17,56
2015-02-25,33,”≈,23,32,9,0.5,20,53
2015-02-26,55,¡º,31,60,13,0.5,18,48
2015-02-27,64,¡º,34,78,24,0.7,20,42
2015-02-28,57,¡º,36,64,23,0.7,28,47
2015-03-01,92,¡º,41,134,19,0.6,27,48
2015-03-02,85,¡º,47,121,20,0.6,22,48
2015-03-03,73,¡º,47,97,10,0.7,24,52
2015-03-04,80,¡º,47,110,15,0.7,29,52
2015-03-05,91,¡º,53,132,35,0.7,27,52
2015-03-06,125,«·∂»Œ€»æ,66,200,29,0.8,35,50
2015-03-07,111,«·∂»Œ€»æ,54,172,31,0.6,27,51
2015-03-08,173,÷–∂»Œ€»æ,76,297,22,0.8,24,55
2015-03-09,158,÷–∂»Œ€»æ,81,266,17,0.5,21,45
2015-03-10,96,¡º,57,142,27,0.8,32,49
2015-03-11,85,¡º,50,119,19,0.8,35,85
2015-03-12,130,«·∂»Œ€»æ,59,210,9,0.5,23,99
2015-03-13,158,÷–∂»Œ€»æ,55,265,9,0.5,20,92
2015-03-14,100,¡º,48,149,12,0.7,34,100
2015-03-15,158,÷–∂»Œ€»æ,68,266,17,0.6,33,93
2015-03-16,209,÷ÿ∂»Œ€»æ,91,356,11,0.7,32,92
2015-03-17,76,¡º,47,102,16,0.7,35,104
2015-03-18,81,¡º,48,111,16,0.7,33,104
2015-03-19,75,¡º,41,100,19,0.6,31,105
2015-03-20,139,«·∂»Œ€»æ,65,228,15,0.6,33,103
2015-03-21,135,«·∂»Œ€»æ,63,221,15,0.8,40,100
2015-03-22,68,¡º,36,86,7,0.5,29,103
2015-03-23,81,¡º,43,112,25,0.9,43,99
2015-03-24,82,¡º,46,114,12,0.9,46,116
2015-03-25,80,¡º,47,111,14,0.9,41,103
2015-03-26,116,«·∂»Œ€»æ,54,182,18,0.8,44,100
2015-03-27,107,«·∂»Œ€»æ,51,166,13,0.4,25,98
2015-03-28,102,«·∂»Œ€»æ,53,154,17,1,46,106
2015-03-29,91,¡º,50,132,14,0.9,37,112
2015-03-30,70,¡º,37,90,6,0.5,26,107
2015-04-02,106,«·∂»Œ€»æ,57,161,4,0.8,20,86
2015-04-03,178,÷–∂»Œ€»æ,80,306,4,0.9,25,74
2015-04-04,83,¡º,41,116,8,0.7,23,122
2015-04-05,83,¡º,42,117,4,0.6,21,116
2015-04-06,125,«·∂»Œ€»æ,57,201,7,0.6,20,110
2015-04-07,118,«·∂»Œ€»æ,64,186,9,0.8,30,124
2015-04-08,108,«·∂»Œ€»æ,53,166,11,1,28,125
2015-04-09,76,¡º,41,102,9,0.9,33,129
2015-04-10,121,«·∂»Œ€»æ,46,191,9,0.5,25,125
2015-04-11,73,¡º,32,76,13,0.6,28,128
2015-04-12,70,¡º,31,63,12,0.7,29,124
2015-04-13,111,«·∂»Œ€»æ,47,172,12,0.7,36,122
2015-04-14,176,÷–∂»Œ€»æ,72,302,11,0.5,24,122
2015-04-15,140,«·∂»Œ€»æ,71,230,5,0.5,20,133
2015-04-16,148,«·∂»Œ€»æ,63,246,5,0.6,22,118
2015-04-17,99,¡º,56,149,4,0.4,23,113
2015-04-18,71,¡º,52,77,9,0.8,25,105
2015-04-19,84,¡º,56,118,16,0.8,33,139
2015-04-20,83,¡º,46,97,12,0.7,25,139
2015-04-21,88,¡º,40,92,8,1.3,40,145
2015-04-22,84,¡º,33,94,9,0.6,27,141
2015-04-23,95,¡º,35,77,13,0.7,34,154
2015-04-24,96,¡º,35,75,10,0.6,27,155
2015-04-25,89,¡º,36,129,9,0.6,27,147
2015-04-26,90,¡º,32,87,7,0.7,32,148
2015-04-27,88,¡º,38,97,6,0.9,32,145
2015-04-28,328,—œ÷ÿŒ€»æ,117,442,6,0.8,22,122
2015-04-29,135,«·∂»Œ€»æ,49,220,4,0.6,14,123
2015-04-30,81,¡º,37,80,5,0.6,19,137
2015-05-01,88,¡º,33,48,7,0.8,21,146
2015-05-02,87,¡º,25,47,4,0.6,27,144
2015-05-03,85,¡º,26,79,3,0.5,23,142
2015-05-04,98,¡º,32,90,5,0.7,25,157
2015-05-05,115,«·∂»Œ€»æ,44,181,6,0.6,22,145
2015-05-06,231,÷ÿ∂»Œ€»æ,97,371,7,0.7,20,144
2015-05-07,91,¡º,45,112,4,0.6,18,149
2015-05-08,216,÷ÿ∂»Œ€»æ,68,362,4,0.5,18,134
2015-05-09,111,«·∂»Œ€»æ,64,172,6,0.6,18,137
