»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,139,«·∂»Œ€»æ,106,173,66,1.3,89,75
2013-12-03,143,«·∂»Œ€»æ,110,166,48,1.5,82,77
2013-12-04,236,÷ÿ∂»Œ€»æ,186,221,68,1.8,90,46
2013-12-05,292,÷ÿ∂»Œ€»æ,242,253,59,2.2,97,89
2013-12-06,329,—œ÷ÿŒ€»æ,279,323,88,1.9,102,80
2013-12-07,484,—œ÷ÿŒ€»æ,475,513,82,2.8,114,73
2013-12-08,345,—œ÷ÿŒ€»æ,295,330,56,2,79,94
2013-12-09,288,÷ÿ∂»Œ€»æ,238,286,55,1.9,67,36
2013-12-10,143,«·∂»Œ€»æ,109,145,45,1.3,53,65
2013-12-11,156,÷–∂»Œ€»æ,119,152,61,1.3,69,54
2013-12-12,206,÷ÿ∂»Œ€»æ,156,178,85,1.4,77,34
2013-12-13,216,÷ÿ∂»Œ€»æ,166,151,74,1.2,73,65
2013-12-14,265,÷ÿ∂»Œ€»æ,215,253,104,1.6,103,39
2013-12-15,238,÷ÿ∂»Œ€»æ,188,188,75,1.2,89,22
2013-12-16,49,”≈,34,13,14,0.6,36,59
2013-12-17,40,”≈,28,8,24,0.7,47,9
2013-12-18,54,¡º,38,57,32,0.8,41,46
2013-12-19,155,÷–∂»Œ€»æ,118,125,46,1.1,49,36
2013-12-20,211,÷ÿ∂»Œ€»æ,161,166,60,1.4,59,67
2013-12-21,202,÷ÿ∂»Œ€»æ,152,177,62,1.3,69,70
2013-12-22,169,÷–∂»Œ€»æ,128,155,55,1.3,69,54
2013-12-23,194,÷–∂»Œ€»æ,145,155,64,1.5,70,45
2013-12-24,205,÷ÿ∂»Œ€»æ,155,173,72,1.7,76,53
2013-12-25,234,÷ÿ∂»Œ€»æ,184,192,76,2,78,55
2013-12-26,252,÷ÿ∂»Œ€»æ,202,234,73,1.8,72,38
2013-12-27,131,«·∂»Œ€»æ,100,152,52,1,48,41
2013-12-28,115,«·∂»Œ€»æ,87,126,55,1,57,40
2013-12-29,122,«·∂»Œ€»æ,92,125,55,1,59,45
2013-12-30,153,÷–∂»Œ€»æ,117,154,74,1.3,70,37
2013-12-31,137,«·∂»Œ€»æ,104,138,76,1.3,60,62
2014-01-01,144,«·∂»Œ€»æ,110,138,65,1.5,70,72
2014-01-02,213,÷ÿ∂»Œ€»æ,163,205,86,2,97,47
2014-01-03,215,÷ÿ∂»Œ€»æ,165,210,87,1.7,85,40
2014-01-04,260,÷ÿ∂»Œ€»æ,210,241,72,1.9,77,32
2014-01-05,308,—œ÷ÿŒ€»æ,258,310,81,1.9,90,72
2014-01-06,206,÷ÿ∂»Œ€»æ,156,191,78,1.4,77,94
2014-01-07,125,«·∂»Œ€»æ,95,66,51,1.2,65,36
2014-01-08,85,¡º,63,33,36,1.1,46,20
2014-01-09,73,¡º,53,44,33,0.7,35,35
2014-01-10,107,«·∂»Œ€»æ,80,96,41,0.9,51,55
2014-01-11,90,¡º,67,47,30,0.9,54,20
2014-01-12,79,¡º,58,11,28,1.1,51,7
2014-01-13,181,÷–∂»Œ€»æ,136,96,51,1.3,49,49
2014-01-14,121,«·∂»Œ€»æ,92,109,47,0.9,46,63
2014-01-15,129,«·∂»Œ€»æ,98,113,42,0.9,49,62
2014-01-16,145,«·∂»Œ€»æ,111,103,68,1.2,70,49
2014-01-17,203,÷ÿ∂»Œ€»æ,153,184,61,1.7,84,23
2014-01-18,246,÷ÿ∂»Œ€»æ,196,206,49,1.6,60,78
2014-01-19,253,÷ÿ∂»Œ€»æ,203,234,63,1.8,73,77
2014-01-20,199,÷–∂»Œ€»æ,149,206,51,1.7,68,36
2014-01-21,114,«·∂»Œ€»æ,85,178,43,1.3,46,33
2014-01-22,92,¡º,69,92,37,1,45,59
2014-01-23,130,«·∂»Œ€»æ,99,116,34,1.1,56,64
2014-01-24,138,«·∂»Œ€»æ,105,111,35,1.3,55,65
2014-01-25,216,÷ÿ∂»Œ€»æ,166,115,59,1.6,61,43
2014-01-26,153,÷–∂»Œ€»æ,117,113,24,1.1,28,77
2014-01-27,94,¡º,70,91,29,0.8,43,52
2014-01-28,149,«·∂»Œ€»æ,114,92,27,1,38,66
2014-01-29,173,÷–∂»Œ€»æ,131,81,33,1,36,85
2014-01-30,283,÷ÿ∂»Œ€»æ,233,178,54,1.4,34,112
2014-01-31,355,—œ÷ÿŒ€»æ,305,342,37,1,24,100
2014-02-01,97,¡º,73,74,20,0.8,20,99
2014-02-02,138,«·∂»Œ€»æ,105,84,15,1,26,111
2014-02-03,100,¡º,75,69,6,1.1,20,57
2014-02-04,53,¡º,34,55,5,0.4,7,62
2014-02-05,39,”≈,27,37,6,0.4,8,60
2014-02-06,60,¡º,43,29,6,0.5,15,42
