»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,135,«·∂»Œ€»æ,103,161,72,1.8,62,77
2014-01-01,169,÷–∂»Œ€»æ,128,178,80,1.8,65,85
2014-01-02,218,÷ÿ∂»Œ€»æ,168,237,87,0.9,116,72
2014-01-03,284,÷ÿ∂»Œ€»æ,234,303,107,0.9,137,41
2014-01-04,176,÷–∂»Œ€»æ,133,208,55,2,54,36
2014-01-05,225,÷ÿ∂»Œ€»æ,175,243,74,1.2,72,65
2014-01-06,103,«·∂»Œ€»æ,78,119,44,1.9,49,80
2014-01-07,84,¡º,62,84,36,1.9,59,53
2014-01-08,97,¡º,72,60,18,1.6,28,55
2014-01-09,69,¡º,51,80,34,1.6,29,64
2014-01-10,108,«·∂»Œ€»æ,82,122,55,1.9,46,72
2014-01-11,111,«·∂»Œ€»æ,84,113,51,2.1,49,26
2014-01-12,172,÷–∂»Œ€»æ,130,157,41,1.9,40,64
2014-01-13,146,«·∂»Œ€»æ,112,146,35,1.5,30,53
2014-01-14,91,¡º,68,116,36,1.9,39,79
2014-01-15,133,«·∂»Œ€»æ,101,131,49,1.8,53,65
2014-01-16,142,«·∂»Œ€»æ,109,115,49,2,52,64
2014-01-17,262,÷ÿ∂»Œ€»æ,212,219,58,0.9,71,55
2014-01-18,274,÷ÿ∂»Œ€»æ,224,265,55,0.8,44,65
2014-01-20,208,÷ÿ∂»Œ€»æ,158,258,48,0.9,40,66
2014-01-21,92,¡º,54,133,51,1.9,36,37
2014-01-22,92,¡º,68,100,48,1.6,39,61
2014-01-23,124,«·∂»Œ€»æ,94,123,51,1.9,40,67
2014-01-24,121,«·∂»Œ€»æ,91,123,43,1.9,54,73
2014-01-25,205,÷ÿ∂»Œ€»æ,155,200,44,1.8,46,50
2014-01-26,78,¡º,57,89,18,1.6,17,76
2014-01-27,70,¡º,43,90,38,1.6,26,55
2014-01-28,136,«·∂»Œ€»æ,104,138,29,1.7,29,81
2014-01-29,111,«·∂»Œ€»æ,83,110,20,1.7,24,62
2014-01-30,224,÷ÿ∂»Œ€»æ,174,247,24,2,34,54
2014-01-31,256,÷ÿ∂»Œ€»æ,206,268,21,1.9,24,81
2014-02-01,166,÷–∂»Œ€»æ,126,142,30,1.8,30,88
2014-02-02,251,÷ÿ∂»Œ€»æ,201,271,14,2.1,41,38
2014-02-03,117,«·∂»Œ€»æ,89,160,10,1.8,24,73
2014-02-04,57,¡º,34,63,16,1.6,7,86
2014-02-05,39,”≈,21,30,11,1.7,12,77
2014-02-06,32,”≈,10,10,6,1.7,10,64
2014-02-07,63,¡º,45,49,12,1.7,14,52
2014-02-08,87,¡º,64,86,27,1.6,17,71
2014-02-09,88,¡º,66,78,34,1.5,23,57
2014-02-10,48,”≈,34,44,22,1.4,10,75
2014-02-11,71,¡º,52,80,28,1.5,15,85
2014-02-12,98,¡º,73,70,17,1.2,19,77
2014-02-13,79,¡º,58,67,19,1.2,22,78
