»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,78,¡º,38,74,70,1.6,26,134
2014-01-01,83,¡º,42,100,111,1.9,33,139
2014-01-02,95,¡º,67,123,111,1.9,34,154
2014-01-03,131,«·∂»Œ€»æ,53,212,103,3.1,29,97
2014-01-04,103,«·∂»Œ€»æ,73,157,166,2.3,47,81
2014-01-05,95,¡º,63,141,85,2.1,34,73
2014-01-06,56,¡º,26,63,21,1.2,11,85
2014-01-07,42,”≈,21,42,27,2,13,77
2014-01-08,68,¡º,44,87,45,1.5,26,58
2014-01-09,72,¡º,52,95,60,1.6,27,75
2014-01-10,68,¡º,45,86,44,2,25,88
2014-01-11,105,«·∂»Œ€»æ,46,107,97,1.6,30,166
2014-01-12,89,¡º,65,128,134,1.7,40,68
2014-01-13,70,¡º,49,91,65,1.6,32,61
2014-01-14,93,¡º,70,113,40,1.6,27,43
2014-01-15,89,¡º,66,111,100,1.9,27,94
2014-01-16,88,¡º,66,111,133,1.5,28,69
2014-01-17,74,¡º,50,97,248,1,27,73
2014-01-18,255,÷ÿ∂»Œ€»æ,63,388,59,1.1,16,79
2014-01-19,65,¡º,31,80,37,1.1,15,78
2014-01-20,69,¡º,46,88,164,1.6,36,72
2014-01-21,98,¡º,73,129,183,2,38,44
2014-01-22,111,«·∂»Œ€»æ,83,154,143,1.8,30,60
2014-01-23,111,«·∂»Œ€»æ,72,173,256,1.7,40,65
2014-01-24,75,¡º,48,99,133,1.6,32,66
2014-01-25,76,¡º,53,102,171,1.9,33,73
2014-01-26,114,«·∂»Œ€»æ,87,174,238,2.4,36,64
2014-01-27,82,¡º,47,115,68,1.6,27,71
2014-01-28,72,¡º,53,94,78,2.1,29,69
2014-01-29,92,¡º,48,133,165,1.6,28,71
2014-01-30,121,«·∂»Œ€»æ,92,178,242,2.2,40,64
2014-01-31,176,÷–∂»Œ€»æ,133,211,266,2.1,35,75
2014-02-01,114,«·∂»Œ€»æ,67,179,225,2.1,27,81
2014-02-02,138,«·∂»Œ€»æ,38,225,59,1.6,9,79
2014-02-03,45,”≈,17,45,116,1.5,13,79
2014-02-04,141,«·∂»Œ€»æ,48,232,104,1.6,14,67
2014-02-05,449,—œ÷ÿŒ€»æ,131,549,137,1.8,19,38
2014-02-06,132,«·∂»Œ€»æ,60,213,24,1.9,7,58
2014-02-07,111,«·∂»Œ€»æ,46,171,126,2,18,58
2014-02-08,76,¡º,35,101,85,2,13,56
2014-02-09,61,¡º,29,72,69,2,11,51
2014-02-10,111,«·∂»Œ€»æ,84,138,142,2.1,21,55
2014-02-11,99,¡º,72,148,70,1.2,21,79
2014-02-12,82,¡º,61,114,91,1.4,15,82
2014-02-13,83,¡º,50,117,79,1.6,16,86
2014-02-14,83,¡º,56,116,132,1.7,25,81
2014-02-15,68,¡º,34,86,60,1.4,15,86
2014-02-16,64,¡º,38,77,56,1.4,17,77
2014-02-17,121,«·∂»Œ€»æ,91,137,57,1.8,22,53
2014-02-18,66,¡º,27,82,54,0.8,15,89
2014-02-19,76,¡º,47,102,161,1.4,33,77
2014-02-20,97,¡º,72,130,175,2.1,36,55
2014-02-21,79,¡º,54,108,61,1.5,19,94
2014-02-22,87,¡º,64,122,64,1.6,18,114
2014-02-23,152,÷–∂»Œ€»æ,77,253,128,1.9,34,113
2014-02-24,121,«·∂»Œ€»æ,92,153,75,2,27,105
2014-02-25,143,«·∂»Œ€»æ,71,236,37,1.6,16,96
2014-02-26,97,¡º,28,145,58,1.2,12,87
2014-02-27,93,¡º,35,137,48,1.3,12,76
2014-02-28,67,¡º,23,85,51,1.4,11,83
2014-03-01,91,¡º,37,131,33,1.5,12,98
2014-03-02,104,«·∂»Œ€»æ,60,158,168,2,26,95
2014-03-03,73,¡º,16,96,18,1.3,5,92
2014-03-04,71,¡º,31,91,106,1,21,90
2014-03-05,61,¡º,26,72,53,1,12,92
2014-03-06,69,¡º,35,88,86,1.1,18,91
2014-03-07,61,¡º,28,73,79,1.2,20,94
2014-03-08,101,«·∂»Œ€»æ,52,153,113,1.5,28,100
2014-03-09,89,¡º,57,129,135,1.5,31,99
2014-03-10,195,÷–∂»Œ€»æ,74,339,131,1.6,28,104
2014-03-11,97,¡º,25,144,17,1.2,5,105
2014-03-12,52,¡º,22,54,15,1.4,10,94
2014-03-13,72,¡º,41,95,58,1.6,23,106
2014-03-14,82,¡º,47,115,84,1.6,25,102
2014-03-15,82,¡º,52,114,132,2.1,44,101
2014-03-16,176,÷–∂»Œ€»æ,57,301,35,1.5,18,105
2014-03-17,102,«·∂»Œ€»æ,42,155,50,1.5,19,99
2014-03-18,202,÷ÿ∂»Œ€»æ,91,351,58,1.6,14,96
2014-03-19,90,¡º,34,130,38,1.5,10,87
2014-03-20,350,—œ÷ÿŒ€»æ,103,460,130,1.7,17,88
2014-03-21,128,«·∂»Œ€»æ,63,206,33,2,16,103
2014-03-22,164,÷–∂»Œ€»æ,89,278,51,2.2,27,121
2014-03-23,143,«·∂»Œ€»æ,83,237,54,2.4,27,106
2014-03-24,111,«·∂»Œ€»æ,62,172,61,2.3,22,119
2014-03-25,97,¡º,61,143,74,2.8,35,116
2014-03-26,161,÷–∂»Œ€»æ,57,273,34,2.3,19,126
2014-03-27,365,—œ÷ÿŒ€»æ,71,472,7,2.1,5,123
2014-03-28,75,¡º,30,99,46,2.4,17,110
2014-03-29,73,¡º,29,96,34,2.5,19,103
2014-03-30,62,¡º,36,75,40,2.5,14,99
2014-03-31,66,¡º,39,82,24,2.8,17,111
2014-04-01,68,¡º,26,72,15,1.9,20,121
2014-04-02,63,¡º,18,51,20,0.9,13,115
2014-04-03,134,«·∂»Œ€»æ,58,218,43,1.1,18,116
2014-04-04,79,¡º,35,84,26,0.8,21,135
2014-04-05,77,¡º,45,104,45,0.7,24,129
2014-04-06,80,¡º,43,110,19,0.7,26,135
2014-04-07,88,¡º,36,83,51,0.9,29,146
2014-04-08,101,«·∂»Œ€»æ,43,99,32,0.9,26,161
2014-04-09,96,¡º,45,130,13,0.8,11,155
2014-04-10,82,¡º,41,93,7,0.9,11,138
2014-04-11,77,¡º,43,103,15,1.1,16,117
2014-04-12,63,¡º,32,69,34,1.2,21,116
2014-04-13,74,¡º,42,97,49,1.4,28,127
2014-04-14,85,¡º,44,119,17,1.3,15,117
