日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,91,良,68,120,45,1.3,41,126
2015-01-01,106,轻度污染,80,117,28,1.1,26,122
2015-01-02,123,轻度污染,94,148,27,1.4,39,120
2015-01-03,113,轻度污染,86,142,28,1.4,37,121
2015-01-04,102,轻度污染,77,122,11,1.3,45,87
2015-01-05,60,良,43,59,7,1.1,25,46
2015-01-06,54,良,38,59,9,1.2,27,26
2015-01-07,71,良,52,77,30,1.4,18,56
2015-01-08,74,良,54,75,38,1.5,21,80
2015-01-09,103,轻度污染,77,109,40,1.4,24,81
2015-01-10,55,良,39,53,20,1.1,17,52
2015-01-11,25,优,17,21,13,1.1,15,42
2015-01-12,22,优,14,20,14,0.8,11,44
2015-01-13,62,良,45,62,25,0.7,18,81
2015-01-14,69,良,50,75,23,0.9,23,87
2015-01-15,91,良,68,98,31,1.1,34,94
2015-01-16,94,良,70,108,25,1.1,36,95
2015-01-17,121,轻度污染,92,133,34,1.4,36,103
2015-01-18,125,轻度污染,95,134,25,1.2,36,120
2015-01-19,133,轻度污染,102,139,33,1.4,33,107
2015-01-20,135,轻度污染,103,152,23,1.3,46,134
2015-01-21,156,中度污染,119,173,35,1.7,44,115
2015-01-22,172,中度污染,131,183,33,2.1,45,120
2015-01-23,105,轻度污染,79,119,17,1.4,31,117
2015-01-24,60,良,36,70,9,1.4,18,98
2015-01-25,68,良,48,85,11,1.6,29,78
2015-01-26,72,良,52,84,11,1.7,28,65
2015-01-27,66,良,48,79,11,1.7,25,72
2015-01-28,63,良,46,74,9,1.5,20,86
2015-01-29,61,良,38,71,8,1.5,16,81
2015-01-30,48,优,27,48,22,2.3,22,38
2015-01-31,62,良,45,66,28,2.2,22,24
2015-02-01,62,良,45,59,23,2.4,21,21
2015-02-02,80,良,59,75,19,2.5,26,29
2015-02-03,125,轻度污染,95,126,32,3.1,36,24
2015-02-04,48,优,25,48,29,2.4,20,35
2015-02-05,111,轻度污染,84,101,38,2.5,23,65
2015-02-06,139,轻度污染,106,138,44,2.7,31,110
2015-02-07,179,中度污染,136,176,24,2.8,37,87
2015-02-08,146,轻度污染,112,153,41,2.7,31,124
2015-02-09,131,轻度污染,100,154,25,2.6,42,117
