»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,85,¡º,31,119,22,0.5,21,48
2015-01-01,60,¡º,37,70,44,0.6,26,41
2015-01-02,70,¡º,51,80,60,0.8,33,46
2015-01-03,67,¡º,36,83,61,0.9,34,52
2015-01-04,148,«·∂»Œ€»æ,114,159,53,1.4,48,46
2015-01-05,93,¡º,56,135,57,1.1,36,56
2015-01-06,60,¡º,34,70,39,0.6,29,57
2015-01-07,68,¡º,49,77,38,0.8,33,52
2015-01-08,88,¡º,65,88,53,1,39,44
2015-01-09,160,÷–∂»Œ€»æ,122,168,145,1.8,66,34
2015-01-10,109,«·∂»Œ€»æ,82,128,106,1.4,54,41
2015-01-11,143,«·∂»Œ€»æ,109,125,45,1,38,43
2015-01-12,108,«·∂»Œ€»æ,81,101,45,0.9,39,47
2015-01-13,79,¡º,58,93,84,1.1,51,44
2015-01-14,205,÷ÿ∂»Œ€»æ,155,191,41,1.2,46,49
2015-01-15,220,÷ÿ∂»Œ€»æ,170,210,50,1.5,53,49
2015-01-16,99,¡º,75,103,43,0.8,41,55
2015-01-17,67,¡º,49,82,69,0.7,45,48
2015-01-18,82,¡º,60,86,53,0.9,39,44
2015-01-19,81,¡º,60,76,39,0.7,32,57
2015-01-20,92,¡º,69,86,62,1.1,43,46
2015-01-21,162,÷–∂»Œ€»æ,123,159,50,1,41,77
2015-01-22,240,÷ÿ∂»Œ€»æ,190,225,61,1.6,69,58
2015-01-23,136,«·∂»Œ€»æ,104,129,62,1.2,49,44
2015-01-24,149,«·∂»Œ€»æ,114,140,50,1,40,67
2015-01-25,221,÷ÿ∂»Œ€»æ,171,228,100,1.9,73,53
2015-01-26,90,¡º,67,118,44,0.9,35,56
2015-01-27,53,¡º,37,56,42,0.6,29,52
2015-01-28,81,¡º,60,82,62,0.9,41,46
2015-01-29,131,«·∂»Œ€»æ,100,137,89,1.6,57,34
2015-01-30,65,¡º,47,66,38,0.7,32,62
2015-01-31,112,«·∂»Œ€»æ,85,114,100,1,51,44
2015-02-01,146,«·∂»Œ€»æ,112,135,123,1.6,60,43
2015-02-02,128,«·∂»Œ€»æ,97,139,73,1.3,55,60
2015-02-03,142,«·∂»Œ€»æ,109,153,56,1.3,56,82
2015-02-04,96,¡º,72,119,35,0.9,37,64
2015-02-05,115,«·∂»Œ€»æ,87,142,57,1,51,55
2015-02-06,94,¡º,70,125,106,1.4,64,41
2015-02-07,114,«·∂»Œ€»æ,15,179,18,0.3,13,65
2015-02-08,56,¡º,20,62,30,0.4,17,59
2015-02-09,75,¡º,55,99,73,1,43,54
2015-02-10,86,¡º,64,113,65,1.1,43,42
2015-02-11,89,¡º,66,116,45,1,37,60
2015-02-12,59,¡º,34,67,28,0.7,29,62
2015-02-13,74,¡º,51,98,84,0.9,48,49
