»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,146,«·∂»Œ€»æ,80,242,134,2.6,107,35
2013-12-03,73,¡º,48,96,67,1.7,50,65
2013-12-04,85,¡º,46,119,85,1.8,67,41
2013-12-05,84,¡º,52,118,87,1.8,48,56
2013-12-06,108,«·∂»Œ€»æ,81,142,91,1.8,76,31
2013-12-07,137,«·∂»Œ€»æ,104,174,97,2.1,82,31
2013-12-08,73,¡º,50,96,66,1.4,45,58
2013-12-09,70,¡º,38,91,49,1.4,41,56
2013-12-10,85,¡º,63,114,71,1.7,50,43
2013-12-11,70,¡º,47,90,71,1.6,48,44
2013-12-12,108,«·∂»Œ€»æ,82,140,82,1.6,63,43
2013-12-13,122,«·∂»Œ€»æ,93,150,91,1.6,72,37
2013-12-14,135,«·∂»Œ€»æ,103,177,89,1.7,73,45
2013-12-15,90,¡º,67,126,58,1.5,59,50
2013-12-16,110,«·∂»Œ€»æ,83,143,64,1.7,67,40
2013-12-17,192,÷–∂»Œ€»æ,145,206,85,1.7,76,33
2013-12-18,317,—œ÷ÿŒ€»æ,267,353,85,2.4,95,19
2013-12-19,344,—œ÷ÿŒ€»æ,294,385,94,2.4,97,19
2013-12-20,278,÷ÿ∂»Œ€»æ,228,316,84,1.9,91,22
2013-12-21,264,÷ÿ∂»Œ€»æ,214,307,96,1.5,93,22
2013-12-22,325,—œ÷ÿŒ€»æ,275,373,130,2.4,104,21
2013-12-23,315,—œ÷ÿŒ€»æ,265,355,135,2.7,101,25
2013-12-24,338,—œ÷ÿŒ€»æ,288,375,164,3.1,108,34
2013-12-25,269,÷ÿ∂»Œ€»æ,219,307,109,2.2,83,23
2013-12-26,71,¡º,47,91,50,1,43,62
2013-12-27,74,¡º,54,99,61,1.3,49,40
2013-12-28,106,«·∂»Œ€»æ,80,136,85,1.6,59,43
2013-12-29,127,«·∂»Œ€»æ,96,154,81,1.8,64,42
2013-12-30,90,¡º,67,122,72,1.8,47,66
2013-12-31,81,¡º,40,112,59,1.7,35,73
2014-01-01,76,¡º,46,102,77,1.7,42,52
2014-01-02,94,¡º,68,137,90,1.9,52,45
2014-01-03,86,¡º,52,122,62,1.8,41,67
2014-01-04,80,¡º,56,110,75,1.7,47,60
2014-01-05,92,¡º,68,126,112,2,53,63
2014-01-06,156,÷–∂»Œ€»æ,119,224,142,2.4,70,52
2014-01-07,147,«·∂»Œ€»æ,112,173,49,2.2,52,57
2014-01-08,62,¡º,30,75,39,1.5,27,72
2014-01-09,87,¡º,64,116,84,2,54,45
2014-01-10,143,«·∂»Œ€»æ,110,172,134,2.6,72,31
2014-01-11,136,«·∂»Œ€»æ,104,166,86,2.2,61,42
2014-01-12,88,¡º,51,126,51,1.6,44,58
2014-01-13,89,¡º,66,122,85,1.9,53,51
2014-01-14,131,«·∂»Œ€»æ,100,161,123,2.4,63,46
2014-01-15,208,÷ÿ∂»Œ€»æ,158,227,203,3,79,23
2014-01-16,214,÷ÿ∂»Œ€»æ,164,241,115,2.9,72,59
2014-01-17,165,÷–∂»Œ€»æ,126,190,84,2.6,66,69
2014-01-18,109,«·∂»Œ€»æ,83,133,100,2.4,56,57
2014-01-19,94,¡º,52,138,51,2,28,85
2014-01-20,68,¡º,35,86,46,1.9,33,70
2014-01-21,68,¡º,45,87,58,2.1,40,43
2014-01-22,106,«·∂»Œ€»æ,80,132,103,2.6,62,58
2014-01-23,170,÷–∂»Œ€»æ,129,188,138,2.9,71,70
2014-01-24,171,÷–∂»Œ€»æ,130,209,125,3.1,63,51
2014-01-25,95,¡º,71,140,82,2.3,45,55
2014-01-26,155,÷–∂»Œ€»æ,119,182,125,2.8,59,57
2014-01-27,243,÷ÿ∂»Œ€»æ,193,262,130,3.4,77,53
2014-01-28,111,«·∂»Œ€»æ,84,146,98,2.8,44,81
2014-01-29,227,÷ÿ∂»Œ€»æ,177,242,130,3.6,67,87
2014-01-30,241,÷ÿ∂»Œ€»æ,191,269,116,3.8,64,131
2014-01-31,297,÷ÿ∂»Œ€»æ,247,326,137,4,62,99
2014-02-01,305,—œ÷ÿŒ€»æ,255,332,99,4.1,63,114
2014-02-02,221,÷ÿ∂»Œ€»æ,171,235,81,3.5,53,134
2014-02-03,107,«·∂»Œ€»æ,45,164,44,2.4,24,99
2014-02-04,93,¡º,51,137,53,2.7,28,71
2014-02-05,88,¡º,65,78,44,2.8,26,50
2014-02-06,114,«·∂»Œ€»æ,86,100,72,3.1,28,50
2014-02-07,228,÷ÿ∂»Œ€»æ,178,195,46,3.8,53,72
2014-02-08,211,÷ÿ∂»Œ€»æ,161,211,66,3.7,47,56
2014-02-09,70,¡º,51,75,35,2.7,25,71
2014-02-10,120,«·∂»Œ€»æ,91,106,46,3.1,32,75
2014-02-11,161,÷–∂»Œ€»æ,123,155,44,3.2,37,83
2014-02-12,201,÷ÿ∂»Œ€»æ,151,190,92,3.4,40,79
2014-02-13,199,÷–∂»Œ€»æ,149,185,111,3.5,42,83
2014-02-14,258,÷ÿ∂»Œ€»æ,208,221,111,3.9,51,74
2014-02-15,265,÷ÿ∂»Œ€»æ,215,267,84,3.5,59,57
2014-02-16,277,÷ÿ∂»Œ€»æ,227,284,93,3.8,49,68
2014-02-17,198,÷–∂»Œ€»æ,149,173,76,3.7,38,67
2014-02-18,205,÷ÿ∂»Œ€»æ,155,185,58,3.7,39,82
2014-02-19,126,«·∂»Œ€»æ,95,141,50,2.7,39,93
2014-02-20,130,«·∂»Œ€»æ,99,142,75,2.8,43,68
2014-02-21,229,÷ÿ∂»Œ€»æ,179,239,95,3.5,62,56
2014-02-22,255,÷ÿ∂»Œ€»æ,205,282,88,3.5,59,66
2014-02-23,251,÷ÿ∂»Œ€»æ,201,274,79,3.4,49,84
2014-02-24,241,÷ÿ∂»Œ€»æ,191,258,67,3.4,53,69
2014-02-25,240,÷ÿ∂»Œ€»æ,190,236,72,3.5,51,67
2014-02-26,199,÷–∂»Œ€»æ,149,232,49,3.4,50,54
2014-02-27,137,«·∂»Œ€»æ,67,224,42,2.9,31,71
2014-02-28,119,«·∂»Œ€»æ,91,119,42,3.4,43,53
2014-03-01,84,¡º,62,107,41,3.1,40,62
2014-03-02,103,«·∂»Œ€»æ,77,134,58,3.2,53,49
2014-03-03,153,÷–∂»Œ€»æ,117,187,61,3.5,56,44
2014-03-04,95,¡º,69,139,44,3.2,38,92
2014-03-05,139,«·∂»Œ€»æ,106,165,52,3,51,63
2014-03-06,211,÷ÿ∂»Œ€»æ,161,220,25,2.7,47,52
2014-03-07,165,÷–∂»Œ€»æ,126,157,39,2.6,46,55
2014-03-08,121,«·∂»Œ€»æ,92,126,25,2.2,39,99
2014-03-09,92,¡º,69,113,33,2.1,44,111
2014-03-10,78,¡º,56,106,36,2.2,42,119
2014-03-11,129,«·∂»Œ€»æ,98,146,44,2.3,53,91
2014-03-12,106,«·∂»Œ€»æ,30,161,19,1.7,23,93
2014-03-13,133,«·∂»Œ€»æ,31,216,26,1.9,28,98
2014-03-14,72,¡º,36,93,36,2.2,35,96
2014-03-15,86,¡º,52,121,32,2.2,39,115
2014-03-16,90,¡º,55,129,35,2.3,47,115
2014-03-17,194,÷–∂»Œ€»æ,82,337,23,2.2,35,89
2014-03-18,250,÷ÿ∂»Œ€»æ,121,385,37,2.6,43,85
2014-03-19,117,«·∂»Œ€»æ,67,184,31,2.5,41,84
2014-03-20,82,¡º,26,115,15,2,25,85
2014-03-21,79,¡º,39,108,29,2.1,41,101
2014-03-22,85,¡º,50,119,49,2.2,45,118
2014-03-23,99,¡º,50,148,74,2.3,38,123
2014-03-24,98,¡º,58,145,65,2.4,49,100
2014-03-25,112,«·∂»Œ€»æ,70,174,34,2.7,57,119
2014-03-26,94,¡º,53,138,31,2.6,45,145
2014-03-27,83,¡º,58,116,35,2.7,38,115
2014-03-28,230,÷ÿ∂»Œ€»æ,100,371,16,2.6,41,75
2014-03-29,146,«·∂»Œ€»æ,75,242,21,2.6,41,110
2014-03-30,93,¡º,69,118,16,2.8,36,84
2014-03-31,136,«·∂»Œ€»æ,104,144,14,3,37,79
2014-04-01,79,¡º,48,109,19,2.5,44,97
2014-04-02,67,¡º,38,84,17,1.9,42,89
2014-04-03,56,¡º,38,63,15,1.4,33,102
2014-04-04,76,¡º,56,85,14,1.5,38,104
2014-04-05,83,¡º,59,117,29,1.6,40,119
2014-04-06,97,¡º,61,145,34,1.7,45,114
2014-04-07,72,¡º,53,91,15,1.7,38,119
2014-04-08,86,¡º,47,98,23,1.5,42,143
2014-04-09,83,¡º,47,91,22,1.5,34,140
2014-04-10,104,«·∂»Œ€»æ,78,124,19,1.7,49,105
2014-04-11,104,«·∂»Œ€»æ,79,101,20,2.3,29,58
2014-04-12,110,«·∂»Œ€»æ,83,109,14,2.3,43,55
2014-04-13,107,«·∂»Œ€»æ,81,114,15,2.2,38,124
2014-04-14,122,«·∂»Œ€»æ,93,124,16,2,35,113
2014-04-15,71,¡º,52,70,14,1.7,24,88
2014-04-16,58,¡º,41,56,11,1.9,31,63
2014-04-17,61,¡º,38,72,12,1.8,34,113
2014-04-18,88,¡º,65,89,15,2.1,34,94
2014-04-19,48,”≈,34,41,11,1.9,27,84
2014-04-20,64,¡º,46,75,17,1.9,35,106
2014-04-21,55,¡º,39,57,12,1.6,30,83
2014-04-22,67,¡º,37,83,12,1.3,33,102
2014-04-23,77,¡º,50,104,17,1.4,37,129
2014-04-24,104,«·∂»Œ€»æ,78,127,19,1.5,34,147
2014-04-25,88,¡º,39,110,8,0.9,19,146
2014-04-26,136,«·∂»Œ€»æ,68,223,9,0.9,27,93
2014-04-27,242,÷ÿ∂»Œ€»æ,98,379,13,1.1,37,91
2014-04-28,153,÷–∂»Œ€»æ,82,257,15,1.4,46,85
2014-04-29,121,«·∂»Œ€»æ,68,192,14,1.4,41,128
