»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,51,¡º,21,52,34,0.6,35,68
2015-01-01,48,”≈,23,48,51,1.1,48,56
2015-01-02,54,¡º,38,59,72,1.9,59,90
2015-01-03,55,¡º,39,60,62,1.9,56,54
2015-01-04,127,«·∂»Œ€»æ,97,138,83,2.3,82,63
2015-01-05,181,÷–∂»Œ€»æ,137,176,63,2.5,69,55
2015-01-06,179,÷–∂»Œ€»æ,136,132,51,2.1,40,71
2015-01-07,72,¡º,52,75,49,1.2,35,87
2015-01-08,123,«·∂»Œ€»æ,93,128,82,2.2,51,71
2015-01-09,159,÷–∂»Œ€»æ,121,164,59,2.2,63,71
2015-01-10,207,÷ÿ∂»Œ€»æ,157,207,76,2.7,73,84
2015-01-11,162,÷–∂»Œ€»æ,124,166,85,2.3,67,84
2015-01-12,175,÷–∂»Œ€»æ,132,160,37,1.9,36,57
2015-01-13,76,¡º,56,73,25,1.2,35,50
2015-01-14,85,¡º,63,75,25,1.3,45,73
2015-01-15,99,¡º,74,93,21,1.2,38,47
2015-01-16,182,÷–∂»Œ€»æ,137,178,47,1.8,41,63
2015-01-17,233,÷ÿ∂»Œ€»æ,183,223,42,1.8,39,72
2015-01-18,162,÷–∂»Œ€»æ,124,156,71,2.3,55,61
2015-01-19,94,¡º,70,97,82,2.1,59,62
2015-01-20,69,¡º,50,78,87,1.8,52,61
2015-01-21,81,¡º,60,86,92,2.2,46,67
2015-01-22,90,¡º,67,87,75,2,44,74
2015-01-23,111,«·∂»Œ€»æ,84,115,73,2.7,68,59
2015-01-24,124,«·∂»Œ€»æ,94,124,83,3.4,74,65
2015-01-25,182,÷–∂»Œ€»æ,137,156,42,3,56,78
2015-01-26,164,÷–∂»Œ€»æ,125,143,48,3.4,51,76
2015-01-27,77,¡º,57,68,45,2,37,78
2015-01-28,36,”≈,25,33,29,1.3,27,62
2015-01-29,38,”≈,23,31,47,1.3,42,76
2015-01-30,62,¡º,45,52,23,1.3,27,66
2015-01-31,72,¡º,53,66,50,1.6,34,61
2015-02-01,49,”≈,35,48,46,1.5,33,43
2015-02-02,56,¡º,40,50,22,1.4,29,43
2015-02-03,84,¡º,62,74,46,1.7,38,33
2015-02-04,172,÷–∂»Œ€»æ,131,148,71,1.8,28,57
2015-02-05,176,÷–∂»Œ€»æ,133,166,53,1.8,38,48
2015-02-06,91,¡º,68,113,64,1.6,46,46
2015-02-07,121,«·∂»Œ€»æ,91,134,67,1.8,53,59
2015-02-08,121,«·∂»Œ€»æ,92,139,48,1.9,37,44
2015-02-09,73,¡º,54,81,33,1.4,26,52
2015-02-10,89,¡º,66,103,44,1.5,46,48
2015-02-11,124,«·∂»Œ€»æ,94,136,56,1.8,35,56
2015-02-12,153,÷–∂»Œ€»æ,117,166,63,2.3,52,48
2015-02-13,177,÷–∂»Œ€»æ,134,177,67,2.6,63,50
2015-02-14,164,÷–∂»Œ€»æ,125,157,82,2.6,55,46
2015-02-15,85,¡º,63,80,41,2,44,38
2015-02-16,172,÷–∂»Œ€»æ,130,153,46,2.5,24,54
2015-02-17,171,÷–∂»Œ€»æ,130,165,33,2.7,25,68
2015-02-18,111,«·∂»Œ€»æ,84,117,27,2,9,59
2015-02-19,75,¡º,55,72,26,1.5,7,48
2015-02-20,41,”≈,29,39,23,1.4,13,43
2015-02-21,47,”≈,33,42,17,1.4,12,38
2015-02-22,102,«·∂»Œ€»æ,76,95,75,1.8,24,47
2015-02-23,96,¡º,72,86,42,2,17,35
2015-02-24,74,¡º,54,75,47,1.8,20,34
2015-02-25,45,”≈,30,45,43,1.7,24,34
2015-02-26,111,«·∂»Œ€»æ,84,105,28,2,19,34
2015-02-27,42,”≈,29,42,17,1.5,9,49
2015-02-28,25,”≈,15,25,41,1.5,22,40
2015-03-01,58,¡º,42,56,40,1.7,25,37
