»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,99,¡º,57,148,85,1.1,38,56
2014-01-01,87,¡º,59,125,76,1.2,36,48
2014-01-02,95,¡º,71,135,105,1.2,51,30
2014-01-03,65,¡º,41,79,64,0.9,32,57
2014-01-04,114,«·∂»Œ€»æ,86,134,83,1.6,45,32
2014-01-05,182,÷–∂»Œ€»æ,137,162,102,1.7,53,51
2014-01-06,209,÷ÿ∂»Œ€»æ,159,220,117,2.2,58,34
2014-01-07,109,«·∂»Œ€»æ,82,114,93,1.9,45,56
2014-01-08,46,”≈,30,46,62,0.9,24,70
2014-01-09,79,¡º,58,85,68,1.4,41,57
2014-01-10,156,÷–∂»Œ€»æ,119,161,120,2,56,32
2014-01-11,193,÷–∂»Œ€»æ,145,214,152,2.3,63,22
2014-01-12,53,¡º,28,56,75,0.9,26,59
2014-01-13,122,«·∂»Œ€»æ,93,135,117,2.1,53,47
2014-01-14,212,÷ÿ∂»Œ€»æ,162,233,132,2.5,63,29
2014-01-15,240,÷ÿ∂»Œ€»æ,190,280,143,3,65,31
2014-01-16,149,«·∂»Œ€»æ,114,170,116,2.2,51,30
2014-01-17,124,«·∂»Œ€»æ,94,129,102,1.6,45,38
2014-01-18,114,«·∂»Œ€»æ,86,125,88,1.8,40,55
2014-01-19,117,«·∂»Œ€»æ,89,123,125,2,53,27
2014-01-20,68,¡º,49,86,61,1.3,24,56
2014-01-21,90,¡º,67,96,82,1.5,34,37
2014-01-22,156,÷–∂»Œ€»æ,119,174,152,2.7,64,33
2014-01-23,147,«·∂»Œ€»æ,113,158,131,1.9,64,26
2014-01-24,166,÷–∂»Œ€»æ,126,163,96,1.9,54,45
2014-01-25,58,¡º,31,66,49,0.7,25,70
2014-01-26,77,¡º,44,104,88,1.2,37,46
2014-01-27,89,¡º,66,122,99,1.2,44,55
2014-01-28,56,¡º,23,62,59,0.6,20,65
2014-01-29,82,¡º,61,102,90,1.1,37,53
2014-01-30,89,¡º,67,103,74,1,27,70
2014-01-31,226,÷ÿ∂»Œ€»æ,176,244,139,1.5,41,39
2014-02-01,152,÷–∂»Œ€»æ,116,165,169,1.3,43,32
2014-02-02,118,«·∂»Œ€»æ,67,187,60,1,23,67
2014-02-03,50,”≈,24,50,49,0.7,14,71
2014-02-04,63,¡º,43,77,73,1,25,72
2014-02-05,120,«·∂»Œ€»æ,91,117,96,1.6,42,53
2014-02-06,102,«·∂»Œ€»æ,76,112,91,1.3,34,61
2014-02-07,96,¡º,72,96,119,1.3,43,51
2014-02-08,53,¡º,28,56,62,0.8,19,69
2014-02-09,43,”≈,17,43,58,0.7,13,71
2014-02-10,80,¡º,59,78,71,1.2,31,72
2014-02-11,168,÷–∂»Œ€»æ,128,172,108,2,53,65
2014-02-12,175,÷–∂»Œ€»æ,132,178,94,1.9,48,75
2014-02-13,154,÷–∂»Œ€»æ,118,160,122,1.5,47,91
2014-02-14,178,÷–∂»Œ€»æ,134,180,186,1.8,63,65
2014-02-15,344,—œ÷ÿŒ€»æ,294,328,176,2.8,77,20
2014-02-16,95,¡º,71,104,78,1,33,83
2014-02-17,71,¡º,52,92,58,0.9,26,78
2014-02-18,87,¡º,65,98,82,1.1,35,80
2014-02-19,97,¡º,72,95,69,1.1,34,81
2014-02-20,117,«·∂»Œ€»æ,89,135,88,1.4,42,66
2014-02-21,242,÷ÿ∂»Œ€»æ,192,218,92,2.2,62,52
2014-02-22,250,÷ÿ∂»Œ€»æ,200,246,104,2.2,56,63
2014-02-23,201,÷ÿ∂»Œ€»æ,151,184,113,1.8,54,63
2014-02-24,170,÷–∂»Œ€»æ,129,205,159,2.1,72,46
2014-02-25,189,÷–∂»Œ€»æ,142,232,169,2.9,69,35
2014-02-26,176,÷–∂»Œ€»æ,133,187,133,1.9,61,62
2014-02-27,58,¡º,33,66,57,1.1,25,78
2014-02-28,75,¡º,44,100,78,1.3,42,61
2014-03-01,83,¡º,61,99,91,1.4,38,83
2014-03-02,93,¡º,69,104,73,1.6,45,85
2014-03-03,139,«·∂»Œ€»æ,106,150,114,1.8,51,64
2014-03-04,90,¡º,67,89,67,1.3,31,87
2014-03-05,50,”≈,23,50,62,1.1,28,72
2014-03-06,52,¡º,23,53,64,1.1,24,80
2014-03-07,71,¡º,52,82,75,1.3,41,79
2014-03-08,99,¡º,74,127,90,1.5,48,60
2014-03-09,60,¡º,35,70,55,1.3,26,82
2014-03-10,79,¡º,46,108,87,1.5,40,64
2014-03-11,115,«·∂»Œ€»æ,87,136,98,1.5,39,61
2014-03-12,58,¡º,18,66,55,1.1,17,80
