»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,215,÷ÿ∂»Œ€»æ,165,220,89,1.9,101,37
2013-12-03,260,÷ÿ∂»Œ€»æ,210,344,93,2.3,132,27
2013-12-04,285,÷ÿ∂»Œ€»æ,235,349,36,2,94,56
2013-12-05,358,—œ÷ÿŒ€»æ,308,369,50,2.3,107,50
2013-12-06,259,÷ÿ∂»Œ€»æ,209,277,25,1.9,77,23
2013-12-07,289,÷ÿ∂»Œ€»æ,239,338,22,2.6,93,36
2013-12-08,249,÷ÿ∂»Œ€»æ,199,222,15,1.9,75,31
2013-12-09,159,÷–∂»Œ€»æ,121,118,18,1.6,52,40
2013-12-10,85,¡º,63,106,36,1.1,61,32
2013-12-11,109,«·∂»Œ€»æ,82,143,48,1.2,65,43
2013-12-12,170,÷–∂»Œ€»æ,129,223,70,1.7,80,30
2013-12-13,168,÷–∂»Œ€»æ,128,189,39,1.2,67,41
2013-12-14,133,«·∂»Œ€»æ,101,185,51,1.5,78,39
2013-12-15,212,÷ÿ∂»Œ€»æ,162,157,32,1.3,54,52
2013-12-16,67,¡º,49,41,16,0.9,40,36
2013-12-17,65,¡º,47,43,10,0.9,40,28
2013-12-18,98,¡º,73,84,18,1,36,47
2013-12-19,170,÷–∂»Œ€»æ,129,150,46,1.7,51,34
2013-12-20,204,÷ÿ∂»Œ€»æ,154,182,60,1.7,60,34
2013-12-21,117,«·∂»Œ€»æ,89,93,39,1.2,48,52
2013-12-22,126,«·∂»Œ€»æ,96,114,29,1.2,53,40
2013-12-23,147,«·∂»Œ€»æ,112,132,32,1.3,62,39
2013-12-24,258,÷ÿ∂»Œ€»æ,208,261,94,1.9,89,30
2013-12-25,301,—œ÷ÿŒ€»æ,251,310,94,2.5,103,25
2013-12-26,280,÷ÿ∂»Œ€»æ,230,261,73,2,86,26
2013-12-27,63,¡º,46,69,34,0.9,42,45
2013-12-28,115,«·∂»Œ€»æ,87,151,67,1.4,70,31
2013-12-29,160,÷–∂»Œ€»æ,122,164,88,1.4,76,31
2013-12-30,125,«·∂»Œ€»æ,95,187,83,1.5,78,43
2013-12-31,137,«·∂»Œ€»æ,104,196,76,1.3,80,54
2014-01-01,151,÷–∂»Œ€»æ,116,224,86,1.6,85,45
2014-01-02,251,÷ÿ∂»Œ€»æ,201,309,83,2,118,32
2014-01-03,261,÷ÿ∂»Œ€»æ,211,297,75,1.6,102,46
2014-01-04,158,÷–∂»Œ€»æ,121,149,30,1.3,52,33
2014-01-05,178,÷–∂»Œ€»æ,135,213,45,1.5,80,38
2014-01-06,161,÷–∂»Œ€»æ,123,137,42,1.3,74,46
2014-01-07,134,«·∂»Œ€»æ,102,77,21,1.1,56,27
2014-01-08,62,¡º,45,19,7,0.9,26,54
2014-01-09,60,¡º,38,70,21,0.9,36,46
2014-01-10,102,«·∂»Œ€»æ,76,124,37,1.2,63,42
2014-01-11,115,«·∂»Œ€»æ,87,112,24,1.3,55,35
2014-01-12,170,÷–∂»Œ€»æ,129,162,25,1.3,49,61
2014-01-13,115,«·∂»Œ€»æ,87,72,19,1,35,45
2014-01-14,72,¡º,53,78,25,1,50,53
2014-01-15,100,¡º,75,92,28,1.1,55,58
2014-01-16,124,«·∂»Œ€»æ,94,124,28,1.4,64,49
2014-01-17,195,÷–∂»Œ€»æ,146,193,45,1.7,81,44
2014-01-18,220,÷ÿ∂»Œ€»æ,170,171,30,1.9,52,54
2014-01-19,313,—œ÷ÿŒ€»æ,263,318,36,2.7,79,53
2014-01-20,183,÷–∂»Œ€»æ,138,212,49,1.6,58,50
2014-01-21,76,¡º,44,102,31,1.1,42,35
2014-01-22,101,«·∂»Œ€»æ,76,97,41,1.4,57,47
2014-01-23,123,«·∂»Œ€»æ,93,105,29,1.6,66,50
2014-01-24,124,«·∂»Œ€»æ,94,119,27,1.7,70,42
2014-01-25,194,÷–∂»Œ€»æ,146,138,37,1.8,58,46
2014-01-26,67,¡º,48,38,14,1,22,53
2014-01-27,60,¡º,40,69,17,1.2,41,43
2014-01-28,141,«·∂»Œ€»æ,108,118,21,1.3,47,50
2014-01-29,79,¡º,59,82,10,1.3,40,49
2014-01-30,235,÷ÿ∂»Œ€»æ,185,219,18,2.1,56,48
2014-01-31,251,÷ÿ∂»Œ€»æ,201,202,11,1.9,33,63
2014-02-01,180,÷–∂»Œ€»æ,136,147,24,1.5,39,47
2014-02-02,187,÷–∂»Œ€»æ,141,224,10,2.2,43,25
2014-02-03,93,¡º,69,75,7,1.2,14,57
2014-02-04,37,”≈,23,37,11,0.7,10,67
2014-02-05,31,”≈,18,23,6,0.7,13,62
2014-02-06,25,”≈,9,6,5,0.8,10,49
2014-02-07,64,¡º,46,50,5,1,12,44
2014-02-08,84,¡º,62,56,11,1.1,15,58
2014-02-09,80,¡º,59,56,14,1,12,58
2014-02-10,45,”≈,32,37,14,0.8,12,53
2014-02-11,109,«·∂»Œ€»æ,42,168,20,0.9,19,59
2014-02-12,69,¡º,50,47,14,0.8,20,57
2014-02-13,73,¡º,54,57,12,1,17,64
2014-02-14,80,¡º,59,74,16,1,33,73
2014-02-15,106,«·∂»Œ€»æ,80,77,34,1.1,43,65
2014-02-16,74,¡º,54,48,12,1.1,50,37
2014-02-17,41,”≈,29,10,5,0.8,25,63
2014-02-18,44,”≈,31,34,4,0.8,21,63
2014-02-19,115,«·∂»Œ€»æ,87,92,20,1.1,38,58
2014-02-20,129,«·∂»Œ€»æ,98,108,29,1.3,53,58
2014-02-21,179,÷–∂»Œ€»æ,135,156,52,1.5,64,75
2014-02-22,163,÷–∂»Œ€»æ,124,130,46,1.3,57,64
2014-02-23,135,«·∂»Œ€»æ,103,131,41,1.4,51,69
2014-02-24,152,÷–∂»Œ€»æ,117,141,39,1.4,58,54
2014-02-25,65,¡º,47,5,9,0.9,31,53
2014-02-26,63,¡º,45,61,7,1.1,34,69
2014-02-27,130,«·∂»Œ€»æ,99,118,17,1.5,67,35
2014-02-28,59,¡º,42,25,8,1,23,45
2014-03-01,56,¡º,34,62,9,0.9,33,51
2014-03-02,107,«·∂»Œ€»æ,80,103,31,1.1,43,72
2014-03-03,93,¡º,70,103,30,1.2,39,74
2014-03-04,75,¡º,55,69,14,1,47,56
2014-03-05,77,¡º,57,69,16,0.9,26,74
2014-03-06,66,¡º,47,82,24,0.9,39,61
2014-03-07,90,¡º,67,97,35,1.1,56,56
2014-03-08,111,«·∂»Œ€»æ,84,100,31,1.1,56,49
2014-03-09,99,¡º,74,112,35,1.2,65,80
2014-03-10,175,÷–∂»Œ€»æ,133,177,40,1.5,68,98
2014-03-11,191,÷–∂»Œ€»æ,144,163,31,1.4,52,102
2014-03-12,112,«·∂»Œ€»æ,85,58,12,1.1,42,67
2014-03-13,59,¡º,29,69,17,0.8,28,70
2014-03-14,86,¡º,59,122,42,1.2,56,66
2014-03-15,87,¡º,64,123,38,1.2,53,93
2014-03-16,122,«·∂»Œ€»æ,93,147,44,1.2,59,100
2014-03-17,110,«·∂»Œ€»æ,83,139,38,1.3,52,87
2014-03-18,218,÷ÿ∂»Œ€»æ,103,362,35,1.4,48,101
2014-03-19,96,¡º,53,141,7,0.9,23,76
2014-03-20,93,¡º,69,98,19,1.1,32,94
2014-03-21,67,¡º,38,84,29,0.9,40,77
2014-03-22,95,¡º,71,115,35,1.1,55,93
2014-03-23,112,«·∂»Œ€»æ,85,145,47,1.2,65,81
2014-03-24,113,«·∂»Œ€»æ,85,126,40,1.3,57,41
2014-03-25,192,÷–∂»Œ€»æ,145,75,23,1.6,54,57
