»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,195,÷–∂»Œ€»æ,146,205,54,3,76,20
2013-12-03,163,÷–∂»Œ€»æ,124,135,42,2.6,63,16
2013-12-04,170,÷–∂»Œ€»æ,129,154,40,2.6,54,16
2013-12-05,119,«·∂»Œ€»æ,90,131,38,2.4,36,14
2013-12-06,166,÷–∂»Œ€»æ,126,211,37,2.6,43,16
2013-12-07,203,÷ÿ∂»Œ€»æ,153,198,40,2.3,40,13
2013-12-08,193,÷–∂»Œ€»æ,145,207,32,1.5,26,11
2013-12-09,66,¡º,35,81,24,0.5,21,19
2013-12-10,103,«·∂»Œ€»æ,77,156,28,1,33,21
2013-12-11,89,¡º,38,128,23,0.6,26,45
2013-12-12,98,¡º,74,144,28,1.1,29,17
2013-12-13,155,÷–∂»Œ€»æ,119,213,35,1.4,48,14
2013-12-14,151,÷–∂»Œ€»æ,115,217,33,1.3,46,14
2013-12-15,160,÷–∂»Œ€»æ,122,199,33,1.3,42,11
2013-12-16,149,«·∂»Œ€»æ,114,205,32,1.3,42,13
2013-12-17,242,÷ÿ∂»Œ€»æ,192,347,33,1.8,49,11
2013-12-18,203,÷ÿ∂»Œ€»æ,153,212,27,1.3,41,11
2013-12-19,250,÷ÿ∂»Œ€»æ,200,277,33,1.5,49,11
2013-12-20,215,÷ÿ∂»Œ€»æ,165,275,38,1.7,48,19
2013-12-21,271,÷ÿ∂»Œ€»æ,221,208,31,1.5,38,25
2013-12-22,198,÷–∂»Œ€»æ,148,251,32,1.7,47,16
2013-12-23,312,—œ÷ÿŒ€»æ,262,278,31,1.9,43,17
2013-12-24,224,÷ÿ∂»Œ€»æ,174,275,27,2.1,36,14
2013-12-25,251,÷ÿ∂»Œ€»æ,201,316,26,2.1,33,17
2013-12-26,76,¡º,51,101,16,0.5,16,37
2013-12-27,77,¡º,54,104,17,0.9,22,31
2013-12-28,81,¡º,58,113,17,1,23,50
2013-12-29,81,¡º,54,112,17,1.2,26,55
2013-12-30,101,«·∂»Œ€»æ,76,148,32,1.3,29,46
