»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,82,¡º,11,114,21,1.1,5,38
2015-01-01,51,¡º,19,52,55,1.2,16,38
2015-01-02,50,”≈,19,50,58,1.2,16,45
2015-01-03,98,¡º,61,145,143,2.8,49,29
2015-01-04,119,«·∂»Œ€»æ,70,189,146,2.3,48,30
2015-01-05,95,¡º,47,139,106,1.8,32,49
2015-01-06,45,”≈,18,45,35,1.2,14,48
2015-01-07,46,”≈,15,46,70,1.4,21,44
2015-01-08,93,¡º,56,136,156,2.2,40,29
2015-01-09,99,¡º,69,148,117,2.3,40,33
2015-01-10,88,¡º,52,125,138,2.1,34,42
2015-01-11,50,”≈,33,50,52,1.4,17,43
2015-01-12,86,¡º,50,122,114,2,36,32
2015-01-13,144,«·∂»Œ€»æ,110,213,201,3.6,60,20
2015-01-14,85,¡º,47,121,66,1.9,26,42
2015-01-15,93,¡º,61,137,90,1.9,29,37
2015-01-16,57,¡º,24,63,48,1.5,16,43
2015-01-17,59,¡º,28,69,110,1.8,33,41
2015-01-18,96,¡º,63,141,154,2.7,47,26
2015-01-19,54,¡º,27,58,61,1.7,23,42
2015-01-20,97,¡º,65,144,136,2.4,45,25
2015-01-21,46,”≈,23,46,56,1.6,18,45
2015-01-22,85,¡º,59,120,125,2.2,41,34
2015-01-23,101,«·∂»Œ€»æ,64,152,132,2.6,47,34
2015-01-24,46,”≈,20,46,66,1.6,21,42
2015-01-25,101,«·∂»Œ€»æ,66,153,132,2.4,44,33
2015-01-26,62,¡º,26,73,60,1.8,18,46
2015-01-27,44,”≈,19,44,43,1.7,18,45
2015-01-28,58,¡º,26,65,78,2,27,40
2015-01-29,71,¡º,35,91,90,2.1,29,38
2015-01-30,43,”≈,11,43,36,1.7,13,44
2015-01-31,72,¡º,38,95,93,2.3,32,38
2015-02-01,99,¡º,65,148,121,2.7,38,41
2015-02-02,135,«·∂»Œ€»æ,91,220,155,3.1,53,39
2015-02-03,151,÷–∂»Œ€»æ,113,251,116,3,47,53
2015-02-04,49,”≈,22,49,50,1.7,17,46
2015-02-05,51,¡º,19,51,60,1.4,20,44
2015-02-06,82,¡º,53,114,108,1.7,38,41
2015-02-07,86,¡º,10,122,31,0.9,3,50
2015-02-08,60,¡º,21,71,45,1.2,15,45
2015-02-09,81,¡º,51,113,116,1.8,37,43
2015-02-10,86,¡º,61,122,89,2,41,41
2015-02-11,55,¡º,21,61,35,1.3,17,53
2015-02-12,46,”≈,21,46,37,1.3,16,48
2015-02-13,86,¡º,59,123,108,1.9,38,49
2015-02-14,119,«·∂»Œ€»æ,90,165,111,2.1,42,46
2015-02-15,148,«·∂»Œ€»æ,114,200,133,2.2,40,61
2015-02-16,94,¡º,71,121,52,1.7,22,51
2015-02-17,52,¡º,29,54,34,1.3,11,54
2015-02-18,43,”≈,18,43,40,1.2,7,52
2015-02-19,221,÷ÿ∂»Œ€»æ,171,302,105,1.8,22,48
2015-02-20,69,¡º,51,80,84,1.6,19,45
2015-02-21,83,¡º,37,116,76,1.7,14,58
2015-02-22,287,÷ÿ∂»Œ€»æ,84,411,16,1.3,5,55
2015-02-23,55,¡º,22,60,31,1.4,9,50
2015-02-24,106,«·∂»Œ€»æ,80,160,83,2.4,32,37
2015-02-25,79,¡º,35,108,57,1.6,12,50
2015-02-26,55,¡º,19,60,25,1.4,8,47
2015-02-27,50,”≈,23,50,49,1.5,14,47
2015-02-28,99,¡º,74,123,102,2.2,32,39
2015-03-01,70,¡º,41,90,53,1.8,22,49
2015-03-02,88,¡º,45,126,84,2.1,27,40
2015-03-03,62,¡º,14,73,24,1.6,9,47
2015-03-04,45,”≈,20,45,30,1.6,12,46
2015-03-05,99,¡º,60,147,99,2.3,33,54
2015-03-06,102,«·∂»Œ€»æ,67,154,99,2.2,30,49
2015-03-07,97,¡º,73,137,57,2.1,28,55
2015-03-08,47,”≈,17,47,44,1.5,11,47
2015-03-09,87,¡º,10,123,12,1.6,5,52
2015-03-10,55,¡º,21,60,32,1.8,17,49
2015-03-11,54,¡º,19,58,24,1.6,13,50
2015-03-12,66,¡º,19,82,24,1.5,12,52
2015-03-13,59,¡º,29,68,39,1.3,22,52
2015-03-14,131,«·∂»Œ€»æ,72,212,94,2,40,45
2015-03-15,116,«·∂»Œ€»æ,47,182,69,1.4,22,56
2015-03-16,156,÷–∂»Œ€»æ,100,263,73,2.1,38,46
2015-03-17,73,¡º,40,97,47,1.5,22,60
2015-03-18,108,«·∂»Œ€»æ,64,166,73,1.8,45,67
2015-03-19,86,¡º,42,122,53,1.5,28,61
2015-03-20,92,¡º,43,135,59,1.5,31,61
2015-03-21,134,«·∂»Œ€»æ,65,217,49,1.7,31,56
2015-03-22,113,«·∂»Œ€»æ,24,176,33,1.3,13,54
2015-03-23,78,¡º,36,106,56,1.5,27,56
2015-03-24,91,¡º,58,132,65,1.7,35,67
2015-03-25,113,«·∂»Œ€»æ,72,176,79,1.9,39,70
2015-03-26,154,÷–∂»Œ€»æ,113,258,87,2.3,42,90
2015-03-27,176,÷–∂»Œ€»æ,85,220,88,2.2,46,83
2015-03-28,134,«·∂»Œ€»æ,68,218,72,1.9,37,65
