»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,50,”≈,18,50,28,0.3,42,80
2015-01-01,52,¡º,33,54,40,0.6,43,67
2015-01-02,61,¡º,44,64,43,0.7,44,70
2015-01-03,75,¡º,55,78,43,1,49,66
2015-01-04,104,«·∂»Œ€»æ,78,107,42,1,50,102
2015-01-05,145,«·∂»Œ€»æ,111,134,50,1.5,50,49
2015-01-06,107,«·∂»Œ€»æ,81,102,60,1.5,50,57
2015-01-07,87,¡º,64,89,37,1.1,39,67
2015-01-08,116,«·∂»Œ€»æ,88,112,41,1.6,44,80
2015-01-09,95,¡º,71,93,45,1.4,38,73
2015-01-10,119,«·∂»Œ€»æ,90,114,42,1.9,45,78
2015-01-11,99,¡º,74,90,37,1,35,91
2015-01-12,53,¡º,38,48,24,0.5,23,69
2015-01-13,40,”≈,28,35,24,0.3,27,55
2015-01-14,51,¡º,36,45,20,0.4,28,53
2015-01-15,97,¡º,73,90,22,0.6,30,59
2015-01-16,241,÷ÿ∂»Œ€»æ,191,232,43,1.1,34,58
2015-01-17,144,«·∂»Œ€»æ,110,149,47,1,39,78
2015-01-18,127,«·∂»Œ€»æ,97,150,32,0.8,29,85
2015-01-19,127,«·∂»Œ€»æ,96,142,35,1,34,84
2015-01-20,125,«·∂»Œ€»æ,95,147,37,1,39,71
2015-01-21,168,÷–∂»Œ€»æ,128,177,50,1.4,38,59
2015-01-22,124,«·∂»Œ€»æ,94,128,39,0.8,36,69
2015-01-23,170,÷–∂»Œ€»æ,129,160,35,1.1,40,64
2015-01-24,208,÷ÿ∂»Œ€»æ,158,196,41,1.5,50,47
2015-01-25,198,÷–∂»Œ€»æ,149,162,43,1.9,44,52
2015-01-26,146,«·∂»Œ€»æ,112,146,36,1.4,35,68
2015-01-27,64,¡º,46,67,32,0.6,28,68
2015-01-28,35,”≈,16,25,46,0.4,28,69
2015-01-29,44,”≈,31,40,31,0.5,27,68
2015-01-30,80,¡º,59,83,59,1.1,45,71
2015-01-31,50,”≈,33,50,63,0.7,31,56
2015-02-01,41,”≈,26,41,73,0.6,33,50
2015-02-02,50,”≈,33,51,24,0.6,35,75
2015-02-03,66,¡º,48,70,29,0.7,25,81
2015-02-04,116,«·∂»Œ€»æ,88,125,60,1.6,39,76
2015-02-05,58,¡º,39,65,38,1.1,38,77
2015-02-06,52,¡º,32,53,32,0.7,28,89
